"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Antonio Brown (TB)","136","193","1,834","13.5","59","25","10","3","28","0","2","16","314.2","19.6","70.1%"
"2","Julio Jones (ATL)","136","203","1,871","13.8","70","25","8","0","0","0","1","16","307.1","19.2","99.5%"
"3","Brandon Marshall (FA)","109","173","1,502","13.8","69","19","14","0","0","0","2","16","284.7","17.8","5.0%"
"4","DeAndre Hopkins (ARI)","111","192","1,521","13.7","61","19","11","0","0","0","0","16","275.6","17.2","100.0%"
"5","Odell Beckham Jr. (CLE)","96","158","1,450","15.1","87","19","13","1","3","0","0","15","271.3","18.1","25.6%"
"6","Allen Robinson II (CHI)","80","151","1,400","17.5","90","31","14","0","0","0","0","16","264.0","16.5","98.9%"
"7","A.J. Green (CIN)","86","132","1,297","15.1","80","19","10","0","0","0","1","16","230.7","14.4","46.0%"
"8","Doug Baldwin (FA)","78","103","1,069","13.7","80","16","14","0","0","0","0","16","229.9","14.4","0.0%"
"9","Larry Fitzgerald (ARI)","109","145","1,215","11.1","44","17","9","0","0","0","2","16","226.0","14.1","10.9%"
"10","Calvin Johnson (FA)","88","149","1,214","13.8","57","16","9","0","0","0","1","16","217.4","13.6","0.1%"
"11","Jarvis Landry (CLE)","110","166","1,157","10.5","50","10","4","18","113","1","0","16","214.9","13.4","85.9%"
"12","Demaryius Thomas (FA)","105","177","1,304","12.4","72","14","6","0","0","0","2","16","214.9","13.4","0.0%"
"13","Eric Decker (FA)","80","132","1,027","12.8","35","16","12","0","0","0","1","15","212.7","14.2","0.6%"
"14","Brandin Cooks (HOU)","84","129","1,138","13.5","71","18","9","8","18","0","0","16","211.6","13.2","90.7%"
"15","Jeremy Maclin (FA)","87","124","1,088","12.5","61","14","8","3","14","0","1","15","199.4","13.3","0.0%"
"16","Allen Hurns (MIA)","64","105","1,031","16.1","80","19","10","0","0","0","1","15","193.0","12.9","0.0%"
"17","Sammy Watkins (KC)","60","96","1,047","17.5","63","18","9","1","1","0","0","13","188.8","14.5","46.6%"
"18","Michael Crabtree (FA)","85","146","922","10.8","38","15","9","0","0","0","0","16","188.7","11.8","0.0%"
"19","Jordan Matthews (SF)","85","128","997","11.7","78","14","8","0","0","0","1","16","188.2","11.8","0.0%"
"20","Emmanuel Sanders (NO)","76","137","1,135","14.9","75","12","6","3","29","0","2","15","186.4","12.4","42.9%"
"21","T.Y. Hilton (IND)","69","134","1,124","16.3","87","17","5","0","0","0","0","16","176.9","11.1","46.5%"
"22","Amari Cooper (DAL)","72","130","1,070","14.9","68","16","6","3","-3","0","1","16","176.7","11.0","97.1%"
"23","John Brown (BUF)","65","101","1,003","15.4","68","11","7","3","22","0","1","15","175.0","11.7","41.8%"
"24","Mike Evans (TB)","74","148","1,206","16.3","68","21","3","0","0","0","1","15","173.8","11.6","98.5%"
"25","Randall Cobb (HOU)","79","129","829","10.5","53","11","6","13","50","0","0","16","169.4","10.6","9.9%"
"26","Tavon Austin (GB)","52","87","473","9.1","66","5","5","52","434","4","2","16","166.7","10.4","0.3%"
"27","James Jones (FA)","50","99","890","17.8","65","18","8","0","0","0","0","16","166.0","10.4","0.0%"
"28","Golden Tate (NYG)","90","128","813","9.0","43","7","6","6","41","0","1","16","164.4","10.3","18.4%"
"29","Ted Ginn Jr. (FA)","44","96","739","16.8","74","10","10","4","60","0","0","15","161.9","10.8","0.2%"
"30","Kamar Aiken (FA)","75","127","944","12.6","48","11","5","0","0","0","1","16","159.9","10.0","0.0%"
"31","Travis Benjamin (SF)","68","125","966","14.2","61","12","5","4","12","0","2","16","157.8","9.9","0.0%"
"32","Rueben Randle (FA)","57","90","797","14.0","72","13","8","0","0","0","0","16","156.2","9.8","0.0%"
"33","Pierre Garcon (FA)","72","111","777","10.8","39","7","6","0","0","0","0","16","149.7","9.4","0.0%"
"34","Willie Snead IV (BAL)","69","101","984","14.3","63","15","3","0","0","0","1","15","148.0","9.9","1.9%"
"35","Michael Floyd (FA)","52","89","849","16.3","60","13","6","0","0","0","0","15","146.9","9.8","0.0%"
"36","Martavis Bryant (FA)","50","92","765","15.3","88","10","6","5","37","1","1","11","145.2","13.2","0.0%"
"37","Julian Edelman (NE)","61","88","692","11.3","59","8","7","3","23","0","1","9","142.0","15.8","28.5%"
