"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Devonta Freeman (NYG)","265","1,056","4.0","39","6","11","73","97","578","7.9","3","2","15","280.4","18.7","21.8%"
"2","Adrian Peterson (DET)","327","1,485","4.5","80","10","11","30","36","222","7.4","0","3","16","245.7","15.4","42.6%"
"3","Doug Martin (FA)","288","1,402","4.9","84","14","6","33","44","271","8.2","1","5","16","215.8","13.5","0.0%"
"4","DeAngelo Williams (FA)","200","907","4.5","55","6","11","40","47","367","9.2","0","2","16","213.4","13.3","0.1%"
"5","Lamar Miller (CHI)","194","872","4.5","85","7","8","47","57","397","8.4","2","1","16","208.4","13.0","0.3%"
"6","Danny Woodhead (FA)","98","336","3.4","27","1","3","80","106","755","9.4","6","0","16","203.6","12.7","20.6%"
"7","Todd Gurley II (ATL)","229","1,106","4.8","71","11","10","21","26","188","9.0","0","1","13","198.1","15.2","96.7%"
"8","Matt Forte (FA)","218","898","4.1","27","4","4","44","58","389","8.8","3","1","13","192.7","14.8","19.1%"
"9","David Johnson (HOU)","125","581","4.6","47","3","8","36","57","457","12.7","4","1","16","191.8","12.0","86.7%"
"10","Chris Ivory (FA)","247","1,070","4.3","58","9","7","30","37","217","7.2","1","2","15","187.7","12.5","0.0%"
"11","Latavius Murray (NO)","266","1,066","4.0","54","9","6","41","53","232","5.7","0","1","16","182.3","11.4","63.8%"
"12","Mark Ingram II (BAL)","166","769","4.6","70","5","6","50","60","405","8.1","0","1","12","178.4","14.9","38.9%"
"13","Frank Gore (NYJ)","260","967","3.7","37","5","6","34","58","267","7.9","1","3","16","176.4","11.0","36.7%"
"14","Darren McFadden (FA)","239","1,089","4.6","50","9","3","40","53","328","8.2","0","3","16","175.7","11.0","7.0%"
"15","Jeremy Hill (FA)","223","794","3.6","38","1","11","15","19","79","5.3","1","3","16","162.8","10.2","0.0%"
"16","LeSean McCoy (TB)","203","895","4.4","48","6","3","32","50","292","9.1","2","2","12","162.7","13.6","1.3%"
"17","DeMarco Murray (FA)","193","702","3.6","54","5","6","44","55","322","7.3","1","2","15","162.1","10.8","0.1%"
"18","Giovani Bernard (CIN)","154","730","4.7","28","2","2","49","66","472","9.6","0","0","16","156.7","9.8","69.3%"
"19","Jonathan Stewart (FA)","242","989","4.1","44","4","6","16","21","99","6.2","1","2","13","154.8","11.9","0.0%"
"20","Charles Sims (FA)","107","529","4.9","59","4","0","51","70","561","11.0","4","2","16","154.5","9.7","0.0%"
"21","Rashad Jennings (FA)","195","863","4.4","38","6","3","29","40","296","10.2","1","2","16","150.4","9.4","0.0%"
"22","Ronnie Hillman (FA)","207","863","4.2","72","5","7","24","35","111","4.6","0","1","16","149.4","9.3","0.0%"
"23","James Starks (FA)","148","601","4.1","65","5","2","43","53","392","9.1","3","3","16","144.8","9.1","0.0%"
"24","Theo Riddick (LV)","43","133","3.1","16","0","0","80","99","697","8.7","3","1","16","139.0","8.7","0.0%"
