"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"69","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.9%"
"70","JJ Molson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"72","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Lirim Hajrullahu (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"76","Jordan Gay (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"77","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Billy Cundiff (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.3%"
"90","Brett Maher (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"92","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Taylor Russolino (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
