"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"57","Dion Sims (FA)","18","25","127","7.1","22","1","1","0","0","0","1","13","25.7","2.0","0.0%"
"58","Dwayne Allen (FA)","16","29","109","6.8","21","1","1","1","1","0","0","13","25.0","1.9","0.0%"
"59","Tyler Kroft (BUF)","11","15","129","11.7","22","2","1","0","0","0","0","16","24.4","1.5","0.3%"
"60","Tim Wright (FA)","9","16","77","8.6","26","1","2","0","0","0","0","9","24.2","2.7","0.0%"
"61","Rhett Ellison (FA)","11","19","124","11.3","41","2","1","0","0","0","0","15","23.9","1.6","0.0%"
"62","Justin Perillo (FA)","11","13","102","9.3","24","2","1","0","0","0","0","9","21.7","2.4","0.0%"
"63","Chris Gragg (FA)","12","20","150","12.5","29","1","0","0","0","0","0","13","21.0","1.6","0.0%"
"64","Cooper Helfet (FA)","13","22","130","10.0","20","1","0","0","0","0","0","14","19.5","1.4","0.0%"
"65","Jack Doyle (IND)","12","14","72","6.0","19","0","1","0","0","0","0","16","19.2","1.2","5.5%"
"66","Jake Stoneburner (FA)","5","5","47","9.4","13","0","2","0","0","0","0","11","19.2","1.7","0.0%"
"67","Lee Smith (BUF)","12","13","70","5.8","17","0","1","0","0","0","0","15","19.0","1.3","0.0%"
"68","Brandon Myers (FA)","12","17","127","10.6","17","0","0","0","0","0","0","11","18.7","1.7","0.0%"
"69","John Phillips (FA)","10","11","69","6.9","15","0","1","0","0","0","0","16","17.9","1.1","0.0%"
"70","Jesse James (DET)","8","11","56","7.0","20","1","1","0","0","0","0","8","17.6","2.2","0.1%"
"71","Troy Niklas (FA)","4","4","33","8.3","13","0","2","0","0","0","0","16","17.3","1.1","0.0%"
"72","Chase Coffman (FA)","8","11","71","8.9","16","0","1","0","0","0","0","2","17.1","8.6","0.0%"
"73","Demetrius Harris (CHI)","7","11","74","10.6","25","1","1","0","0","0","0","16","16.9","1.1","0.0%"
"74","Luke Stocker (ATL)","9","13","61","6.8","14","0","1","0","0","0","0","14","16.6","1.2","0.0%"
"75","Brandon Pettigrew (FA)","7","15","67","9.6","21","1","1","0","0","0","0","8","16.2","2.0","0.0%"
"76","Gavin Escobar (FA)","8","13","64","8.0","22","1","1","0","0","0","1","14","14.4","1.0","0.0%"
"77","MyCole Pruitt (TEN)","10","16","89","8.9","32","1","0","0","0","0","0","16","13.9","0.9","0.0%"
"78","Tony Moeaki (FA)","3","5","58","19.3","42","1","1","0","0","0","0","11","13.3","1.2","0.0%"
"79","James Hanna (FA)","9","14","79","8.8","17","0","0","0","0","0","0","14","12.4","0.9","0.0%"
"80","James O'Shaughnessy (JAC)","6","9","87","14.5","30","2","0","0","0","0","0","7","11.7","1.7","0.1%"
"81","Garrett Graham (FA)","4","19","30","7.5","9","0","1","0","0","0","0","8","11.0","1.4","0.0%"
"82","Jeff Cumberland (FA)","5","14","77","15.4","44","1","0","0","0","0","0","15","10.2","0.7","0.0%"
"83","Levine Toilolo (NYG)","7","12","44","6.3","11","0","0","0","0","0","0","16","9.9","0.6","0.0%"
"84","Kellen Davis (FA)","3","11","18","6.0","9","0","1","0","0","0","0","16","9.3","0.6","0.2%"
"85","Jim Dray (FA)","6","16","61","10.2","18","0","0","0","0","0","0","16","9.1","0.6","0.0%"
"86","Daniel Fells (FA)","6","7","60","10.0","23","1","0","0","0","0","0","2","9.0","4.5","0.0%"
"87","Trey Burton (IND)","3","4","54","18.0","43","1","0","0","0","0","0","16","6.9","0.4","30.2%"
"88","Rob Housler (FA)","4","7","33","8.3","12","0","0","0","0","0","0","10","5.3","0.5","0.0%"
"89","Andrew Quarless (FA)","4","5","31","7.8","13","0","0","0","0","0","0","5","5.1","1.0","0.0%"
"90","Cory Harkey (FA)","5","6","26","5.2","12","0","0","0","0","0","0","16","5.1","0.3","0.2%"
"91","Nick O'Leary (FA)","1","3","37","37.0","37","1","0","0","0","0","0","4","4.2","1.1","0.0%"
"92","Michael Williams (FA)","3","6","26","8.7","15","0","0","0","0","0","0","15","4.1","0.3","0.0%"
"93","Matt LaCosse (NE)","3","3","22","7.3","10","0","0","0","0","0","0","2","3.7","1.9","0.0%"
"94","Phillip Supernaw (FA)","3","4","32","10.7","16","0","0","0","0","0","1","16","2.7","0.2","0.0%"
"95","Matt Spaeth (FA)","2","3","10","5.0","6","0","0","0","0","0","0","13","2.0","0.2","0.0%"
"96","Scott Simonson (FA)","1","1","10","10.0","10","0","0","0","0","0","0","9","1.5","0.2","0.0%"
"97","E.J. Bibbs (FA)","1","2","7","7.0","7","0","0","0","0","0","0","7","1.2","0.2","0.0%"
"98","Khari Lee (DET)","1","3","7","7.0","7","0","0","0","0","0","0","16","1.2","0.1","0.0%"
"99","Nic Jacobs (FA)","1","3","6","6.0","6","0","0","0","0","0","0","11","1.1","0.1","0.0%"
