Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,OWN,FG,FGA,PCT,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,INT,SACKS,ATT.1,FantasyPointsRank
1.0,Aaron Rodgers (GB),610.0,"4,428",7.3,,,40.0,,,369.0,,4.0,4.0,16.0,380.0,23.8,98.1%,,,65.7,,,,,,,,401.0,7.0,35.0,67.0,1.0
1.0,David Johnson (HOU),293.0,"1,239",4.2,58.0,6.0,16.0,80.0,120.0,879.0,11.0,4.0,3.0,16.0,367.8,23.0,86.7%,,,,,,,,,,,,,,,2.0
2.0,Matt Ryan (ATL),534.0,"4,944",9.3,,,38.0,,,117.0,,0.0,2.0,16.0,347.5,21.7,84.1%,,,69.9,,,,,,,,373.0,7.0,37.0,35.0,3.0
3.0,Drew Brees (NO),673.0,"5,208",7.7,,,37.0,,,20.0,,2.0,4.0,16.0,332.3,20.8,57.6%,,,70.0,,,,,,,,471.0,15.0,27.0,23.0,4.0
2.0,Ezekiel Elliott (DAL),322.0,"1,631",5.1,60.0,14.0,15.0,32.0,40.0,363.0,11.3,1.0,1.0,15.0,309.4,20.6,99.2%,,,,,,,,,,,,,,,5.0
4.0,Andrew Luck (FA),545.0,"4,240",7.8,,,31.0,,,341.0,,2.0,5.0,15.0,307.6,20.5,2.1%,,,63.5,,,,,,,,346.0,13.0,41.0,64.0,6.0
5.0,Kirk Cousins (MIN),606.0,"4,917",8.1,,,25.0,,,96.0,,4.0,3.0,16.0,300.7,18.8,56.7%,,,67.0,,,,,,,,406.0,12.0,23.0,34.0,7.0
6.0,Dak Prescott (DAL),459.0,"3,667",8.0,,,23.0,,,282.0,,6.0,4.0,16.0,287.1,17.9,18.6%,,,67.8,,,,,,,,311.0,4.0,25.0,57.0,8.0
3.0,Le'Veon Bell (KC),261.0,"1,268",4.9,44.0,4.0,7.0,75.0,94.0,616.0,8.2,2.0,1.0,12.0,279.9,23.3,61.4%,,,,,,,,,,,,,,,9.0
7.0,Matthew Stafford (DET),594.0,"4,327",7.3,,,24.0,,,207.0,,2.0,2.0,16.0,279.7,17.5,54.2%,,,65.3,,,,,,,,388.0,10.0,37.0,37.0,10.0
4.0,LeSean McCoy (TB),234.0,"1,267",5.4,75.0,11.0,13.0,50.0,57.0,356.0,7.1,1.0,0.0,15.0,273.8,18.3,1.3%,,,,,,,,,,,,,,,11.0
8.0,Tyrod Taylor (LAC),436.0,"3,023",6.9,,,17.0,,,580.0,,6.0,2.0,15.0,270.9,18.1,0.7%,,,61.7,,,,,,,,269.0,6.0,42.0,95.0,12.0
9.0,Blake Bortles (DEN),625.0,"3,905",6.2,,,23.0,,,359.0,,3.0,6.0,16.0,270.6,16.9,0.0%,,,58.9,,,,,,,,368.0,16.0,34.0,58.0,13.0
10.0,Russell Wilson (SEA),546.0,"4,219",7.7,,,21.0,,,259.0,,1.0,2.0,16.0,269.1,16.8,100.0%,,,64.7,,,,,,,,353.0,11.0,41.0,72.0,14.0
11.0,Derek Carr (LV),560.0,"3,937",7.0,,,28.0,,,70.0,,0.0,3.0,15.0,268.4,17.9,50.9%,,,63.8,,,,,,,,357.0,6.0,16.0,39.0,15.0
5.0,DeMarco Murray (FA),293.0,"1,287",4.4,75.0,4.0,9.0,53.0,67.0,377.0,7.1,3.0,1.0,16.0,267.3,16.7,0.1%,,,,,,,,,,,,,,,16.0
12.0,Marcus Mariota (LV),451.0,"3,426",7.6,,,26.0,,,349.0,,2.0,5.0,15.0,260.7,17.4,0.1%,,,61.2,,,,,,,,276.0,9.0,23.0,60.0,17.0
13.0,Andy Dalton (DAL),563.0,"4,206",7.5,,,18.0,,,184.0,,4.0,3.0,16.0,260.6,16.3,9.2%,,,64.7,,,,,,,,364.0,8.0,41.0,46.0,18.0
14.0,Philip Rivers (IND),578.0,"4,386",7.6,,,33.0,,,35.0,,0.0,5.0,16.0,259.0,16.2,28.3%,,,60.4,,,,,,,,349.0,21.0,36.0,14.0,19.0
15.0,Tom Brady (TB),432.0,"3,554",8.2,,,28.0,,,64.0,,0.0,0.0,12.0,258.4,21.5,93.9%,,,67.4,,,,,,,,291.0,2.0,15.0,28.0,20.0
6.0,Devonta Freeman (NYG),227.0,"1,079",4.8,75.0,7.0,11.0,54.0,65.0,462.0,8.6,2.0,1.0,16.0,257.1,16.1,21.8%,,,,,,,,,,,,,,,21.0
16.0,Jameis Winston (NO),567.0,"4,090",7.2,,,28.0,,,165.0,,1.0,6.0,16.0,256.5,16.0,2.8%,,,60.8,,,,,,,,345.0,18.0,35.0,53.0,22.0
1.0,Jordy Nelson (FA),0.0,"1,257",,60.0,19.0,14.0,97.0,152.0,0.0,13.0,0.0,1.0,16.0,256.2,16.0,0.1%,,,,,,,,,,,,,,,23.0
2.0,Mike Evans (TB),0.0,"1,321",,45.0,15.0,12.0,96.0,173.0,0.0,13.8,0.0,0.0,16.0,256.1,16.0,98.5%,,,,,,,,,,,,,,,24.0
17.0,Cam Newton (NE),510.0,"3,509",6.9,,,19.0,,,359.0,,5.0,2.0,15.0,254.3,17.0,62.5%,,,52.9,,,,,,,,270.0,14.0,36.0,90.0,25.5
