"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","85","117","1,125","13.2","80","14","4","1","-5","0","0","16","180.5","11.3","100.0%"
"2","Kyle Rudolph (MIN)","83","132","840","10.1","44","11","7","0","0","0","0","16","167.5","10.5","28.5%"
"3","Greg Olsen (SEA)","80","129","1,073","13.4","78","14","3","0","0","0","0","16","167.3","10.5","7.1%"
"4","Jimmy Graham (CHI)","65","95","923","14.2","42","10","6","1","0","0","2","16","156.8","9.8","39.2%"
"5","Delanie Walker (FA)","65","102","800","12.3","47","13","7","2","11","0","0","15","155.6","10.4","0.1%"
"6","Zach Ertz (PHI)","78","106","816","10.5","30","9","4","0","0","0","0","14","144.6","10.3","62.0%"
"7","Cameron Brate (TB)","57","81","660","11.6","38","5","8","0","0","0","0","15","142.5","9.5","1.1%"
"8","Martellus Bennett (FA)","55","73","701","12.7","58","10","7","2","10","0","0","16","140.6","8.8","23.0%"
"9","Jordan Reed (SF)","66","89","686","10.4","33","9","6","0","0","0","1","12","135.6","11.3","20.8%"
"10","Dennis Pitta (FA)","86","121","729","8.5","30","4","2","0","0","0","1","16","125.9","7.9","0.0%"
"11","Antonio Gates (FA)","53","93","548","10.3","27","5","7","0","0","0","1","14","121.3","8.7","0.2%"
"12","Jason Witten (LV)","69","95","673","9.8","35","7","3","0","0","0","1","16","117.8","7.4","0.2%"
"13","Jack Doyle (IND)","59","75","584","9.9","24","5","5","0","0","0","1","16","115.9","7.2","5.5%"
"14","Eric Ebron (PIT)","61","85","711","11.7","61","9","1","1","1","1","0","13","113.7","8.7","83.3%"
"15","Coby Fleener (FA)","50","81","631","12.6","50","12","3","1","2","1","0","16","112.3","7.0","0.0%"
"16","Hunter Henry (LAC)","36","53","478","13.3","59","7","8","0","0","0","1","15","112.2","7.5","96.2%"
"17","Charles Clay (FA)","57","87","552","9.7","40","4","4","0","0","0","0","15","107.7","7.2","0.0%"
"18","C.J. Fiedorowicz (FA)","54","89","559","10.4","26","5","4","0","0","0","0","15","106.9","7.1","0.0%"
"19","Gary Barnidge (FA)","55","82","612","11.1","43","7","2","0","0","0","0","16","102.7","6.4","0.1%"
