"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Aaron Rodgers (GB)","401","610","65.7","4,428","7.3","40","7","35","67","369","4","4","16","380.0","23.8","98.1%"
"2","Matt Ryan (ATL)","373","534","69.9","4,944","9.3","38","7","37","35","117","0","2","16","347.5","21.7","84.1%"
"3","Drew Brees (NO)","471","673","70.0","5,208","7.7","37","15","27","23","20","2","4","16","332.3","20.8","57.6%"
"4","Andrew Luck (FA)","346","545","63.5","4,240","7.8","31","13","41","64","341","2","5","15","307.6","20.5","2.1%"
"5","Kirk Cousins (MIN)","406","606","67.0","4,917","8.1","25","12","23","34","96","4","3","16","300.7","18.8","56.7%"
"6","Dak Prescott (DAL)","311","459","67.8","3,667","8.0","23","4","25","57","282","6","4","16","287.1","17.9","18.6%"
"7","Matthew Stafford (DET)","388","594","65.3","4,327","7.3","24","10","37","37","207","2","2","16","279.7","17.5","54.2%"
"8","Tyrod Taylor (LAC)","269","436","61.7","3,023","6.9","17","6","42","95","580","6","2","15","270.9","18.1","0.7%"
"9","Blake Bortles (DEN)","368","625","58.9","3,905","6.2","23","16","34","58","359","3","6","16","270.6","16.9","0.0%"
"10","Russell Wilson (SEA)","353","546","64.7","4,219","7.7","21","11","41","72","259","1","2","16","269.1","16.8","100.0%"
"11","Derek Carr (LV)","357","560","63.8","3,937","7.0","28","6","16","39","70","0","3","15","268.4","17.9","50.9%"
"12","Marcus Mariota (LV)","276","451","61.2","3,426","7.6","26","9","23","60","349","2","5","15","260.7","17.4","0.1%"
"13","Andy Dalton (DAL)","364","563","64.7","4,206","7.5","18","8","41","46","184","4","3","16","260.6","16.3","9.2%"
"14","Philip Rivers (IND)","349","578","60.4","4,386","7.6","33","21","36","14","35","0","5","16","259.0","16.2","28.3%"
"15","Tom Brady (TB)","291","432","67.4","3,554","8.2","28","2","15","28","64","0","0","12","258.4","21.5","93.9%"
"16","Jameis Winston (NO)","345","567","60.8","4,090","7.2","28","18","35","53","165","1","6","16","256.5","16.0","2.8%"
"17","Cam Newton (NE)","270","510","52.9","3,509","6.9","19","14","36","90","359","5","2","15","254.3","17.0","62.5%"
"18","Ben Roethlisberger (PIT)","328","509","64.4","3,819","7.5","29","13","17","16","14","1","2","14","252.3","18.0","86.5%"
"19","Carson Palmer (FA)","364","597","61.0","4,233","7.1","26","14","40","14","38","0","4","15","243.2","16.2","5.6%"
"20","Joe Flacco (NYJ)","436","672","64.9","4,317","6.4","20","15","33","21","58","2","3","16","242.0","15.1","0.9%"
"21","Alex Smith (WAS)","328","489","67.1","3,502","7.2","15","8","28","48","134","5","4","15","224.4","15.0","6.1%"
"22","Eli Manning (FA)","377","598","63.0","4,027","6.7","26","16","21","21","-9","0","4","16","224.1","14.0","2.1%"
"23","Sam Bradford (FA)","395","552","71.6","3,877","7.0","20","5","37","20","53","0","5","15","221.4","14.8","0.0%"
"24","Carson Wentz (PHI)","379","607","62.4","3,782","6.2","16","14","33","46","150","2","3","16","213.5","13.3","58.8%"
"25","Colin Kaepernick (FA)","196","331","59.2","2,241","6.8","16","4","36","69","468","2","3","12","200.3","16.7","0.3%"
"26","Trevor Siemian (NO)","289","486","59.5","3,401","7.0","18","10","31","28","57","0","2","14","191.6","13.7","0.0%"
"27","Ryan Tannehill (TEN)","261","389","67.1","2,995","7.7","19","12","29","39","164","1","3","13","190.4","14.6","75.5%"
"28","Brock Osweiler (FA)","301","510","59.0","2,957","5.8","15","16","27","30","131","2","1","15","168.4","11.2","0.0%"
"29","Ryan Fitzpatrick (MIA)","228","403","56.6","2,710","6.7","12","17","19","33","130","0","1","14","133.3","9.5","17.2%"
"30","Case Keenum (CLE)","196","322","60.9","2,201","6.8","9","11","23","20","51","1","1","10","111.0","11.1","0.1%"
"31","Brian Hoyer (NE)","134","200","67.0","1,445","7.2","6","0","4","7","-2","0","1","6","79.2","13.2","0.1%"
"32","Cody Kessler (FA)","128","195","65.6","1,380","7.1","6","2","21","11","18","0","1","9","76.9","8.5","0.0%"
"33","Blaine Gabbert (TB)","91","160","56.9","925","5.8","5","6","11","40","173","2","0","6","73.2","12.2","0.1%"
"34","Matt Barkley (BUF)","129","216","59.7","1,611","7.5","8","14","6","7","2","0","2","7","71.3","10.2","0.0%"
"35","Robert Griffin III (BAL)","87","147","59.2","886","6.0","2","3","22","31","190","2","1","5","66.5","13.3","0.8%"
"36","Matt Moore (KC)","55","87","63.2","721","8.3","8","3","1","1","-1","0","0","4","54.7","13.7","0.0%"
"37","Jared Goff (LAR)","112","205","54.6","1,089","5.3","5","7","26","8","16","1","2","7","53.2","7.6","59.9%"
"38","Josh McCown (HOU)","90","165","54.5","1,100","6.7","6","6","18","7","21","0","4","5","52.1","10.4","0.0%"
"39","Jay Cutler (FA)","81","137","59.1","1,059","7.7","4","5","17","5","24","0","2","5","46.8","9.4","0.2%"
"40","Jimmy Garoppolo (SF)","43","63","68.3","502","8.0","4","0","3","10","6","0","1","6","35.6","5.9","9.5%"
"41","Landry Jones (FA)","53","86","61.6","558","6.5","4","2","4","6","-4","0","0","8","33.9","4.2","0.0%"
"42","Bryce Petty (FA)","75","133","56.4","809","6.1","3","7","13","5","19","0","1","6","32.3","5.4","0.0%"
"43","Paxton Lynch (FA)","49","83","59.0","497","6.0","2","1","9","11","25","0","0","3","28.4","9.5","0.0%"
"44","Jacoby Brissett (IND)","34","55","61.8","400","7.3","0","0","6","16","83","1","1","3","28.3","9.4","0.2%"
"45","Nick Foles (CHI)","36","55","65.5","410","7.5","3","0","4","4","-4","0","0","3","28.0","9.3","5.4%"
"46","Tom Savage (FA)","46","73","63.0","461","6.3","0","0","5","6","12","0","1","3","17.6","5.9","0.0%"
"47","Kevin Hogan (CIN)","14","26","53.8","104","4.0","0","2","2","8","105","1","0","4","16.7","4.2","0.0%"
"48","Derek Anderson (FA)","36","53","67.9","453","8.5","2","5","0","1","4","0","1","6","16.5","2.8","0.0%"
"49","Matt Cassel (FA)","30","51","58.8","284","5.6","2","2","5","4","3","0","0","4","15.7","3.9","0.0%"
"50","Shaun Hill (FA)","19","35","54.3","242","6.9","0","0","1","5","5","0","0","3","10.1","3.4","0.0%"
"51","Drew Stanton (FA)","19","48","39.6","192","4.0","2","3","1","3","-3","0","0","5","9.4","1.9","0.0%"
"52","Charlie Whitehurst (FA)","14","24","58.3","182","7.6","1","1","2","2","1","0","0","1","9.4","9.4","0.4%"
"53","Mike Glennon (JAC)","10","11","90.9","75","6.8","1","0","0","0","0","0","0","2","9.0","4.5","2.6%"
"54","Scott Tolzien (FA)","23","37","62.2","216","5.8","1","2","3","6","3","0","0","3","8.9","3.0","0.0%"
"55","Geno Smith (SEA)","8","14","57.1","126","9.0","1","1","3","2","9","0","0","2","7.9","4.0","0.1%"
"56","Trevone Boykin (FA)","13","18","72.2","145","8.1","1","1","1","8","1","0","0","5","7.9","1.6","0.0%"
"57","EJ Manuel (FA)","11","26","42.3","131","5.0","0","0","3","8","22","0","1","6","7.4","1.2","0.0%"
"58","Connor Cook (FA)","14","21","66.7","150","7.1","1","1","2","0","0","0","1","1","6.0","6.0","0.0%"
"59","Tony Romo (FA)","3","4","75.0","29","7.3","1","0","0","0","0","0","0","1","5.2","5.2","0.1%"
"60","Cardale Jones (FA)","6","11","54.5","96","8.7","0","1","1","1","-1","0","0","1","1.7","1.7","0.0%"
"61","Matt McGloin (FA)","8","15","53.3","50","3.3","0","0","0","3","-3","0","0","3","1.7","0.6","0.2%"
"62","David Fales (NYJ)","2","5","40.0","22","4.4","0","0","1","1","0","0","0","1","0.9","0.9","0.0%"
"63","Joe Webb III (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.8","0.1","0.0%"
"64","Chase Daniel (DET)","1","1","100.0","16","16.0","0","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"65","Matt Schaub (ATL)","1","3","33.3","16","5.3","0","0","0","2","-2","0","0","4","0.4","0.1","0.0%"
"66","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Jake Dolegala (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.4%"
"70","Jarrett Stidham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"71","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"72","Gardner Minshew II (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.0%"
"73","Nate Stanley (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Jake Browning (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Trace McSorley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"76","Clayton Thorson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"78","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Devlin Hodges (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Jordan Ta'amu (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.5%"
"82","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"83","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.2%"
"84","Jacob Eason (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"85","Jake Fromm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"86","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"88","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Lamar Jackson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"90","Josh Allen (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"91","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Baker Mayfield (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.3%"
"93","Sam Darnold (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8%"
"94","Josh Rosen (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"96","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.2%"
"97","Kyle Sloter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Phillip Walker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"99","Nick Mullens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"100","Mike White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Kyle Lauletta (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Ryan Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"103","Will Grier (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Daniel Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.2%"
"105","Drew Lock (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.9%"
"106","Dwayne Haskins (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"107","John Wolford (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Steven Montez (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Kyle Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"110","Kurt Benkert (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Tim Boyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Alex McGough (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Danny Etling (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Chris Streveler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Jake Luton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"116","Kendall Hinton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"117","Tommy Stevens (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"119","Reid Sinnett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","James Morgan (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Brandon Allen (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"122","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","John David Booty (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Alex Tanney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Colt McCoy (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"129","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Keith Null (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Josh Johnson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Jeff Driskel (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Taylor Heinicke (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Mitchell Trubisky (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.8%"
"136","Cooper Rush (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","C.J. Beathard (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"138","Davis Webb (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Joshua Dobbs (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Chad Kelly (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Nathan Peterman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"142","Patrick Mahomes II (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"143","Deshaun Watson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.9%"
"144","DeShone Kizer (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Jake Rudock (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Nate Sudfeld (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","AJ McCarron (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Teddy Bridgewater (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.7%"
"149","Ryan Griffin (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Tyler Bray (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Garrett Gilbert (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"153","Kellen Clemens (FA)","0","1","0.0","0","0.0","0","0","0","2","-1","0","0","12","-0.1","-0.0","0.0%"
"154","Chad Henne (KC)","0","0","0","0","0","0","0","0","1","-2","0","0","1","-0.2","-0.2","0.1%"
"155","Mark Sanchez (FA)","10","18","55.6","93","5.2","0","2","3","4","-2","0","0","2","-0.5","-0.3","0.1%"
"156","Sean Mannion (MIN)","3","6","50.0","19","3.2","0","1","0","1","-1","0","0","1","-1.3","-1.3","0.0%"
"157","Brett Hundley (ARI)","2","10","20.0","17","1.7","0","1","0","3","-2","0","0","4","-1.5","-0.4","0.0%"
"158","Ryan Mallett (FA)","3","6","50.0","26","4.3","0","1","0","5","-6","0","0","4","-1.5","-0.4","0.0%"
""
""
