"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"53","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1%"
"54","Kaare Vedvik (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"55","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"57","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Lirim Hajrullahu (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"61","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.9%"
"62","JJ Molson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Matt Gay (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3%"
"65","Tristan Vizcaino (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Elliott Fry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"67","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"68","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","33.3%"
"69","Joey Slye (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.8%"
"70","Chase McLaughlin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"71","Cameron Nizialek (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.1%"
"74","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Brett Maher (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"90","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"91","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Taylor Russolino (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
