"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","David Johnson (HOU)","293","1,239","4.2","58","6","16","80","120","879","11.0","4","3","16","367.8","23.0","86.7%"
"2","Ezekiel Elliott (DAL)","322","1,631","5.1","60","14","15","32","40","363","11.3","1","1","15","309.4","20.6","99.2%"
"3","Le'Veon Bell (KC)","261","1,268","4.9","44","4","7","75","94","616","8.2","2","1","12","279.9","23.3","61.4%"
"4","LeSean McCoy (TB)","234","1,267","5.4","75","11","13","50","57","356","7.1","1","0","15","273.8","18.3","1.3%"
"5","DeMarco Murray (FA)","293","1,287","4.4","75","4","9","53","67","377","7.1","3","1","16","267.3","16.7","0.1%"
"6","Devonta Freeman (NYG)","227","1,079","4.8","75","7","11","54","65","462","8.6","2","1","16","257.1","16.1","21.8%"
"7","Melvin Gordon III (DEN)","254","997","3.9","48","7","10","41","57","419","10.2","2","2","13","230.1","17.7","91.4%"
"8","LeGarrette Blount (FA)","299","1,161","3.9","44","7","18","7","8","38","5.4","0","1","16","229.4","14.3","0.0%"
"9","Mark Ingram II (BAL)","205","1,043","5.1","75","4","6","46","58","319","6.9","4","2","16","219.2","13.7","38.9%"
"10","Jordan Howard (PHI)","252","1,313","5.2","69","10","6","29","50","298","10.3","1","1","15","215.6","14.4","15.4%"
"11","Jay Ajayi (FA)","260","1,272","4.9","62","10","8","27","35","151","5.6","0","1","15","201.8","13.5","7.0%"
"12","Frank Gore (NYJ)","263","1,025","3.9","22","1","4","38","47","277","7.3","4","1","16","195.3","12.2","36.7%"
"13","Latavius Murray (NO)","195","788","4.0","42","5","12","33","43","264","8.0","0","1","14","191.7","13.7","63.8%"
"14","Isaiah Crowell (FA)","198","952","4.8","85","8","7","40","53","319","8.0","0","2","16","184.3","11.5","0.0%"
"15","Carlos Hyde (SEA)","217","988","4.6","47","7","6","27","33","163","6.0","3","3","13","178.6","13.7","27.3%"
"16","Spencer Ware (FA)","214","921","4.3","46","3","3","33","42","447","13.5","2","3","14","177.4","12.7","0.0%"
"17","Todd Gurley II (ATL)","278","885","3.2","24","2","6","43","58","327","7.6","0","1","16","176.7","11.0","96.7%"
"18","Lamar Miller (CHI)","268","1,073","4.0","45","7","5","31","39","188","6.1","1","1","14","175.6","12.5","0.3%"
"19","Tevin Coleman (SF)","118","520","4.4","55","5","8","31","40","421","13.6","3","0","13","175.6","13.5","16.6%"
"20","Matt Forte (FA)","218","813","3.7","32","5","7","30","43","263","8.8","1","1","14","168.6","12.0","19.1%"
"21","Bilal Powell (FA)","131","722","5.5","35","4","3","58","74","388","6.7","2","1","16","168.0","10.5","0.0%"
"22","Jeremy Hill (FA)","222","839","3.8","74","5","9","21","27","174","8.3","0","0","15","165.8","11.1","0.0%"
"23","Terrance West (FA)","193","774","4.0","41","5","5","34","45","236","6.9","1","0","16","154.0","9.6","0.0%"
"24","Jonathan Stewart (FA)","218","824","3.8","47","6","9","8","21","60","7.5","0","2","13","142.4","11.0","0.0%"
"25","Ryan Mathews (FA)","155","661","4.3","30","6","8","13","14","115","8.8","1","2","13","138.1","10.6","0.0%"
"26","Darren Sproles (FA)","94","438","4.7","25","1","2","52","71","427","8.2","2","0","15","136.5","9.1","0.0%"
"27","Theo Riddick (LV)","92","357","3.9","42","2","1","53","67","371","7.0","5","0","10","135.3","13.5","0.0%"
"28","James White (NE)","39","166","4.3","16","0","0","60","86","551","9.2","5","0","16","131.7","8.2","61.8%"
"29","Devontae Booker (LV)","174","612","3.5","18","0","4","31","45","265","8.5","1","3","16","127.2","8.0","71.0%"
"30","Jerick McKinnon (SF)","159","539","3.4","36","2","2","43","53","255","5.9","2","0","15","126.9","8.5","50.9%"
"31","Robert Kelley (FA)","168","704","4.2","66","4","6","12","18","82","6.8","1","0","15","126.6","8.4","0.0%"
"32","Christine Michael (FA)","148","583","3.9","42","3","7","22","29","107","4.9","1","1","15","126.0","8.4","0.0%"
"33","Chris Thompson (JAC)","68","356","5.2","25","2","3","49","62","349","7.1","2","1","16","123.0","7.7","3.6%"
"34","Mike Gillislee (FA)","101","577","5.7","44","7","8","9","11","50","5.6","1","0","15","121.1","8.1","0.0%"
"35","Rashad Jennings (FA)","181","593","3.3","25","3","3","35","42","201","5.7","1","0","13","120.9","9.3","0.0%"
"36","Duke Johnson Jr. (HOU)","73","358","4.9","22","2","1","53","74","514","9.7","0","1","16","118.5","7.4","57.4%"
"37","Matt Asiata (FA)","121","402","3.3","29","2","6","32","38","263","8.2","0","1","16","116.5","7.3","0.0%"
"38","Tim Hightower (FA)","133","548","4.1","30","4","4","22","26","200","9.1","1","0","16","115.8","7.2","0.0%"
"39","T.J. Yeldon (BUF)","130","465","3.6","16","0","1","50","68","312","6.2","1","1","15","112.7","7.5","0.1%"
"40","Giovani Bernard (CIN)","91","337","3.7","17","0","2","39","51","336","8.6","1","1","10","102.8","10.3","69.3%"
"41","Jalen Richard (LV)","83","491","5.9","75","5","1","29","39","194","6.7","2","0","16","101.1","6.3","3.9%"
"42","Derrick Henry (TEN)","110","490","4.5","22","1","5","13","15","137","10.5","0","0","15","99.2","6.6","100.0%"
"43","Robert Turbin (FA)","47","164","3.5","18","0","7","26","35","179","6.9","1","0","15","95.3","6.4","0.0%"
"44","C.J. Anderson (FA)","110","437","4.0","28","1","4","16","24","128","8.0","1","0","7","94.5","13.5","1.0%"
"45","Shaun Draughn (FA)","74","196","2.6","18","0","4","29","39","263","9.1","2","1","16","94.4","5.9","0.0%"
"46","DeAngelo Williams (FA)","98","343","3.5","17","0","4","18","27","118","6.6","2","0","9","91.1","10.1","0.1%"
"47","Kenneth Dixon (FA)","88","382","4.3","20","1","2","30","41","162","5.4","1","0","12","87.4","7.3","0.0%"
"48","Chris Ivory (FA)","117","439","3.8","42","2","3","20","28","186","9.3","0","3","11","84.5","7.7","0.0%"
"49","Jacquizz Rodgers (FA)","129","560","4.3","45","3","2","13","16","98","7.5","0","0","10","84.3","8.4","0.0%"
"50","Zach Zenner (FA)","88","334","3.8","20","1","4","18","23","196","10.9","0","1","14","84.0","6.0","0.0%"
"51","Damien Williams (KC)","35","115","3.3","23","1","3","23","32","249","10.8","3","1","15","81.9","5.5","2.0%"
"52","Charcandrick West (FA)","88","293","3.3","28","2","1","28","34","188","6.7","2","0","15","80.1","5.3","0.0%"
"53","Doug Martin (FA)","144","421","2.9","17","0","3","14","16","134","9.6","0","1","8","78.5","9.8","0.0%"
"54","DeAndre Washington (MIA)","87","467","5.4","30","7","2","17","23","115","6.8","0","1","14","76.7","5.5","0.7%"
"55","Travaris Cadet (FA)","4","19","4.8","16","0","0","40","54","281","7.0","4","0","15","74.0","4.9","0.0%"
"56","Matt Jones (FA)","99","460","4.6","57","3","3","8","8","73","9.1","0","2","7","71.3","10.2","0.0%"
"57","Paul Perkins (IND)","112","456","4.1","22","2","0","15","24","162","10.8","0","0","14","69.3","5.0","0.0%"
"58","Thomas Rawls (FA)","109","349","3.2","45","1","3","13","17","96","7.4","0","0","9","69.0","7.7","0.1%"
"59","Rex Burkhead (NE)","74","344","4.6","17","0","2","17","20","145","8.5","0","1","16","67.4","4.2","12.8%"
"60","Jeremy Langford (FA)","62","200","3.2","23","1","4","19","27","142","7.5","0","2","12","63.7","5.3","0.0%"
"61","Fozzy Whittaker (FA)","57","265","4.6","25","1","0","25","33","226","9.0","0","1","16","59.6","3.7","0.0%"
"62","Alfred Blue (FA)","100","420","4.2","25","2","1","12","16","40","3.3","0","1","14","56.0","4.0","0.0%"
"63","Charles Sims (FA)","51","149","2.9","23","1","1","24","32","190","7.9","1","1","7","55.9","8.0","0.0%"
"64","Kyle Juszczyk (SF)","5","22","4.4","10","0","1","37","49","266","7.2","0","0","16","55.3","3.5","0.4%"
"65","C.J. Prosise (HOU)","30","172","5.7","72","1","1","17","19","208","12.2","0","0","6","52.5","8.8","0.1%"
"66","Justin Forsett (FA)","87","291","3.3","64","1","1","20","27","85","4.3","0","1","9","52.1","5.8","0.0%"
"67","Jamize Olawale (DAL)","17","47","2.8","17","0","2","12","14","227","18.9","1","0","16","51.4","3.2","0.0%"
"68","James Starks (FA)","63","145","2.3","11","0","0","19","25","134","7.1","2","0","9","49.4","5.5","0.0%"
"69","John Kuhn (FA)","18","37","2.1","4","0","4","16","20","70","4.4","1","0","16","48.7","3.0","0.0%"
"70","Dion Lewis (NYG)","64","283","4.4","15","0","0","17","24","94","5.5","0","0","7","46.2","6.6","1.9%"
