"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Jordy Nelson (FA)","97","152","1,257","13.0","60","19","14","0","0","0","1","16","256.2","16.0","0.1%"
"2","Mike Evans (TB)","96","173","1,321","13.8","45","15","12","0","0","0","0","16","256.1","16.0","98.5%"
"3","Antonio Brown (TB)","106","154","1,284","12.1","51","22","12","3","9","0","0","15","254.3","17.0","70.1%"
"4","Odell Beckham Jr. (CLE)","101","169","1,367","13.5","75","20","10","1","9","0","1","16","246.1","15.4","25.6%"
"5","T.Y. Hilton (IND)","91","155","1,448","15.9","63","28","6","0","0","0","0","16","228.3","14.3","46.5%"
"6","Julio Jones (ATL)","83","129","1,409","17.0","75","27","6","0","0","0","0","14","218.4","15.6","99.5%"
"7","Michael Thomas (NO)","92","121","1,137","12.4","46","18","9","0","0","0","2","15","209.7","14.0","99.5%"
"8","Davante Adams (GB)","75","121","997","13.3","66","17","12","0","0","0","1","16","209.2","13.1","100.0%"
"9","Brandin Cooks (HOU)","78","117","1,173","15.0","98","15","8","6","30","0","0","16","207.3","13.0","90.7%"
"10","Doug Baldwin (FA)","94","125","1,128","12.0","59","16","7","3","2","0","0","16","206.6","12.9","0.0%"
"11","Michael Crabtree (FA)","89","145","1,003","11.3","56","10","8","0","0","0","0","16","194.8","12.2","0.0%"
"12","Larry Fitzgerald (ARI)","107","150","1,023","9.6","32","8","6","2","5","0","1","16","190.9","11.9","10.9%"
"13","Amari Cooper (DAL)","83","132","1,153","13.9","64","21","5","1","0","0","0","16","189.9","11.9","97.1%"
"14","Jarvis Landry (CLE)","94","131","1,136","12.1","71","16","4","5","17","0","2","16","184.5","11.5","85.9%"
"15","Tyrell Williams (LV)","69","119","1,059","15.3","51","19","7","0","0","0","0","16","182.4","11.4","1.2%"
"16","Julian Edelman (NE)","98","159","1,106","11.3","77","11","3","12","57","0","2","16","181.3","11.3","28.5%"
