Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Demaryius Thomas,DEN,WR,18,40,45.00,6
2,Antonio Brown,PIT,WR,19,33,57.58,9
3,Jordy Nelson,GB,WR,13,32,40.63,5
4,Andre Johnson,HOU,WR,13,29,44.83,3
5,Randall Cobb,GB,WR,18,27,66.67,10
6,Odell Beckham Jr.,NYG,WR,17,27,62.96,8
7,Emmanuel Sanders,DEN,WR,17,25,68.00,6
8,Martellus Bennett,CHI,TE,12,24,50.00,6
9,Larry Donnell,NYG,TE,12,24,50.00,6
10,Jimmy Graham,NO,TE,13,23,56.52,9
11,Alshon Jeffery,CHI,WR,11,23,47.83,8
12,Julian Edelman,NE,WR,12,22,54.55,4
13,Mike Wallace,MIA,WR,13,21,61.90,9
14,Steve Smith,BAL,WR,9,21,42.86,2
15,Charles Clay,MIA,TE,8,20,40.00,2
16,Kelvin Benjamin,CAR,WR,6,20,30.00,3
17,Brandon Marshall,CHI,WR,10,19,52.63,6
18,Greg Olsen,CAR,TE,10,19,52.63,5
19,Rueben Randle,NYG,WR,8,19,42.11,3
20,Rob Gronkowski,NE,TE,12,18,66.67,9
21,Heath Miller,PIT,TE,12,18,66.67,3
22,Antonio Gates,SD,TE,11,18,61.11,9
23,Torrey Smith,BAL,WR,9,18,50.00,7
24,Anquan Boldin,SF,WR,9,17,52.94,2
25,Jordan Matthews,PHI,WR,10,16,62.50,6
26,Dez Bryant,DAL,WR,9,16,56.25,8
27,Eric Decker,NYJ,WR,9,16,56.25,3
28,Mohamed Sanu,CIN,WR,6,16,37.50,2
29,Julius Thomas,DEN,TE,13,15,86.67,9
30,Owen Daniels,BAL,TE,10,15,66.67,4
31,Mike Evans,TB,WR,8,15,53.33,6
32,A.J. Green,CIN,WR,7,15,46.67,3
33,Andrew Quarless,GB,TE,6,15,40.00,3
34,Calvin Johnson,DET,WR,6,15,40.00,5
35,Cecil Shorts,JAC,WR,6,15,40.00,1
36,Brandon LaFell,NE,WR,6,15,40.00,5
37,Riley Cooper,PHI,WR,5,15,33.33,3
38,Hakeem Nicks,IND,WR,5,15,33.33,3
39,Golden Tate,DET,WR,13,14,92.86,2
40,Greg Jennings,MIN,WR,10,14,71.43,6
41,Roddy White,ATL,WR,9,14,64.29,6
42,DeAndre Hopkins,HOU,WR,8,14,57.14,2
43,Jamaal Charles,KC,RB,8,14,57.14,5
44,Coby Fleener,IND,TE,7,14,50.00,5
45,Ahmad Bradshaw,IND,RB,13,13,100.00,6
46,Jarvis Landry,MIA,WR,11,13,84.62,5
47,Travis Kelce,KC,TE,10,13,76.92,5
48,LeVeon Bell,PIT,RB,10,13,76.92,3
49,Jermaine Gresham,CIN,TE,9,13,69.23,5
50,James Jones,OAK,WR,9,13,69.23,5
51,Matt Forte,CHI,RB,9,13,69.23,3
52,Larry Fitzgerald,ARI,WR,8,13,61.54,1
53,Terrance Williams,DAL,WR,8,13,61.54,5
54,Eddie Lacy,GB,RB,8,13,61.54,2
55,Julio Jones,ATL,WR,7,13,53.85,2
56,Scott Chandler,BUF,TE,7,13,53.85,2
57,Malcom Floyd,SD,WR,7,13,53.85,4
58,Keenan Allen,SD,WR,7,13,53.85,2
59,T.Y. Hilton,IND,WR,5,13,38.46,2
60,Zach Ertz,PHI,TE,4,13,30.77,1
61,Delanie Walker,TEN,TE,4,13,30.77,3
62,Doug Baldwin,SEA,WR,8,12,66.67,2
63,Andre Roberts,WAS,WR,7,12,58.33,2
64,Davante Adams,GB,WR,7,12,58.33,2
65,Michael Crabtree,SF,WR,7,12,58.33,2
66,Jeremy Maclin,PHI,WR,6,12,50.00,3
67,Marques Colston,NO,WR,6,12,50.00,3
68,Shane Vereen,NE,RB,5,12,41.67,2
69,Reggie Bush,DET,RB,5,12,41.67,0
70,DeSean Jackson,WAS,WR,5,12,41.67,1
71,Robert Woods,BUF,WR,7,11,63.64,3
72,Eddie Royal,SD,WR,6,11,54.55,5
73,Jared Cook,STL,TE,5,11,45.45,1
74,Arian Foster,HOU,RB,5,11,45.45,4
