Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Davante Adams,GB,WR,16,32,50.00,12
2,Michael Thomas,NO,WR,24,31,77.42,7
3,Travis Kelce,KC,TE,19,30,63.33,9
4,Alvin Kamara,NO,RB,22,29,75.86,5
5,JuJu Smith-Schuster,PIT,WR,15,29,51.72,5
6,DeAndre Hopkins,HOU,WR,17,28,60.71,9
7,Zach Ertz,PHI,TE,16,28,57.14,7
8,James White,NE,RB,16,22,72.73,7
9,Eric Ebron,IND,TE,12,22,54.55,11
10,George Kittle,SF,TE,12,21,57.14,3
11,Antonio Brown,PIT,WR,11,21,52.38,6
12,Odell Beckham Jr.,NYG,WR,7,21,33.33,5
13,Adam Thielen,MIN,WR,15,20,75.00,6
14,Jarvis Landry,CLE,WR,10,20,50.00,2
15,Sterling Shepard,NYG,WR,9,20,45.00,4
16,Julian Edelman,NE,WR,14,19,73.68,4
17,Stefon Diggs,MIN,WR,12,19,63.16,6
18,Todd Gurley,LA,RB,9,19,47.37,4
19,Brandin Cooks,LA,WR,16,18,88.89,5
20,Tarik Cohen,CHI,RB,12,17,70.59,5
21,Ezekiel Elliott,DAL,RB,12,17,70.59,2
22,Adam Humphries,TB,WR,11,17,64.71,4
23,Julio Jones,ATL,WR,10,17,58.82,5
24,Larry Fitzgerald,ARI,WR,8,17,47.06,5
25,T.Y. Hilton,IND,WR,7,17,41.18,5
26,Christian McCaffrey,CAR,RB,14,16,87.50,5
27,Keenan Allen,LAC,WR,11,16,68.75,6
28,Jared Cook,OAK,TE,10,16,62.50,4
29,Tyreek Hill,KC,WR,10,16,62.50,5
30,Zay Jones,BUF,WR,7,16,43.75,5
31,Kenny Golladay,DET,WR,6,16,37.50,5
32,Allen Robinson,CHI,WR,5,16,31.25,3
33,Saquon Barkley,NYG,RB,11,15,73.33,3
34,Mike Williams,LAC,WR,8,15,53.33,7
35,Kyle Rudolph,MIN,TE,8,15,53.33,3
36,Robert Woods,LA,WR,7,15,46.67,4
37,Chris Godwin,TB,WR,6,15,40.00,6
38,Corey Davis,TEN,WR,6,15,40.00,2
39,Doug Baldwin,SEA,WR,5,15,33.33,3
40,Trey Burton,CHI,TE,11,14,78.57,5
41,Dede Westbrook,JAX,WR,8,14,57.14,4
42,Josh Reynolds,LA,WR,7,14,50.00,4
43,A.J. Green,CIN,WR,7,14,50.00,5
44,John Brown,BAL,WR,5,14,35.71,3
45,Melvin Gordon,LAC,RB,9,13,69.23,3
46,Austin Hooper,ATL,TE,9,13,69.23,4
47,Kendrick Bourne,SF,WR,9,13,69.23,4
48,Cameron Brate,TB,TE,9,13,69.23,6
49,Nelson Agholor,PHI,WR,8,13,61.54,2
50,Alshon Jeffery,PHI,WR,8,13,61.54,6
51,Devin Funchess,CAR,WR,8,13,61.54,4
52,Mike Evans,TB,WR,6,13,46.15,4
53,Jeff Heuerman,DEN,TE,5,13,38.46,3
54,Tyler Boyd,CIN,WR,9,12,75.00,5
55,Emmanuel Sanders,DEN,WR,9,12,75.00,1
56,Cooper Kupp,LA,WR,9,12,75.00,3
57,John Ross,CIN,WR,8,12,66.67,5
58,Cole Beasley,DAL,WR,6,12,50.00,2
59,Ryan Griffin,HOU,TE,2,12,16.67,0
60,Nyheim Hines,IND,RB,9,11,81.82,2
61,Chris Conley,KC,WR,8,11,72.73,5
62,Gerald Everett,LA,TE,7,11,63.64,2
63,Anthony Miller,CHI,WR,7,11,63.64,5
64,Jimmy Graham,GB,TE,5,11,45.45,3
65,Marvin Jones,DET,WR,5,11,45.45,3
66,Tajae Sharpe,TEN,WR,4,11,36.36,2
67,Mark Andrews,BAL,TE,3,11,27.27,2
68,Tevin Coleman,ATL,RB,8,10,80.00,4
69,Theo Riddick,DET,RB,8,10,80.00,0
70,Calvin Ridley,ATL,WR,8,10,80.00,7
71,David Johnson,ARI,RB,6,10,60.00,1
72,David Njoku,CLE,TE,5,10,50.00,4
73,Sammy Watkins,KC,WR,5,10,50.00,3
74,Vance McDonald,PIT,TE,5,10,50.00,3
75,Robby Anderson,NYJ,WR,4,10,40.00,2
76,TreQuan Smith,NO,WR,4,10,40.00,3
77,Jermaine Kearse,NYJ,WR,4,10,40.00,1
78,Marquez Valdes-Scantling,GB,WR,2,10,20.00,2
79,Courtland Sutton,DEN,WR,2,10,20.00,2
80,Chris Herndon,NYJ,TE,7,9,77.78,4
81,Jordan Thomas,HOU,TE,7,9,77.78,4
82,Kareem Hunt,KC,RB,6,9,66.67,3
83,Duke Johnson,CLE,RB,6,9,66.67,3
84,Benjamin Watson,NO,TE,6,9,66.67,3
85,Michael Crabtree,BAL,WR,5,9,55.56,3
86,Curtis Samuel,CAR,WR,4,9,44.44,3
87,Quincy Enunwa,NYJ,WR,4,9,44.44,0
88,Amari Cooper,DAL,WR,4,9,44.44,2
89,David Moore,SEA,WR,3,9,33.33,3
90,Rob Gronkowski,NE,TE,3,9,33.33,1
91,Chester Rogers,IND,WR,3,9,33.33,2
92,Antonio Gates,LAC,TE,2,9,22.22,2
93,Dion Lewis,TEN,RB,7,8,87.50,1
94,Phillip Dorsett,NE,WR,7,8,87.50,3
95,Demaryius Thomas,DEN,WR,7,8,87.50,2
96,Devontae Booker,DEN,RB,6,8,75.00,0
97,Zach Pascal,IND,WR,6,8,75.00,2
98,Antonio Callaway,CLE,WR,6,8,75.00,4
99,Jordy Nelson,OAK,WR,6,8,75.00,3
100,Joe Mixon,CIN,RB,5,8,62.50,1
101,Ian Thomas,CAR,TE,5,8,62.50,2
102,Mohamed Sanu,ATL,WR,5,8,62.50,2
103,D.J. Moore,CAR,WR,5,8,62.50,2
104,Taylor Gabriel,CHI,WR,5,8,62.50,2
105,Keelan Cole,JAX,WR,3,8,37.50,0
106,Jesse James,PIT,TE,3,8,37.50,1
107,Michael Gallup,DAL,WR,3,8,37.50,2
108,Josh Gordon,NE,WR,2,8,25.00,0
109,Chris Hogan,NE,WR,2,8,25.00,1
110,Josh Doctson,WAS,WR,2,8,25.00,2
111,Ryan Switzer,PIT,WR,6,7,85.71,1
112,Jaron Brown,SEA,WR,6,7,85.71,5
113,James Conner,PIT,RB,6,7,85.71,1
114,Willie Snead,BAL,WR,5,7,71.43,1
115,O.J. Howard,TB,TE,5,7,71.43,4
116,Dallas Goedert,PHI,TE,5,7,71.43,3
117,Wendell Smallwood,PHI,RB,5,7,71.43,1
118,Nick Vannett,SEA,TE,5,7,71.43,3
119,Tyler Lockett,SEA,WR,5,7,71.43,3
120,Dontrelle Inman,IND,WR,4,7,57.14,3
121,Evan Engram,NYG,TE,4,7,57.14,3
122,Christian Kirk,ARI,WR,3,7,42.86,1
123,Kenyan Drake,MIA,RB,3,7,42.86,1
124,Nick Boyle,BAL,TE,3,7,42.86,1
125,Javorius Allen,BAL,RB,6,6,100.00,2
126,Jack Doyle,IND,TE,6,6,100.00,2
127,Phillip Lindsay,DEN,RB,5,6,83.33,0
128,Ryan Grant,IND,WR,5,6,83.33,1
129,Jacquizz Rodgers,TB,RB,5,6,83.33,0
130,Greg Olsen,CAR,TE,5,6,83.33,4
131,Zach Line,NO,FB,5,6,83.33,2
132,Jaylen Samuels,PIT,RB,5,6,83.33,3
133,Justin Hardy,ATL,WR,4,6,66.67,2
134,Demarcus Robinson,KC,WR,4,6,66.67,3
135,Golden Tate,PHI,WR,4,6,66.67,1
136,C.J. Uzomah,CIN,TE,4,6,66.67,3
137,Trent Taylor,SF,WR,4,6,66.67,1
138,Taywan Taylor,TEN,WR,4,6,66.67,1
