Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,DeAndre Hopkins,HOU,WR,14,30,46.67,8
2,Eric Decker,NYJ,WR,12,28,42.86,10
3,Antonio Brown,PIT,WR,17,25,68.00,9
4,Brandon Marshall,NYJ,WR,14,25,56.00,10
5,Randall Cobb,GB,WR,12,25,48.00,6
6,Gary Barnidge,CLE,TE,9,24,37.50,8
7,Jordan Reed,WAS,TE,16,23,69.57,11
8,Jarvis Landry,MIA,WR,13,23,56.52,4
9,Julio Jones,ATL,WR,13,22,59.09,5
10,Odell Beckham Jr.,NYG,WR,12,22,54.55,7
11,A.J. Green,CIN,WR,12,22,54.55,7
12,Allen Robinson,JAC,WR,14,21,66.67,12
13,Larry Fitzgerald,ARI,WR,13,21,61.90,8
14,Greg Olsen,CAR,TE,13,21,61.90,6
15,Rob Gronkowski,NE,TE,11,20,55.00,7
16,Demaryius Thomas,DEN,WR,11,20,55.00,3
17,Calvin Johnson,DET,WR,11,20,55.00,7
18,Benjamin Watson,NO,TE,12,19,63.16,6
19,Anquan Boldin,SF,WR,10,19,52.63,3
20,Mike Evans,TB,WR,4,19,21.05,3
21,Danny Woodhead,SD,RB,12,18,66.67,6
22,Richard Rodgers,GB,TE,12,18,66.67,8
23,John Brown,ARI,WR,11,18,61.11,7
24,James Jones,GB,WR,6,18,33.33,6
25,Delanie Walker,TEN,TE,14,17,82.35,4
26,Julian Edelman,NE,WR,12,17,70.59,6
27,Cole Beasley,DAL,WR,11,17,64.71,5
28,Golden Tate,DET,WR,10,17,58.82,5
29,T.Y. Hilton,IND,WR,8,17,47.06,3
30,Pierre Garcon,WAS,WR,8,17,47.06,5
31,Alshon Jeffery,CHI,WR,7,17,41.18,4
32,Jeremy Maclin,KC,WR,12,16,75.00,6
33,Tyler Eifert,CIN,TE,12,16,75.00,11
34,Doug Baldwin,SEA,WR,10,16,62.50,7
35,Jordan Matthews,PHI,WR,10,16,62.50,5
36,Allen Hurns,JAC,WR,10,16,62.50,6
37,Antonio Gates,SD,TE,9,16,56.25,6
38,Heath Miller,PIT,TE,8,16,50.00,2
39,Jordan Cameron,MIA,TE,7,16,43.75,4
40,Markus Wheaton,PIT,WR,7,16,43.75,3
41,Travis Benjamin,CLE,WR,5,15,33.33,1
42,Michael Crabtree,OAK,WR,3,15,20.00,2
43,Theo Riddick,DET,RB,11,14,78.57,2
44,Devonta Freeman,ATL,RB,9,14,64.29,4
45,Vincent Jackson,TB,WR,6,14,42.86,4
46,Brian Hartline,CLE,WR,8,13,61.54,2
47,Jason Witten,DAL,TE,8,13,61.54,3
48,Davante Adams,GB,WR,6,13,46.15,1
49,Travis Kelce,KC,TE,6,13,46.15,5
50,Devin Funchess,CAR,WR,5,13,38.46,5
51,Martavis Bryant,PIT,WR,5,13,38.46,3
52,Nate Washington,HOU,WR,5,13,38.46,2
53,Shane Vereen,NYG,RB,9,12,75.00,4
54,Javorius Allen,BAL,RB,8,12,66.67,1
55,Eddie Royal,CHI,WR,7,12,58.33,1
56,Michael Floyd,ARI,WR,6,12,50.00,4
57,Jamison Crowder,WAS,WR,5,12,41.67,3
58,Will Tye,NYG,TE,5,12,41.67,3
59,Steve Smith,BAL,WR,4,12,33.33,1
60,Terrance Williams,DAL,WR,3,12,25.00,1
61,Marvin Jones,CIN,WR,7,11,63.64,2
62,Seth Roberts,OAK,WR,6,11,54.55,5
63,Jermaine Kearse,SEA,WR,6,11,54.55,3
64,Dwayne Harris,NYG,WR,6,11,54.55,3
65,Andre Johnson,IND,WR,5,11,45.45,4
66,Bryan Walters,JAC,WR,5,11,45.45,1
67,Ted Ginn,CAR,WR,5,11,45.45,6
68,Josh Hill,NO,TE,5,11,45.45,3
69,Austin Seferian-Jenkins,TB,TE,3,11,27.27,2
70,Danny Amendola,NE,WR,8,10,80.00,3
71,Donte Moncrief,IND,WR,8,10,80.00,5
