Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Jordy Nelson,GB,WR,22,35,62.86,11
2,Kyle Rudolph,MIN,TE,16,30,53.33,7
3,Michael Crabtree,OAK,WR,12,26,46.15,7
4,Odell Beckham Jr.,NYG,WR,10,26,38.46,5
5,Davante Adams,GB,WR,14,25,56.00,9
6,Anquan Boldin,DET,WR,16,24,66.67,7
7,Antonio Gates,SD,TE,9,24,37.50,7
8,Demaryius Thomas,DEN,WR,16,23,69.57,4
9,Allen Robinson,JAX,WR,8,22,36.36,6
10,Larry Fitzgerald,ARI,WR,13,20,65.00,4
11,Jason Witten,DAL,TE,12,20,60.00,2
12,Emmanuel Sanders,DEN,WR,9,20,45.00,3
13,Seth Roberts,OAK,WR,8,20,40.00,3
14,Jimmy Graham,SEA,TE,8,20,40.00,4
15,Brandon LaFell,CIN,WR,7,20,35.00,4
16,Brandon Marshall,NYJ,WR,7,20,35.00,4
17,Cameron Brate,TB,TE,12,19,63.16,10
18,Travis Kelce,KC,TE,9,19,47.37,3
19,Mike Evans,TB,WR,9,19,47.37,7
20,Michael Thomas,NO,WR,13,18,72.22,7
21,DeMarco Murray,TEN,RB,13,18,72.22,3
22,Coby Fleener,NO,TE,10,18,55.56,3
23,Antonio Brown,PIT,WR,10,18,55.56,5
24,Greg Olsen,CAR,TE,9,18,50.00,2
25,Rishard Matthews,TEN,WR,13,17,76.47,8
26,Devonta Freeman,ATL,RB,12,17,70.59,2
27,Hunter Henry,SD,TE,11,17,64.71,8
28,Tyrell Williams,SD,WR,10,17,58.82,2
29,Delanie Walker,TEN,TE,9,17,52.94,6
30,Golden Tate,DET,WR,9,17,52.94,1
31,Marvin Jones,DET,WR,6,17,35.29,2
32,Nelson Agholor,PHI,WR,6,17,35.29,0
33,Amari Cooper,OAK,WR,5,17,29.41,0
34,Doug Baldwin,SEA,WR,11,16,68.75,6
35,Randall Cobb,GB,WR,10,16,62.50,4
36,T.Y. Hilton,IND,WR,9,16,56.25,2
37,Jamison Crowder,WAS,WR,9,16,56.25,3
38,Zach Ertz,PHI,TE,8,16,50.00,4
39,Jermaine Kearse,SEA,WR,1,16,6.25,1
40,Tyreek Hill,KC,WR,12,15,80.00,3
41,Theo Riddick,DET,RB,12,15,80.00,5
42,Jordan Reed,WAS,TE,10,15,66.67,5
43,Mohamed Sanu,ATL,WR,10,15,66.67,4
44,David Johnson,ARI,RB,8,15,53.33,3
45,Kelvin Benjamin,CAR,WR,8,15,53.33,5
46,Julian Edelman,NE,WR,6,15,40.00,2
47,Chris Conley,KC,WR,4,15,26.67,0
48,Devin Funchess,CAR,WR,3,15,20.00,3
49,Jack Doyle,IND,TE,11,14,78.57,4
50,Sterling Shepard,NYG,WR,11,14,78.57,6
51,Terrelle Pryor,CLE,WR,10,14,71.43,4
52,Ty Montgomery,GB,RB,9,14,64.29,1
53,Charles Clay,BUF,TE,8,14,57.14,3
54,Dez Bryant,DAL,WR,7,14,50.00,5
55,Quincy Enunwa,NYJ,WR,6,14,42.86,1
56,Allen Hurns,JAX,WR,5,14,35.71,2
57,DeAndre Hopkins,HOU,WR,3,14,21.43,1
58,Bilal Powell,NYJ,RB,10,13,76.92,1
59,Martellus Bennett,NE,TE,9,13,69.23,6
60,Darren Sproles,PHI,RB,6,13,46.15,1
61,Pierre Garcon,WAS,WR,5,13,38.46,1
62,Stefon Diggs,MIN,WR,11,12,91.67,1
63,Brandin Cooks,NO,WR,10,12,83.33,4
64,Malcolm Mitchell,NE,WR,9,12,75.00,3
65,Jesse James,PIT,TE,8,12,66.67,3
66,Tevin Coleman,ATL,RB,8,12,66.67,2
67,Willie Snead,NO,WR,8,12,66.67,4
68,Steve Smith,BAL,WR,7,12,58.33,3
69,Dennis Pitta,BAL,TE,7,12,58.33,2
70,Kenny Britt,LA,WR,7,12,58.33,5
71,Cameron Meredith,CHI,WR,6,12,50.00,1
72,C.J. Fiedorowicz,HOU,TE,6,12,50.00,3
73,Dorial Green-Beckham,PHI,WR,6,12,50.00,2
74,Jordan Matthews,PHI,WR,5,12,41.67,3
75,Andrew Hawkins,CLE,WR,5,12,41.67,3
76,Alshon Jeffery,CHI,WR,4,12,33.33,2
77,DeSean Jackson,WAS,WR,4,12,33.33,1
