Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
118,Darius Slayton,NYG,WR,3,7,42.86,2
119,LeSean McCoy,KC,RB,3,7,42.86,1
120,Michael Gallup,DAL,WR,3,7,42.86,2
121,Demetrius Harris,CLE,TE,2,7,28.57,2
122,Chris Conley,JAX,WR,2,7,28.57,2
123,Noah Fant,DEN,TE,1,7,14.29,1
124,Cameron Brate,TB,TE,6,6,100.00,5
125,Taysom Hill,NO,QB,6,6,100.00,4
126,David Johnson,ARI,RB,6,6,100.00,2
127,Mark Ingram,BAL,RB,6,6,100.00,4
128,Charles Clay,ARI,TE,5,6,83.33,2
129,Kendrick Bourne,SF,WR,5,6,83.33,5
130,Adam Thielen,MIN,WR,5,6,83.33,3
131,Chase Edmonds,ARI,RB,4,6,66.67,1
132,Keelan Cole,JAX,WR,4,6,66.67,2
133,Will Fuller,HOU,WR,4,6,66.67,1
134,Royce Freeman,DEN,RB,4,6,66.67,1
135,Tyreek Hill,KC,WR,4,6,66.67,3
136,Ricky Seals-Jones,CLE,TE,4,6,66.67,3
137,Allen Hurns,MIA,WR,4,6,66.67,2
138,JuJu Smith-Schuster,PIT,WR,4,6,66.67,0
139,Jaron Brown,SEA,WR,3,6,50.00,2
140,DaeSean Hamilton,DEN,WR,3,6,50.00,1
141,Paul Richardson,WAS,WR,3,6,50.00,2
142,Tony Pollard,DAL,RB,3,6,50.00,0
143,Demaryius Thomas,NYJ,WR,3,6,50.00,2
144,Saquon Barkley,NYG,RB,3,6,50.00,1
145,Isaiah McKenzie,BUF,WR,3,6,50.00,1
146,Phillip Lindsay,DEN,RB,3,6,50.00,1
147,Sammy Watkins,KC,WR,3,6,50.00,1
148,Demarcus Robinson,KC,WR,2,6,33.33,1
149,Stefon Diggs,MIN,WR,2,6,33.33,2
150,Jordan Akins,HOU,TE,2,6,33.33,1
151,KeeSean Johnson,ARI,WR,1,6,16.67,1
152,Parris Campbell,IND,WR,5,5,100.00,1
153,Kaden Smith,NYG,TE,5,5,100.00,3
154,James Conner,PIT,RB,5,5,100.00,1
155,Tajae Sharpe,TEN,WR,4,5,80.00,3
156,Melvin Gordon,LAC,RB,4,5,80.00,1
157,Emmanuel Sanders,SF,WR,3,5,60.00,2
158,Cody Latimer,NYG,WR,3,5,60.00,2
159,Todd Gurley,LA,RB,3,5,60.00,2
160,Mohamed Sanu,NE,WR,3,5,60.00,1
161,Dion Lewis,TEN,RB,3,5,60.00,1
162,Cordarrelle Patterson,CHI,WR,3,5,60.00,0
163,Nyheim Hines,IND,RB,3,5,60.00,0
164,Chris Thompson,WAS,RB,2,5,40.00,0
165,Nick Chubb,CLE,RB,2,5,40.00,0
166,Devin Singletary,BUF,RB,2,5,40.00,0
167,Trey Quinn,WAS,WR,2,5,40.00,1
168,Nick Boyle,BAL,TE,2,5,40.00,2
169,Patrick Laird,MIA,RB,2,5,40.00,0
170,Allen Lazard,GB,WR,2,5,40.00,0
171,Kalen Ballage,MIA,RB,2,5,40.00,0
172,Antonio Brown,NE,WR,2,5,40.00,1
173,Robby Anderson,NYJ,WR,2,5,40.00,2
174,Jakobi Meyers,NE,WR,1,5,20.00,0
175,Sony Michel,NE,RB,1,5,20.00,0
176,Miles Boykin,BAL,WR,4,4,100.00,3
177,TreQuan Smith,NO,WR,4,4,100.00,4
178,Ross Dwelley,SF,TE,4,4,100.00,3
179,Jeff Heuerman,DEN,TE,3,4,75.00,1
180,NKeal Harry,NE,WR,3,4,75.00,2
181,Virgil Green,LAC,TE,3,4,75.00,1
182,James OShaughnessy,JAX,TE,3,4,75.00,2
183,Anthony Firkser,TEN,TE,3,4,75.00,2
184,Chester Rogers,IND,WR,2,4,50.00,2
185,Jarius Wright,CAR,WR,2,4,50.00,1
186,Marcus Johnson,IND,WR,2,4,50.00,1
187,Dante Pettis,SF,WR,2,4,50.00,1
188,Bennie Fowler,NYG,WR,2,4,50.00,0
189,Brandin Cooks,LA,WR,2,4,50.00,1
190,Adam Humphries,TEN,WR,2,4,50.00,1
191,Zay Jones,OAK,WR,2,4,50.00,0
192,Antonio Callaway,CLE,WR,2,4,50.00,0
193,C.J. Ham,MIN,FB,2,4,50.00,1
194,Dawson Knox,BUF,TE,2,4,50.00,1
195,Wendell Smallwood,WAS,RB,2,4,50.00,0
196,Vernon Davis,WAS,TE,2,4,50.00,0
197,J.J. Arcega-Whiteside,PHI,WR,2,4,50.00,1
198,Delanie Walker,TEN,TE,2,4,50.00,2
199,Seth DeValve,JAX,TE,1,4,25.00,0
200,Damion Ratley,CLE,WR,1,4,25.00,0
201,Kelvin Harmon,WAS,WR,1,4,25.00,0
202,Nick OLeary,JAX,TE,1,4,25.00,1
203,Josh Reynolds,LA,WR,0,4,0.00,0
204,Dalvin Cook,MIN,RB,3,3,100.00,0
205,Kalif Raymond,TEN,WR,3,3,100.00,0
206,Wayne Gallman,NYG,RB,3,3,100.00,1
207,Maxx Williams,ARI,TE,3,3,100.00,1
208,Jesper Horsted,CHI,TE,2,3,66.67,1
209,Taylor Gabriel,CHI,WR,2,3,66.67,2
210,Keke Coutee,HOU,WR,2,3,66.67,0
