"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"89","Stedman Bailey (FA)","30","46","435","14.5","38","6","1","1","13","0","0","14","80.8","5.8","0.0%"
"90","Brian Quick (FA)","25","39","375","15.0","51","5","3","0","0","0","0","7","80.5","11.5","0.0%"
"91","Jason Avant (FA)","34","62","353","10.4","41","4","1","1","1","0","0","16","75.4","4.7","0.0%"
"92","Damaris Johnson (FA)","31","49","331","10.7","44","4","1","5","19","0","0","16","72.0","4.5","0.0%"
"93","Philly Brown (FA)","21","36","296","14.1","47","3","2","8","95","0","1","13","70.1","5.4","0.2%"
"94","Travis Benjamin (SF)","18","46","314","17.4","43","8","3","3","11","0","0","16","68.5","4.3","0.0%"
"95","Brandon Gibson (FA)","29","51","295","10.2","40","1","1","0","0","0","0","14","64.5","4.6","0.0%"
"96","Victor Cruz (FA)","23","41","337","14.7","61","7","1","0","0","0","0","6","62.7","10.5","0.1%"
"97","Paul Richardson Jr. (FA)","29","44","271","9.3","32","3","1","0","0","0","0","15","62.1","4.1","0.0%"
"98","Kamar Aiken (FA)","24","32","267","11.1","24","2","3","0","0","0","0","16","61.7","3.9","0.0%"
"99","Brice Butler (FA)","21","36","280","13.3","55","2","2","0","0","0","0","15","61.0","4.1","0.0%"
"100","Jeremy Ross (FA)","24","35","314","13.1","59","4","1","2","-1","0","2","16","57.3","3.6","0.0%"
"101","Jaron Brown (ARI)","22","32","229","10.4","26","4","2","0","0","0","0","16","56.9","3.6","0.0%"
"102","De'Anthony Thomas (BAL)","23","31","156","6.8","30","1","0","14","113","1","0","12","55.9","4.7","0.0%"
"103","Josh Gordon (SEA)","24","47","303","12.6","32","3","0","0","0","0","0","5","54.3","10.9","5.1%"
"104","Danny Amendola (DET)","27","42","200","7.4","21","1","1","0","0","0","0","16","53.0","3.3","3.4%"
"105","Derek Hagan (FA)","19","34","254","13.4","38","5","1","0","0","0","0","16","50.4","3.2","0.0%"
"106","Marlon Brown (FA)","24","31","255","10.6","22","1","0","0","0","0","0","14","49.5","3.5","0.0%"
"107","Brandon Lloyd (FA)","14","35","294","21.0","80","5","1","0","0","0","0","14","49.4","3.5","0.0%"
"108","Lance Moore (FA)","14","26","198","14.1","29","4","2","0","0","0","0","14","47.8","3.4","0.0%"
"109","Kenbrell Thompkins (FA)","21","47","262","12.5","50","2","0","2","5","0","0","14","47.7","3.4","0.0%"
"110","Nick Toon (FA)","17","23","215","12.6","24","3","1","1","4","0","1","8","42.9","5.4","0.0%"
