Rank,Name,Team,Pos.,Rushes,TDs,
1,DeMarco Murray,DAL,RB,58,12,
2,Marshawn Lynch,SEA,RB,57,12,
3,LeSean McCoy,PHI,RB,57,4,
4,Alfred Morris,WAS,RB,47,7,
5,LeVeon Bell,PIT,RB,45,6,
6,Mark Ingram,NO,RB,45,8,
7,Lamar Miller,MIA,RB,44,7,
8,Justin Forsett,BAL,RB,44,8,
9,Joique Bell,DET,RB,42,7,
10,Eddie Lacy,GB,RB,40,8,
11,Matt Forte,CHI,RB,39,6,
12,Andre Williams,NYG,RB,37,6,
13,Jeremy Hill,CIN,RB,36,7,
14,Chris Ivory,NYJ,RB,35,5,
15,Steven Jackson,ATL,RB,33,7,
16,Arian Foster,HOU,RB,32,7,
17,Giovani Bernard,CIN,RB,31,4,
18,Matt Asiata,MIN,RB,31,9,
19,Frank Gore,SF,RB,28,3,
20,Fred Jackson,BUF,RB,28,2,
21,Jamaal Charles,KC,RB,27,6,
22,Terrance West,CLE,RB,27,4,
23,Rashad Jennings,NYG,RB,25,4,
24,Jonas Gray,NE,RB,25,5,
25,Trent Richardson,IND,RB,25,3,
26,C.J. Anderson,DEN,RB,22,8,
27,Knile Davis,KC,RB,22,5,
28,Branden Oliver,SD,RB,21,3,
29,Tre Mason,STL,RB,21,2,
30,Bernard Pierce,BAL,RB,20,2,
31,Carlos Hyde,SF,RB,19,4,
32,Ahmad Bradshaw,IND,RB,19,2,
33,Jonathan Stewart,CAR,RB,19,2,
34,Shonn Greene,TEN,RB,18,2,
35,Andre Ellington,ARI,RB,18,3,
36,Bobby Rainey,TB,RB,17,0,
37,Alfred Blue,HOU,RB,16,2,
38,Chris Polk,PHI,RB,16,4,
39,Stevan Ridley,NE,RB,16,2,
40,James Starks,GB,RB,15,2,
41,Lorenzo Taliaferro,BAL,RB,15,3,
42,Shane Vereen,NE,RB,15,2,
43,Bishop Sankey,TEN,RB,15,2,
44,Darren McFadden,OAK,RB,15,2,
45,Isaiah Crowell,CLE,RB,15,7,
46,Ronnie Hillman,DEN,RB,15,2,
47,LeGarrette Blount,NE,RB,14,3,
48,Anthony Dixon,BUF,RB,14,1,
49,Zac Stacy,STL,RB,13,1,
50,Denard Robinson,JAC,RB,13,3,
51,Khiry Robinson,NO,RB,12,3,
52,Cam Newton,CAR,QB,12,3,
53,Donald Brown,SD,RB,12,0,
54,Juwan Thompson,DEN,RB,12,3,
55,John Kuhn,GB,FB,11,1,
56,Knowshon Moreno,MIA,RB,11,1,
57,Damien Williams,MIA,RB,11,0,
58,LeGarrette Blount,PIT,RB,11,2,
59,Russell Wilson,SEA,QB,10,5,
60,Chris Johnson,NYJ,RB,10,0,
61,Latavius Murray,OAK,RB,10,1,
62,Benny Cunningham,STL,RB,10,3,
63,Montee Ball,DEN,RB,10,1,
64,Reggie Bush,DET,RB,10,1,
65,Toby Gerhart,JAC,RB,10,2,
66,Colin Kaepernick,SF,QB,10,0,
67,Tavon Austin,STL,WR,9,2,
68,Dan Herron,IND,RB,9,0,
69,Doug Martin,TB,RB,9,1,
70,Mike Tolbert,CAR,FB,9,0,
71,Darren Sproles,PHI,RB,9,5,
72,DeAngelo Williams,CAR,RB,8,0,
73,Jacquizz Rodgers,ATL,RB,8,1,
74,Andy Dalton,CIN,QB,8,3,
75,Brandon Bolden,NE,RB,7,1,
76,Jerick McKinnon,MIN,RB,7,1,
77,Darrin Reaves,CAR,RB,7,0,
78,Robert Turbin,SEA,RB,7,0,
79,Storm Johnson,JAC,RB,6,2,
80,Mike James,TB,RB,6,0,
81,Stepfan Taylor,ARI,RB,6,1,
82,Pierre Thomas,NO,RB,6,1,
83,Joe Flacco,BAL,QB,6,2,
84,Marion Grice,ARI,RB,5,1,
85,Geno Smith,NYJ,QB,5,1,
86,Silas Redd,WAS,RB,5,1,
87,Darrel Young,WAS,FB,5,3,
88,Frank Summers,BUF,FB,5,1,
89,Roy Helu,WAS,RB,5,1,
90,Jonathan Dwyer,ARI,RB,5,1,
91,Charles Sims,TB,RB,5,1,
92,Dexter McCluster,TEN,WR,5,0,
93,Ryan Tannehill,MIA,QB,4,1,
94,Cyrus Gray,KC,RB,4,1,
95,Andrew Luck,IND,QB,4,0,
96,Michael Vick,NYJ,QB,4,0,
97,Bilal Powell,NYJ,RB,4,1,
98,Teddy Bridgewater,MIN,QB,4,0,
99,Henry Hynoski,NYG,FB,3,0,
100,Marcel Reece,OAK,FB,3,0,
