Rank,Name,Team,Pos.,Rushes,TDs,
1,LeGarrette Blount,NE,RB,69,16,
2,David Johnson,ARI,RB,58,14,
3,Devonta Freeman,ATL,RB,53,9,
4,Melvin Gordon,SD,RB,52,10,
5,Jeremy Hill,CIN,RB,47,8,
6,DeMarco Murray,TEN,RB,43,7,
7,Latavius Murray,OAK,RB,40,11,
8,Jonathan Stewart,CAR,RB,39,9,
9,LeSean McCoy,BUF,RB,36,11,
10,Ezekiel Elliott,DAL,RB,36,11,
11,Ryan Mathews,PHI,RB,36,8,
12,Mark Ingram,NO,RB,36,5,
13,Todd Gurley,LA,RB,35,5,
14,Matt Asiata,MIN,RB,35,6,
15,Matt Forte,NYJ,RB,33,6,
16,Lamar Miller,HOU,RB,33,5,
17,Jay Ajayi,MIA,RB,33,7,
18,Carlos Hyde,SF,RB,33,6,
19,Rob Kelley,WAS,RB,32,4,
20,LeVeon Bell,PIT,RB,31,7,
21,Jordan Howard,CHI,RB,30,6,
22,Terrance West,BAL,RB,30,5,
23,Devontae Booker,DEN,RB,29,4,
24,Isaiah Crowell,CLE,RB,27,6,
25,Spencer Ware,KC,RB,26,4,
26,Tim Hightower,NO,RB,26,4,
27,Frank Gore,IND,RB,26,4,
28,C.J. Anderson,DEN,RB,23,4,
29,Doug Martin,TB,RB,22,3,
30,Tevin Coleman,ATL,RB,22,6,
31,Jerick McKinnon,MIN,RB,21,2,
32,Derrick Henry,TEN,RB,21,5,
33,Thomas Rawls,SEA,RB,19,2,
34,Bilal Powell,NYJ,RB,19,2,
35,Matt Jones,WAS,RB,19,3,
36,Cam Newton,CAR,QB,18,5,
37,Darren Sproles,PHI,RB,18,1,
38,Robert Turbin,IND,RB,18,7,
39,Mike Gillislee,BUF,RB,18,7,
40,Rashad Jennings,NYG,RB,16,3,
41,Alfred Blue,HOU,RB,16,0,
42,Zach Zenner,DET,RB,15,4,
43,Jacquizz Rodgers,TB,RB,15,2,
44,Charcandrick West,KC,RB,15,1,
45,Rex Burkhead,CIN,RB,14,2,
46,Dion Lewis,NE,RB,14,0,
47,Ty Montgomery,GB,RB,14,3,
48,Tyrod Taylor,BUF,QB,13,4,
49,Chris Ivory,JAX,RB,13,3,
50,Giovani Bernard,CIN,RB,12,1,
51,Eddie Lacy,GB,RB,11,0,
52,DeAngelo Williams,PIT,RB,10,4,
53,Damien Williams,MIA,RB,10,3,
54,Shaun Draughn,SF,RB,10,4,
55,T.J. Yeldon,JAX,RB,10,1,
56,Aaron Ripkowski,GB,FB,9,2,
57,Paul Perkins,NYG,RB,9,0,
58,Jeremy Langford,CHI,RB,9,4,
59,Dak Prescott,DAL,QB,8,5,
60,Kenneth Farrow,SD,RB,8,0,
61,Fozzy Whittaker,CAR,RB,8,0,
62,Peyton Barber,TB,RB,8,0,
63,C.J. Prosise,SEA,RB,8,0,
64,Josh Ferguson,IND,RB,8,0,
65,James Starks,GB,RB,7,0,
66,Chris Johnson,ARI,RB,7,1,
67,Shane Vereen,NYG,RB,7,1,
68,Theo Riddick,DET,RB,7,0,
69,Chris Thompson,WAS,RB,7,2,
70,John Kuhn,NO,FB,7,4,
71,Wendell Smallwood,PHI,RB,7,1,
72,Mike Tolbert,CAR,FB,7,0,
73,Kenneth Dixon,BAL,RB,7,2,
74,Jonathan Williams,BUF,RB,7,1,
75,DuJuan Harris,SF,RB,7,0,
76,Charles Sims,TB,RB,6,1,
77,Alfred Morris,DAL,RB,6,2,
78,Marcus Mariota,TEN,QB,6,2,
79,Russell Wilson,SEA,QB,6,1,
80,Dwayne Washington,DET,RB,6,1,
81,Kirk Cousins,WAS,QB,6,4,
82,Andre Ellington,ARI,RB,6,0,
83,Alex Collins,SEA,RB,6,1,
84,Jalen Richard,OAK,RB,5,0,
85,Jamize Olawale,OAK,RB,5,2,
86,Orleans Darkwa,NYG,RB,5,2,
87,Terron Ward,ATL,RB,5,0,
88,Drew Brees,NO,QB,5,2,
89,Akeem Hunt,HOU,RB,5,1,
90,Andy Dalton,CIN,QB,4,4,
91,Tyreek Hill,KC,WR,4,1,
92,Tavon Austin,LA,WR,4,0,
93,Blaine Gabbert,SF,QB,4,2,
94,Kenjon Barner,PHI,RB,4,1,
95,Alex Smith,KC,QB,4,3,
96,DeAndre Washington,OAK,RB,4,0,
97,KaDeem Carey,CHI,RB,4,0,
98,Justin Forsett,DEN,RB,4,1,
99,Kerwynn Williams,ARI,RB,4,1,
100,James White,NE,RB,4,0,
101,Kapri Bibbs,DEN,RB,4,0,
102,Jamaal Charles,KC,RB,4,1,
103,Lance Dunbar,DAL,RB,3,1,
104,Tom Brady,NE,QB,3,0,
105,Colin Kaepernick,SF,QB,3,1,
106,Kenyan Drake,MIA,RB,3,1,
107,Ronnie Hillman,SD,RB,3,0,
108,Brandin Cooks,NO,WR,3,0,
109,Jerome Felton,BUF,FB,3,0,
110,Ryan Tannehill,MIA,QB,3,1,
111,Byron Marshall,PHI,RB,3,0,
112,Arian Foster,MIA,RB,3,0,
113,Daniel Lasco,NO,RB,3,0,
114,Terrell Watson,PHI,RB,3,1,
115,Cameron Artis-Payne,CAR,RB,3,2,
116,Danny Woodhead,SD,RB,3,0,
117,Benny Cunningham,LA,RB,3,0,
118,Adrian Peterson,MIN,RB,3,0,
119,Duke Johnson,CLE,RB,3,1,
120,Blake Bortles,JAX,QB,3,1,
121,Jordan Todman,IND,RB,3,0,
122,Andy Janovich,DEN,FB,2,0,
123,Mack Brown,WAS,RB,2,0,
124,Reggie Bush,BUF,RB,2,0,
125,Corey Grant,JAX,RB,2,0,
126,Scott Tolzien,IND,QB,2,0,
127,Brandon Wilds,NYJ,RB,2,0,
128,Carson Wentz,PHI,QB,2,0,
129,Ameer Abdullah,DET,RB,2,0,
130,Golden Tate,DET,WR,2,0,
131,Juwan Thompson,DEN,RB,2,1,
132,Ryan Fitzpatrick,NYJ,QB,2,0,
133,Matthew Stafford,DET,QB,2,1,
134,Darren McFadden,DAL,RB,2,0,
135,George Atkinson,CLE,RB,2,1,
136,Randall Cobb,GB,WR,2,0,
137,Troymaine Pope,SEA,RB,2,0,
138,Braxton Miller,HOU,WR,2,0,
139,Brock Osweiler,HOU,QB,2,1,
140,Brandon Burks,NYJ,RB,2,0,
141,Julian Edelman,NE,WR,2,0,
142,Mike Davis,SF,RB,2,1,
143,Joe Flacco,BAL,QB,2,1,
144,Sammie Coates,PIT,WR,1,0,
145,Marcel Reece,SEA,FB,1,0,
146,Stefon Diggs,MIN,WR,1,0,
147,Cedric Peerman,CIN,RB,1,0,
148,Travaris Cadet,NO,RB,1,0,
149,Jonathan Grimes,HOU,RB,1,0,
150,D.J. Foster,NE,RB,1,0,
151,Doug Baldwin,SEA,WR,1,0,
152,Matt Ryan,ATL,QB,1,0,
153,George Farmer,SEA,RB,1,0,
154,Albert Wilson,KC,WR,1,0,
155,Don Jackson,GB,RB,1,0,
156,Andrew Luck,IND,QB,1,0,
157,DeAnthony Thomas,KC,WR,1,0,
158,Tyler Lockett,SEA,WR,1,0,
159,Javorius Allen,BAL,RB,1,0,
160,Dexter McCluster,SD,WR,1,0,
161,Andre Williams,SD,RB,1,0,
162,Adam Thielen,MIN,WR,1,0,
163,Zach Line,MIN,FB,1,0,
164,Kyle Juszczyk,BAL,FB,1,1,
165,Terrelle Pryor,CLE,WR,1,1,
166,Will Fuller,HOU,WR,1,0,
167,Taylor Gabriel,ATL,WR,1,1,
168,Travis Kelce,KC,TE,1,0,
169,Bryce Petty,NYJ,QB,1,0,
170,Case Keenum,LA,QB,1,0,
171,Aaron Rodgers,GB,QB,1,0,
172,Christine Michael,GB,RB,1,0,
173,Robert Griffin III,CLE,QB,1,1,
174,EJ Manuel,BUF,QB,1,0,
175,Tommylee Lewis,NO,WR,1,0,
176,Eric Ebron,DET,TE,1,1,
