Rank,Name,Team,Pos.,Rushes,TDs
1,Todd Gurley,LA,RB,62,14
2,LeVeon Bell,PIT,RB,61,9
3,Melvin Gordon,LAC,RB,48,7
4,Latavius Murray,MIN,RB,47,7
5,Carlos Hyde,SF,RB,41,8
6,Ezekiel Elliott,DAL,RB,40,7
7,Kareem Hunt,KC,RB,37,5
8,Dion Lewis,NE,RB,35,6
9,LeSean McCoy,BUF,RB,35,3
10,Devonta Freeman,ATL,RB,33,7
11,Mark Ingram,NO,RB,33,9
12,Javorius Allen,BAL,RB,32,4
13,LeGarrette Blount,PHI,RB,31,2
14,Jonathan Stewart,CAR,RB,30,5
15,Jordan Howard,CHI,RB,30,7
16,Leonard Fournette,JAX,RB,28,7
17,Alex Collins,BAL,RB,26,6
18,Derrick Henry,TEN,RB,26,2
19,Mike Gillislee,NE,RB,25,5
20,Joe Mixon,CIN,RB,24,3
21,Samaje Perine,WAS,RB,24,1
22,C.J. Anderson,DEN,RB,24,2
23,Alvin Kamara,NO,RB,24,6
24,Marshawn Lynch,OAK,RB,24,4
25,Tevin Coleman,ATL,RB,23,6
26,Orleans Darkwa,NYG,RB,22,3
27,Peyton Barber,TB,RB,21,3
28,Jamaal Williams,GB,RB,21,4
29,Chris Ivory,JAX,RB,21,1
30,Isaiah Crowell,CLE,RB,21,1
31,Alfred Morris,DAL,RB,21,1
32,Bilal Powell,NYJ,RB,20,3
33,Doug Martin,TB,RB,20,4
34,Lamar Miller,HOU,RB,20,3
35,Cam Newton,CAR,QB,19,4
36,Frank Gore,IND,RB,19,3
37,DeMarco Murray,TEN,RB,18,5
38,Ameer Abdullah,DET,RB,18,4
39,Jerick McKinnon,MIN,RB,17,2
40,Kerwynn Williams,ARI,RB,17,1
41,Devontae Booker,DEN,RB,17,1
42,Rex Burkhead,NE,RB,16,5
43,James White,NE,RB,16,0
44,Adrian Peterson,ARI,RB,16,1
45,Marlon Mack,IND,RB,15,2
46,Christian McCaffrey,CAR,RB,15,2
47,Wayne Gallman,NYG,RB,14,0
48,Thomas Rawls,SEA,RB,14,0
49,Kenyan Drake,MIA,RB,14,1
50,Rod Smith,DAL,RB,14,4
51,Rob Kelley,WAS,RB,13,3
52,Corey Clement,PHI,RB,13,4
53,Jamaal Charles,DEN,RB,13,1
54,Matt Breida,SF,RB,13,0
55,Jacquizz Rodgers,TB,RB,12,1
56,DOnta Foreman,HOU,RB,11,1
57,Matt Forte,NYJ,RB,11,2
58,Aaron Jones,GB,RB,11,3
59,Tyrod Taylor,BUF,QB,10,4
60,Ty Montgomery,GB,RB,10,2
61,Dalvin Cook,MIN,RB,10,2
62,Chris Thompson,WAS,RB,10,1
63,Giovani Bernard,CIN,RB,10,2
64,Theo Riddick,DET,RB,9,3
65,Dwayne Washington,DET,RB,9,0
66,Jeremy Hill,CIN,RB,9,0
67,T.J. Yeldon,JAX,RB,8,1
68,Tarik Cohen,CHI,RB,8,2
69,Mike Tolbert,BUF,FB,8,1
70,Malcolm Brown,LA,RB,8,1
71,Duke Johnson,CLE,RB,8,3
72,Cameron Artis-Payne,CAR,RB,7,1
73,Jay Ajayi,PHI,RB,7,0
74,Eddie Lacy,SEA,RB,7,0
75,J.D. McKissic,SEA,RB,7,0
76,Mitchell Trubisky,CHI,QB,7,3
77,Kirk Cousins,WAS,QB,7,4
78,DeShone Kizer,CLE,QB,7,4
79,Robert Turbin,IND,RB,6,1
80,Austin Ekeler,LAC,RB,6,0
81,Elijhaa Penny,ARI,RB,6,2
82,Mike Davis,SEA,RB,6,0
83,Dak Prescott,DAL,QB,6,3
84,Blake Bortles,JAX,QB,6,2
85,Tavon Austin,LA,WR,6,0
86,Tion Green,DET,RB,5,2
87,Brett Hundley,GB,QB,5,2
88,Josh McCown,NYJ,QB,5,4
89,Stevan Ridley,PIT,RB,5,1
90,Shane Vereen,NYG,RB,5,0
91,Alfred Blue,HOU,RB,5,1
92,Terron Ward,ATL,RB,5,0
93,Jalen Richard,OAK,RB,4,0
94,Jacoby Brissett,IND,QB,4,2
95,Terrance West,BAL,RB,4,2
96,Paul Perkins,NYG,RB,4,0
97,Anthony Sherman,KC,RB,4,1
98,Marcus Mariota,TEN,QB,4,2
99,James Conner,PIT,RB,4,0
100,Fitzgerald Toussaint,PIT,RB,3,0
101,Deshaun Watson,HOU,QB,3,1
102,DeAndre Washington,OAK,RB,3,2
103,Russell Wilson,SEA,QB,3,2
104,C.J. Beathard,SF,QB,3,3
105,Danny Woodhead,BAL,RB,3,0
106,Tyler Lockett,SEA,WR,3,0
107,Drew Brees,NO,QB,3,1
108,Wendell Smallwood,PHI,RB,3,1
109,Tommy Bohanon,JAX,RB,3,2
110,Roosevelt Nix,PIT,FB,3,1
111,Branden Oliver,LAC,RB,2,0
112,Tyreek Hill,KC,WR,2,0
113,Taylor Gabriel,ATL,WR,2,0
114,Cordarrelle Patterson,OAK,WR,2,0
115,Matt Dayes,CLE,RB,2,0
116,Joe Flacco,BAL,QB,2,1
117,Brandin Cooks,NE,WR,2,0
118,Corey Grant,JAX,RB,2,1
119,DeAngelo Henderson Sr.,DEN,RB,2,0
120,Jared Goff,LA,QB,2,1
121,Ted Ginn,NO,WR,2,0
122,Andy Dalton,CIN,QB,2,0
123,Chris Carson,SEA,RB,2,0
124,Andre Williams,LAC,RB,2,0
125,Zach Zenner,DET,RB,2,1
126,Kyle Juszczyk,SF,FB,2,0
127,Darren Sproles,PHI,RB,2,0
128,Brian Hill,CIN,RB,2,0
129,Marcus Murphy,BUF,RB,2,0
130,Andy Janovich,DEN,FB,2,1
131,Alex Smith,KC,QB,2,1
132,Kenjon Barner,PHI,RB,2,1
133,Carson Wentz,PHI,QB,2,0
134,Andre Ellington,HOU,RB,2,0
135,Aaron Ripkowski,GB,FB,2,0
136,Damien Williams,MIA,RB,2,0
137,Lance Dunbar,LA,RB,2,1
138,Delanie Walker,TEN,TE,1,0
139,Niles Paul,WAS,TE,1,0
140,Charcandrick West,KC,RB,1,1
141,Aaron Rodgers,GB,QB,1,0
142,Zach Line,NO,FB,1,0
143,Bobo Wilson,TB,WR,1,0
144,Kyle Williams,BUF,DT,1,1
145,Torrey Smith,PHI,WR,1,0
146,Kevin Hogan,CLE,QB,1,0
147,Mike Glennon,CHI,QB,1,0
148,Michael Burton,CHI,RB,1,0
149,Gerald Everett,LA,TE,1,0
150,Tommylee Lewis,NO,WR,1,0
151,Jamize Olawale,OAK,RB,1,1
152,Patrick DiMarco,BUF,RB,1,0
153,C.J. Prosise,SEA,RB,1,0
154,Jacob Hollister,NE,TE,1,0
155,C.J. Ham,MIN,FB,1,1
156,Travaris Cadet,BUF,RB,1,0
157,Jimmy Garoppolo,SF,QB,1,1
158,Robby Anderson,NYJ,WR,1,0
159,Drew Stanton,ARI,QB,1,0
160,Brandon Bolden,NE,RB,1,0
161,Martavis Bryant,PIT,WR,1,0
162,Derek Watt,LAC,FB,1,0
163,Case Keenum,MIN,QB,1,1
164,Kapri Bibbs,WAS,RB,1,0
165,Matthew Stafford,DET,QB,1,0
166,LeShun Daniels,WAS,RB,1,0
167,Michael Campanaro,BAL,WR,1,0
168,Tom Brady,NE,QB,1,0
169,Akeem Hunt,KC,RB,1,0
170,David Fales,MIA,QB,1,1
