Rank,Name,Team,Pos.,Rushes,TDs
1,Todd Gurley,LA,RB,64,17
2,Saquon Barkley,NYG,RB,50,7
3,Alvin Kamara,NO,RB,49,11
4,Christian McCaffrey,CAR,RB,44,7
5,Chris Carson,SEA,RB,42,9
6,Sony Michel,NE,RB,41,6
7,Ezekiel Elliott,DAL,RB,39,5
8,Derrick Henry,TEN,RB,36,9
9,Peyton Barber,TB,RB,36,5
10,Jordan Howard,CHI,RB,34,9
11,Marlon Mack,IND,RB,34,8
12,James Conner,PIT,RB,32,11
13,Joe Mixon,CIN,RB,31,8
14,Doug Martin,OAK,RB,31,3
15,Lamar Miller,HOU,RB,30,3
16,Adrian Peterson,WAS,RB,29,5
17,Mark Ingram,NO,RB,28,6
18,David Johnson,ARI,RB,28,8
19,Kareem Hunt,KC,RB,27,7
20,Phillip Lindsay,DEN,RB,27,5
21,Alfred Morris,SF,RB,26,2
22,LeGarrette Blount,DET,RB,26,5
23,Nick Chubb,CLE,RB,26,5
24,Lamar Jackson,BAL,QB,25,5
25,Nyheim Hines,IND,RB,23,2
26,Matt Breida,SF,RB,23,2
27,Dion Lewis,TEN,RB,22,1
28,Melvin Gordon,LAC,RB,22,7
29,LeSean McCoy,BUF,RB,21,3
30,Latavius Murray,MIN,RB,21,4
31,Leonard Fournette,JAX,RB,21,6
32,Mike Davis,SEA,RB,21,4
33,Ito Smith,ATL,RB,21,4
34,Alex Collins,BAL,RB,19,6
35,James White,NE,RB,19,3
36,Royce Freeman,DEN,RB,18,5
37,Josh Adams,PHI,RB,18,2
38,Aaron Jones,GB,RB,17,7
39,Kerryon Johnson,DET,RB,17,3
40,Tevin Coleman,ATL,RB,17,1
41,Austin Ekeler,LAC,RB,16,3
42,Corey Clement,PHI,RB,16,2
43,Dalvin Cook,MIN,RB,15,1
44,Wendell Smallwood,PHI,RB,15,3
45,Marshawn Lynch,OAK,RB,15,3
46,Isaiah Crowell,NYJ,RB,15,3
47,Wayne Gallman,NYG,RB,14,1
48,Elijah McGuire,NYJ,RB,14,2
49,Gus Edwards,BAL,RB,14,2
50,Jamaal Williams,GB,RB,14,3
51,Alfred Blue,HOU,RB,14,2
52,Frank Gore,MIA,RB,13,0
53,Javorius Allen,BAL,RB,11,3
54,Josh Allen,BUF,QB,11,3
55,Spencer Ware,KC,RB,11,1
56,Zach Zenner,DET,RB,11,4
57,Kenyan Drake,MIA,RB,11,3
58,Dak Prescott,DAL,QB,11,4
59,Taysom Hill,NO,QB,11,0
60,T.J. Yeldon,JAX,RB,10,1
61,Chris Ivory,BUF,RB,10,1
62,Cam Newton,CAR,QB,10,4
63,Bilal Powell,NYJ,RB,10,0
64,Jeff Wilson,SF,RB,10,1
65,Jay Ajayi,PHI,RB,10,3
66,Cordarrelle Patterson,NE,WR,9,2
67,Deshaun Watson,HOU,QB,9,5
68,Giovani Bernard,CIN,RB,9,3
69,Rashaad Penny,SEA,RB,9,2
70,C.J. Anderson,LA,RB,9,2
71,Theo Riddick,DET,RB,9,0
72,Tarik Cohen,CHI,RB,9,2
73,Jalen Richard,OAK,RB,8,1
74,Chase Edmonds,ARI,RB,8,3
75,Marcus Murphy,BUF,RB,8,0
76,Malcolm Brown,LA,RB,8,0
77,Darren Sproles,PHI,RB,7,1
78,Jaylen Samuels,PIT,RB,7,0
79,Marcus Mariota,TEN,QB,7,0
80,DeAndre Washington,OAK,RB,7,0
81,Tom Brady,NE,QB,5,1
82,Ronald Jones,TB,RB,5,1
83,Jordan Wilkins,IND,RB,5,1
84,Justin Jackson,LAC,RB,5,2
85,Duke Johnson,CLE,RB,5,0
86,Cameron Artis-Payne,CAR,RB,5,1
87,Rod Smith,DAL,RB,5,1
88,Patrick Mahomes,KC,QB,5,0
89,Carlos Hyde,JAX,RB,5,0
90,Drew Brees,NO,QB,4,3
91,Stevan Ridley,PIT,RB,4,1
92,Sam Darnold,NYJ,QB,4,1
93,Alex Smith,WAS,QB,4,1
94,Ryan Fitzpatrick,TB,QB,4,2
95,Carson Wentz,PHI,QB,4,0
96,James Develin,NE,FB,4,4
97,Alex Armah,CAR,FB,4,2
98,Trenton Cannon,NYJ,RB,4,1
99,Nick Foles,PHI,QB,4,0
100,Eli Manning,NYG,QB,4,1
101,Devontae Booker,DEN,RB,4,1
102,Mitchell Trubisky,CHI,QB,4,2
103,Ty Montgomery,BAL,RB,3,0
104,C.J. Beathard,SF,QB,3,1
105,Detrez Newsome,LAC,RB,3,0
106,Kenneth Dixon,BAL,RB,3,2
107,Anthony Miller,CHI,WR,3,0
108,Kyle Juszczyk,SF,FB,3,0
109,Robert Woods,LA,WR,3,1
110,D.J. Moore,CAR,WR,3,0
111,Isaiah McKenzie,BUF,WR,3,2
112,Chris Thompson,WAS,RB,3,0
113,Devonta Freeman,ATL,RB,3,0
114,Jacquizz Rodgers,TB,RB,3,1
115,Russell Wilson,SEA,QB,2,0
116,Cooper Kupp,LA,WR,2,0
117,Brian Hill,ATL,RB,2,0
118,Rex Burkhead,NE,RB,2,0
119,Aaron Rodgers,GB,QB,2,1
120,Mike Williams,LAC,WR,2,1
121,Brandon Bolden,MIA,RB,2,1
122,Tyreek Hill,KC,WR,2,1
123,Brandin Cooks,LA,WR,2,1
124,Ben Roethlisberger,PIT,QB,2,2
125,Taylor Gabriel,CHI,WR,2,0
126,Mike Gillislee,NO,RB,2,0
127,Darius Jackson,DAL,RB,2,0
128,Eric Ebron,IND,TE,2,1
129,Matt Ryan,ATL,QB,2,2
130,Nelson Agholor,PHI,WR,2,0
131,Sammy Watkins,KC,WR,2,0
132,Kirk Cousins,MIN,QB,2,1
133,Cody Kessler,JAX,QB,2,0
134,Jared Goff,LA,QB,2,1
135,Raheem Mostert,SF,RB,1,0
136,Matt Barkley,BUF,QB,1,0
137,Adam Humphries,TB,WR,1,0
138,Nick Mullens,SF,QB,1,0
139,Colt McCoy,WAS,QB,1,0
140,Tyler Lockett,SEA,WR,1,0
141,Baker Mayfield,CLE,QB,1,0
142,Philip Rivers,LAC,QB,1,0
143,Robert Turbin,IND,RB,1,0
144,Zach Line,NO,FB,1,0
145,Jimmy Garoppolo,SF,QB,1,0
146,Teddy Bridgewater,NO,QB,1,0
147,Kyle Allen,CAR,QB,1,1
148,J.D. McKissic,SEA,RB,1,0
149,Odell Beckham Jr.,NYG,WR,1,0
150,Alex Erickson,CIN,WR,1,0
151,Jarvis Landry,CLE,WR,1,1
152,Tommy Bohanon,JAX,RB,1,0
153,DeAngelo Henderson Sr.,NYJ,RB,1,0
154,Christian Kirk,ARI,WR,1,0
155,Kalen Ballage,MIA,RB,1,0
156,Derek Watt,LAC,FB,1,0
157,Dwayne Harris,OAK,WR,1,0
158,Luke Stocker,TEN,TE,1,0
159,Charcandrick West,KC,RB,1,0
160,Andrew Luck,IND,QB,1,0
161,Evan Engram,NYG,TE,1,0
162,DeSean Jackson,TB,WR,1,1
163,Curtis Samuel,CAR,WR,1,1
164,Akiem Hicks,CHI,DE,1,1
165,DOnta Foreman,HOU,RB,1,0
166,John Ross,CIN,WR,1,0
167,Julian Edelman,NE,WR,1,0
168,Byron Marshall,WAS,RB,1,0
169,Case Keenum,DEN,QB,1,1
170,John Kelly,LA,RB,1,0
171,Martavis Bryant,OAK,WR,1,0
172,Jeff Driskel,CIN,QB,1,1
173,C.J. Ham,MIN,FB,1,0
174,Derek Carr,OAK,QB,1,1
175,Melvin Ingram,LAC,DE,1,0
176,Keith Ford,BUF,RB,1,0
177,Taquan Mizzell,CHI,RB,1,0
178,Mark Walton,CIN,RB,1,0
179,Ted Ginn,NO,WR,1,0
180,Josh Reynolds,LA,WR,1,0
181,Maxx Williams,BAL,TE,1,0
182,Tommylee Lewis,NO,WR,1,0
183,Matthew Stafford,DET,QB,1,0
184,Joe Flacco,BAL,QB,1,0
