"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Todd Gurley II (ATL)","279","1,305","4.7","57","8","13","64","87","788","12.3","6","2","15","351.3","23.4","96.7%"
"2","Le'Veon Bell (KC)","321","1,291","4.0","27","3","9","85","106","655","7.7","2","2","15","299.1","19.9","61.4%"
"3","Alvin Kamara (NO)","120","728","6.1","74","5","8","81","100","826","10.2","5","1","16","274.4","17.2","100.0%"
"4","Kareem Hunt (CLE)","272","1,327","4.9","69","12","8","53","63","455","8.6","3","1","16","268.7","16.8","97.8%"
"5","Melvin Gordon III (DEN)","284","1,105","3.9","87","5","8","58","83","476","8.2","4","0","16","259.1","16.2","91.4%"
"6","Mark Ingram II (BAL)","230","1,124","4.9","72","11","12","58","71","416","7.2","0","3","16","249.0","15.6","38.9%"
"7","LeSean McCoy (TB)","287","1,138","4.0","48","12","6","59","77","448","7.6","2","1","16","234.1","14.6","1.3%"
"8","Leonard Fournette (TB)","268","1,040","3.9","90","4","9","36","48","302","8.4","1","0","13","212.2","16.3","74.7%"
"9","Carlos Hyde (SEA)","240","938","3.9","61","6","8","59","88","350","5.9","0","1","16","204.5","12.8","27.3%"
"10","Ezekiel Elliott (DAL)","242","983","4.1","30","5","7","26","38","269","10.3","2","1","10","190.2","19.0","99.2%"
"11","Christian McCaffrey (CAR)","117","435","3.7","40","1","2","80","113","651","8.1","5","1","16","188.6","11.8","99.5%"
"12","Jordan Howard (PHI)","276","1,122","4.1","53","5","9","23","32","125","5.4","0","1","16","188.0","11.8","15.4%"
"13","Devonta Freeman (NYG)","196","865","4.4","44","5","7","36","47","317","8.8","1","1","14","182.2","13.0","21.8%"
"14","Dion Lewis (NYG)","180","896","5.0","44","7","6","32","35","214","6.7","3","0","16","181.0","11.3","1.9%"
"15","Duke Johnson Jr. (HOU)","82","348","4.2","19","0","4","74","93","693","9.4","3","2","16","179.1","11.2","57.4%"
"16","Lamar Miller (CHI)","238","888","3.7","21","1","3","36","45","327","9.1","3","0","16","175.5","11.0","0.3%"
"17","C.J. Anderson (FA)","245","1,007","4.1","40","7","3","28","40","224","8.0","1","1","16","161.1","10.1","1.0%"
"18","Alex Collins (SEA)","212","973","4.6","50","6","6","23","36","187","8.1","0","2","15","159.5","10.6","0.2%"
"19","Frank Gore (NYJ)","261","961","3.7","21","1","3","29","38","245","8.4","1","0","16","159.1","9.9","36.7%"
"20","Tevin Coleman (SF)","156","628","4.0","52","6","5","27","39","299","11.1","3","0","15","154.4","10.3","16.6%"
"21","Marshawn Lynch (FA)","207","891","4.3","51","5","7","20","31","151","7.6","0","1","15","154.3","10.3","0.2%"
"22","Jerick McKinnon (SF)","150","570","3.8","58","2","3","51","68","421","8.3","2","2","16","152.6","9.5","50.9%"
"23","DeMarco Murray (FA)","184","659","3.6","75","3","6","39","47","266","6.8","1","1","15","152.0","10.1","0.1%"
"24","Latavius Murray (NO)","216","842","3.9","46","7","8","15","17","103","6.9","0","0","16","149.9","9.4","63.8%"
"25","Javorius Allen (FA)","153","591","3.9","37","1","4","46","60","250","5.4","2","0","16","143.1","8.9","0.0%"
"26","Bilal Powell (FA)","178","772","4.3","75","9","5","23","33","170","7.4","0","1","15","133.7","8.9","0.0%"
"27","Chris Thompson (JAC)","64","294","4.6","61","1","2","39","54","510","13.1","4","2","10","131.9","13.2","3.6%"
"28","Jamaal Williams (GB)","153","556","3.6","25","1","4","25","34","262","10.5","2","0","16","130.3","8.1","54.4%"
"29","Giovani Bernard (CIN)","105","458","4.4","25","5","2","43","60","389","9.0","2","0","16","130.2","8.1","69.3%"
"30","Derrick Henry (TEN)","176","744","4.2","75","5","5","11","17","136","12.4","1","0","16","129.5","8.1","100.0%"
"31","Isaiah Crowell (FA)","206","853","4.1","59","5","2","28","42","182","6.5","0","1","16","129.5","8.1","0.0%"
"32","Orleans Darkwa (FA)","171","751","4.4","75","6","5","19","28","116","6.1","0","0","15","128.2","8.5","0.0%"
"33","Theo Riddick (LV)","84","286","3.4","21","1","3","53","71","444","8.4","2","1","16","127.5","8.0","0.0%"
"34","Joe Mixon (CIN)","178","626","3.5","25","2","4","30","34","287","9.6","0","2","14","126.3","9.0","87.7%"
"35","Kenyan Drake (ARI)","133","644","4.8","66","7","3","32","48","239","7.5","1","2","16","126.3","7.9","95.8%"
"36","Jay Ajayi (FA)","208","873","4.2","71","6","1","24","34","158","6.6","1","2","14","123.1","8.8","7.0%"
"37","Tarik Cohen (CHI)","87","370","4.3","46","4","2","53","71","353","6.7","1","2","16","118.1","7.4","13.0%"
"38","Rex Burkhead (NE)","64","264","4.1","31","2","5","30","36","254","8.5","3","0","10","114.8","11.5","12.8%"
"39","Jonathan Stewart (FA)","198","680","3.4","60","1","6","8","15","52","6.5","1","3","15","113.2","7.5","0.0%"
"40","Ameer Abdullah (MIN)","165","552","3.3","34","5","4","25","35","162","6.5","1","1","14","111.9","8.0","0.1%"
"41","James White (NE)","43","171","4.0","10","0","0","56","72","429","7.7","3","0","14","106.0","7.6","61.8%"
"42","LeGarrette Blount (FA)","173","766","4.4","68","7","2","8","8","50","6.3","1","1","16","103.6","6.5","0.0%"
"43","Matt Forte (FA)","103","381","3.7","20","1","2","37","45","293","7.9","1","1","12","102.4","8.5","19.1%"
"44","Samaje Perine (CIN)","175","603","3.4","30","1","1","22","24","182","8.3","1","2","16","97.5","6.1","1.9%"
"45","Austin Ekeler (LAC)","47","260","5.5","35","3","2","27","35","279","10.3","3","2","16","93.4","5.8","98.2%"
"46","Matt Breida (MIA)","105","465","4.4","33","2","2","21","36","180","8.6","1","0","16","93.0","5.8","19.6%"
"47","Marlon Mack (IND)","93","358","3.8","35","6","3","21","33","225","10.7","1","0","14","92.8","6.6","7.3%"
"48","Wayne Gallman (NYG)","111","476","4.3","24","2","0","34","48","193","5.7","1","1","13","87.9","6.8","77.7%"
"49","Corey Clement (PHI)","74","321","4.3","28","2","4","10","15","123","12.3","2","0","16","87.4","5.5","0.4%"
"50","Rod Smith (NYG)","55","232","4.2","45","1","4","19","23","202","10.6","1","0","15","82.9","5.5","0.0%"
"51","J.D. McKissic (WAS)","46","187","4.1","30","1","1","34","46","266","7.8","2","0","13","80.3","6.2","54.9%"
"52","Ty Montgomery (NO)","71","273","3.8","37","1","3","23","31","173","7.5","1","0","8","80.1","10.0","0.1%"
"53","Peyton Barber (WAS)","108","423","3.9","34","1","3","16","19","114","7.1","0","1","16","77.7","4.9","1.0%"
"54","Devontae Booker (LV)","79","299","3.8","26","1","1","30","38","275","9.2","0","1","13","76.4","5.9","71.0%"
"55","Aaron Jones (GB)","81","448","5.5","46","6","4","9","18","22","2.4","0","0","12","75.5","6.3","100.0%"
"56","Chris Ivory (FA)","112","382","3.4","34","1","1","21","28","175","8.3","1","2","14","74.2","5.3","0.0%"
"57","Adrian Peterson (DET)","156","529","3.4","27","2","2","11","19","70","6.4","0","2","10","73.4","7.3","42.6%"
"58","T.J. Yeldon (BUF)","49","253","5.2","58","2","2","30","41","224","7.5","0","1","10","72.7","7.3","0.1%"
"59","Jalen Richard (LV)","56","275","4.9","52","2","1","27","36","256","9.5","1","3","16","72.6","4.5","3.9%"
"60","Doug Martin (FA)","138","406","2.9","27","1","3","9","18","84","9.3","0","1","11","71.5","6.5","0.0%"
"61","Alfred Morris (NYG)","115","547","4.8","70","4","1","7","9","45","6.4","0","0","14","68.7","4.9","0.2%"
"62","Mike Gillislee (FA)","104","383","3.7","16","0","5","1","1","15","15.0","0","1","9","68.3","7.6","0.0%"
"63","DeAndre Washington (MIA)","57","153","2.7","11","0","2","34","45","197","5.8","1","1","15","68.0","4.5","0.7%"
"64","Andre Ellington (FA)","20","55","2.8","14","0","1","39","59","369","9.5","0","0","12","67.9","5.7","0.1%"
"65","Elijah McGuire (MIA)","88","315","3.6","69","1","1","17","26","177","10.4","1","2","16","67.7","4.2","0.0%"
"66","Kerwynn Williams (FA)","120","426","3.6","25","2","1","10","15","93","9.3","0","0","16","62.9","3.9","0.0%"
"67","Shane Vereen (FA)","45","164","3.6","17","0","0","44","53","253","5.8","0","0","16","61.7","3.9","0.0%"
"68","Dalvin Cook (MIN)","74","354","4.8","33","4","2","11","16","90","8.2","0","1","4","59.9","15.0","100.0%"
"69","Charcandrick West (FA)","18","72","4.0","21","1","2","27","34","150","5.6","2","0","13","59.7","4.6","0.0%"
"70","Jamaal Charles (FA)","69","296","4.3","19","0","1","23","28","129","5.6","0","2","14","56.0","4.0","0.1%"
"71","Charles Sims (FA)","21","95","4.5","21","1","0","35","47","249","7.1","1","1","16","55.9","3.5","0.0%"
"72","D'Onta Foreman (TEN)","78","327","4.2","39","3","2","6","8","83","13.8","0","1","10","54.0","5.4","0.7%"
"73","Kyle Juszczyk (SF)","7","31","4.4","12","0","0","33","42","315","9.5","1","2","14","53.1","3.8","0.4%"
"74","Damien Williams (KC)","46","181","3.9","69","1","0","20","28","155","7.8","1","0","11","49.6","4.5","2.0%"
"75","Benny Cunningham (FA)","9","29","3.2","12","0","0","20","26","240","12.0","2","1","14","46.9","3.4","0.0%"
"76","Mike Davis (CAR)","68","240","3.5","33","3","0","15","18","131","8.7","0","0","6","44.6","7.4","84.1%"
"77","Mike Tolbert (FA)","66","247","3.7","25","1","1","14","17","78","5.6","0","1","12","43.5","3.6","0.0%"
"78","Jacquizz Rodgers (FA)","64","244","3.8","36","1","1","9","11","74","8.2","0","0","16","42.3","2.6","0.0%"
"79","Danny Woodhead (FA)","14","56","4.0","10","0","0","33","39","200","6.1","0","0","8","42.1","5.3","20.6%"
"80","Robert Kelley (FA)","62","194","3.1","21","1","3","4","7","18","4.5","0","0","7","41.2","5.9","0.0%"
"81","Alfred Blue (FA)","71","262","3.7","48","1","1","7","9","54","7.7","0","0","11","41.1","3.7","0.0%"
"82","Malcolm Brown (LAR)","63","246","3.9","20","1","1","9","11","53","5.9","0","0","11","40.4","3.7","23.8%"
"83","Corey Grant (FA)","30","248","8.3","58","3","2","3","4","41","13.7","0","1","16","40.4","2.5","0.0%"
"84","Wendell Smallwood (PIT)","47","174","3.7","26","2","1","13","18","103","7.9","0","0","8","40.2","5.0","0.0%"
"85","Chris Carson (SEA)","49","208","4.2","30","1","0","7","8","59","8.4","1","0","4","36.2","9.1","98.9%"
"86","Kapri Bibbs (FA)","21","79","3.8","16","0","0","14","17","128","9.1","1","0","3","33.7","11.2","0.0%"
"87","Tion Green (FA)","42","165","3.9","33","1","2","2","2","14","7.0","0","0","5","30.9","6.2","0.0%"
"88","Elijhaa Penny (NYG)","31","124","4.0","14","0","2","4","6","38","9.5","0","0","16","30.2","1.9","0.0%"
"89","Travaris Cadet (FA)","23","96","4.2","12","0","0","16","19","119","7.4","0","0","9","29.5","3.3","0.0%"
"90","Thomas Rawls (FA)","58","157","2.7","23","1","0","9","13","94","10.4","0","1","12","27.6","2.3","0.1%"
"91","Terrance West (FA)","39","138","3.5","13","0","2","2","4","23","11.5","0","1","5","27.1","5.4","0.0%"
"92","Tommy Bohanon (BAL)","5","5","1.0","3","0","2","6","11","43","7.2","1","0","16","25.8","1.6","0.0%"
"93","Eddie Lacy (FA)","69","179","2.6","19","0","0","6","6","47","7.8","0","0","9","25.6","2.8","0.3%"
"94","D.J. Foster (ARI)","6","19","3.2","5","0","0","17","28","133","7.8","0","0","7","23.7","3.4","0.0%"
"95","Robert Turbin (FA)","23","53","2.3","7","0","1","9","11","56","6.2","0","0","6","21.4","3.6","0.0%"
"96","Kenjon Barner (TB)","16","57","3.6","18","0","1","5","8","56","11.2","0","0","13","19.8","1.5","0.0%"
"97","Chris Johnson (FA)","45","114","2.5","11","0","0","5","6","43","8.6","0","0","4","18.2","4.6","0.6%"
"98","Anthony Sherman (KC)","14","40","2.9","9","0","1","6","8","47","7.8","0","0","16","17.7","1.1","0.1%"
"99","Paul Perkins (IND)","41","90","2.2","14","0","0","8","10","46","5.8","0","0","11","17.6","1.6","0.0%"
"100","C.J. Ham (MIN)","7","13","1.9","3","0","1","7","8","68","9.7","0","0","16","17.6","1.1","0.1%"
"101","Stevan Ridley (FA)","26","108","4.2","21","1","1","0","0","0","0","0","0","2","16.8","8.4","0.0%"
"102","Jamize Olawale (DAL)","9","43","4.8","11","0","1","6","7","33","5.5","0","0","12","16.6","1.4","0.0%"
"103","Cameron Artis-Payne (FA)","18","95","5.3","43","1","1","1","1","2","2.0","0","0","13","16.2","1.2","0.0%"
"104","Jeremy Hill (FA)","37","116","3.1","13","0","0","4","4","16","4.0","0","0","7","15.2","2.2","0.0%"
"105","Fozzy Whittaker (FA)","7","18","2.6","8","0","0","5","6","47","9.4","1","0","12","15.0","1.3","0.0%"
"106","Darren Sproles (FA)","15","61","4.1","12","0","0","7","12","73","10.4","0","1","3","14.9","5.0","0.0%"
