"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Rob Gronkowski (TB)","69","105","1,084","15.7","53","18","8","0","0","0","0","14","192.8","13.8","90.4%"
"2","Travis Kelce (KC)","83","122","1,038","12.5","44","19","8","2","7","0","0","15","192.0","12.8","100.0%"
"3","Zach Ertz (PHI)","74","110","824","11.1","53","7","8","0","0","0","1","14","165.4","11.8","62.0%"
"4","Jimmy Graham (CHI)","57","96","520","9.1","33","8","10","0","0","0","0","16","142.5","8.9","39.2%"
"5","Evan Engram (NYG)","64","115","722","11.3","35","11","6","1","14","0","0","15","141.6","9.4","87.8%"
"6","Delanie Walker (FA)","74","111","807","10.9","42","9","3","2","-2","1","2","16","137.5","8.6","0.1%"
"7","Kyle Rudolph (MIN)","57","81","532","9.3","34","4","8","0","0","0","0","16","129.7","8.1","28.5%"
"8","Jack Doyle (IND)","80","108","690","8.6","26","4","4","0","0","0","2","15","129.0","8.6","5.5%"
"9","Cameron Brate (TB)","48","77","591","12.3","35","5","6","0","0","0","0","16","119.1","7.4","1.1%"
"10","Jason Witten (LV)","63","87","560","8.9","28","3","5","0","0","0","1","16","115.5","7.2","0.2%"
"11","Benjamin Watson (FA)","61","79","522","8.6","33","5","4","0","0","0","0","16","106.7","6.7","2.8%"
"12","Eric Ebron (PIT)","53","86","574","10.8","44","6","4","0","0","0","1","16","105.9","6.6","83.3%"
"13","Jared Cook (NO)","54","86","688","12.7","35","10","2","0","0","0","1","16","105.7","6.6","59.1%"
"14","Hunter Henry (LAC)","45","62","579","12.9","34","8","4","0","0","0","0","14","104.4","7.5","96.2%"
"15","Tyler Kroft (BUF)","42","62","404","9.6","59","4","7","0","0","0","0","16","103.4","6.5","0.3%"
"16","Vernon Davis (FA)","43","69","648","15.1","69","11","3","0","0","0","2","16","100.3","6.3","1.6%"
"17","Austin Hooper (CLE)","49","65","526","10.7","88","5","3","0","0","0","0","16","95.1","5.9","65.5%"
"18","Charles Clay (FA)","49","74","558","11.4","44","7","2","0","0","0","0","13","92.3","7.1","0.0%"
"19","O.J. Howard (TB)","26","39","432","16.6","58","9","6","0","0","0","2","14","88.2","6.3","2.6%"
"20","George Kittle (SF)","43","63","515","12.0","44","8","2","0","0","0","0","15","85.0","5.7","72.8%"
"21","David Njoku (CLE)","32","60","386","12.1","34","8","4","1","1","0","0","16","78.7","4.9","0.9%"
"22","Julius Thomas (FA)","41","62","388","9.5","27","4","3","0","0","0","0","14","77.3","5.5","0.0%"
"23","Jesse James (DET)","43","63","372","8.7","32","1","3","0","0","0","0","16","76.7","4.8","0.1%"
"24","Austin Seferian-Jenkins (FA)","50","74","357","7.1","28","2","3","0","0","0","1","13","76.7","5.9","0.0%"
"25","Marcedes Lewis (GB)","24","48","318","13.3","37","5","5","0","0","0","0","16","75.8","4.7","0.1%"
"26","Trey Burton (IND)","23","31","248","10.8","27","2","5","0","0","0","0","15","68.3","4.6","30.2%"
"27","Garrett Celek (FA)","21","33","336","16.0","61","6","4","0","0","0","0","16","68.1","4.3","0.0%"
"28","Ed Dickson (FA)","30","48","437","14.6","64","7","1","0","0","0","0","16","64.7","4.0","0.0%"
"29","Antonio Gates (FA)","30","52","316","10.5","27","3","3","0","0","0","0","16","64.6","4.0","0.2%"
"30","Jermaine Gresham (FA)","33","46","322","9.8","21","3","2","0","0","0","0","14","60.7","4.3","0.0%"
"31","Seth DeValve (ARI)","33","58","395","12.0","49","7","1","0","0","0","1","16","60.0","3.8","0.0%"
"32","Nick O'Leary (FA)","22","32","322","14.6","32","7","2","0","0","0","1","15","53.2","3.5","0.0%"
"33","Stephen Anderson (LAC)","25","52","342","13.7","42","5","1","0","0","0","0","15","52.7","3.5","0.0%"
"34","Coby Fleener (FA)","22","30","295","13.4","33","7","2","0","0","0","0","11","52.5","4.8","0.0%"
"35","Tyler Higbee (LAR)","25","45","295","11.8","38","5","1","0","0","0","0","16","48.0","3.0","45.8%"
"36","Rhett Ellison (FA)","24","32","235","9.8","27","1","2","0","0","0","0","16","47.5","3.0","0.0%"
"37","Luke Willson (BAL)","15","22","153","10.2","27","2","4","0","0","0","0","16","46.8","2.9","0.2%"
"38","Jordan Reed (SF)","27","35","211","7.8","20","1","2","0","0","0","0","6","46.6","7.8","20.8%"
"39","Zach Miller (FA)","20","35","236","11.8","29","4","2","0","0","0","0","8","45.6","5.7","0.0%"
"40","A.J. Derby (FA)","21","40","244","11.6","29","3","2","0","0","0","1","11","44.9","4.1","0.0%"
"41","Darren Fells (HOU)","17","26","177","10.4","23","3","3","0","0","0","0","16","44.2","2.8","2.0%"
"42","Gerald Everett (LAR)","16","32","244","15.3","69","4","2","1","13","0","1","16","43.7","2.7","4.5%"
"43","Martellus Bennett (FA)","30","44","286","9.5","33","4","0","0","0","0","0","9","43.6","4.8","23.0%"
"44","Demetrius Harris (CHI)","18","35","224","12.4","51","3","1","0","0","0","0","16","37.4","2.3","0.0%"
"45","Adam Shaheen (MIA)","12","14","127","10.6","31","2","3","0","0","0","0","13","36.7","2.8","0.0%"
"46","Jonnu Smith (TEN)","18","30","157","8.7","32","2","2","0","0","0","0","16","36.7","2.3","67.0%"
"47","Nick Boyle (BAL)","28","37","203","7.3","16","0","0","0","0","0","0","15","36.3","2.4","0.2%"
"48","Lance Kendricks (FA)","18","35","203","11.3","51","3","1","0","0","0","0","16","35.3","2.2","0.0%"
"49","Greg Olsen (SEA)","17","38","191","11.2","30","2","1","0","0","0","0","7","33.6","4.8","7.1%"
"50","Virgil Green (LAC)","14","22","191","13.6","44","3","1","0","0","0","0","16","32.1","2.0","0.0%"
