"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","DeAndre Hopkins (ARI)","96","174","1,378","14.4","72","24","13","0","0","0","1","15","261.8","17.5","100.0%"
"2","Antonio Brown (TB)","101","163","1,533","15.2","57","27","9","0","0","0","0","14","259.8","18.6","70.1%"
"3","Keenan Allen (LAC)","102","159","1,393","13.7","51","18","6","2","9","0","0","16","233.2","14.6","99.3%"
"4","Julio Jones (ATL)","88","148","1,444","16.4","53","23","3","1","15","0","0","16","207.9","13.0","99.5%"
"5","Larry Fitzgerald (ARI)","109","161","1,156","10.6","37","16","6","0","0","0","1","16","206.9","12.9","10.9%"
"6","Michael Thomas (NO)","104","149","1,245","12.0","43","22","5","0","0","0","0","16","206.5","12.9","99.5%"
"7","Jarvis Landry (CLE)","112","161","987","8.8","49","6","9","1","-7","0","2","16","204.0","12.8","85.9%"
"8","Tyreek Hill (KC)","75","105","1,183","15.8","79","15","7","17","59","0","0","15","201.7","13.4","100.0%"
"9","Marvin Jones Jr. (DET)","61","107","1,101","18.0","58","20","9","0","0","0","0","16","194.6","12.2","78.3%"
"10","Adam Thielen (MIN)","91","142","1,276","14.0","65","20","4","1","11","0","2","16","194.3","12.1","99.8%"
"11","A.J. Green (CIN)","75","143","1,078","14.4","77","9","8","0","0","0","2","16","189.3","11.8","46.0%"
"12","Brandin Cooks (HOU)","65","114","1,082","16.6","64","18","7","9","40","0","0","16","188.7","11.8","90.7%"
"13","Doug Baldwin (FA)","75","116","991","13.2","54","18","8","2","-8","0","0","16","187.8","11.7","0.0%"
"14","Davante Adams (GB)","74","117","885","12.0","55","8","10","0","0","0","0","14","185.5","13.3","100.0%"
"15","Golden Tate (NYG)","92","120","1,003","10.9","71","10","5","5","22","0","1","16","178.5","11.2","18.4%"
"16","Robby Anderson (CAR)","63","114","941","14.9","69","17","7","3","9","0","0","16","168.5","10.5","92.9%"
"17","Mike Evans (TB)","71","136","1,001","14.1","42","9","5","0","0","0","0","15","167.6","11.2","98.5%"
