Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,OWN,FG,FGA,PCT,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,INT,SACKS,ATT.1,FantasyPointsRank
1,Aaron Rodgers ,610,"4,428",7.3,,,40,,,369,,4,4,16,380,23.8,98.10%,,,65.7,,,,,,,,401,7,35,67,1
1,David Johnson ,293,"1,239",4.2,58,6,16,80,120,879,11,4,3,16,367.8,23,86.70%,,,,,,,,,,,,,,,2
2,Matt Ryan ,534,"4,944",9.3,,,38,,,117,,0,2,16,347.5,21.7,84.10%,,,69.9,,,,,,,,373,7,37,35,3
3,Drew Brees ,673,"5,208",7.7,,,37,,,20,,2,4,16,332.3,20.8,57.60%,,,70,,,,,,,,471,15,27,23,4
2,Ezekiel Elliott ,322,"1,631",5.1,60,14,15,32,40,363,11.3,1,1,15,309.4,20.6,99.20%,,,,,,,,,,,,,,,5
4,Andrew Luck ,545,"4,240",7.8,,,31,,,341,,2,5,15,307.6,20.5,2.10%,,,63.5,,,,,,,,346,13,41,64,6
5,Kirk Cousins ,606,"4,917",8.1,,,25,,,96,,4,3,16,300.7,18.8,56.70%,,,67,,,,,,,,406,12,23,34,7
6,Dak Prescott ,459,"3,667",8,,,23,,,282,,6,4,16,287.1,17.9,18.60%,,,67.8,,,,,,,,311,4,25,57,8
3,Le'Veon Bell ,261,"1,268",4.9,44,4,7,75,94,616,8.2,2,1,12,279.9,23.3,61.40%,,,,,,,,,,,,,,,9
7,Matthew Stafford ,594,"4,327",7.3,,,24,,,207,,2,2,16,279.7,17.5,54.20%,,,65.3,,,,,,,,388,10,37,37,10
4,LeSean McCoy ,234,"1,267",5.4,75,11,13,50,57,356,7.1,1,0,15,273.8,18.3,1.30%,,,,,,,,,,,,,,,11
8,Tyrod Taylor ,436,"3,023",6.9,,,17,,,580,,6,2,15,270.9,18.1,0.70%,,,61.7,,,,,,,,269,6,42,95,12
9,Blake Bortles ,625,"3,905",6.2,,,23,,,359,,3,6,16,270.6,16.9,0.00%,,,58.9,,,,,,,,368,16,34,58,13
10,Russell Wilson ,546,"4,219",7.7,,,21,,,259,,1,2,16,269.1,16.8,100.00%,,,64.7,,,,,,,,353,11,41,72,14
11,Derek Carr ,560,"3,937",7,,,28,,,70,,0,3,15,268.4,17.9,50.90%,,,63.8,,,,,,,,357,6,16,39,15
5,DeMarco Murray ,293,"1,287",4.4,75,4,9,53,67,377,7.1,3,1,16,267.3,16.7,0.10%,,,,,,,,,,,,,,,16
12,Marcus Mariota ,451,"3,426",7.6,,,26,,,349,,2,5,15,260.7,17.4,0.10%,,,61.2,,,,,,,,276,9,23,60,17
13,Andy Dalton ,563,"4,206",7.5,,,18,,,184,,4,3,16,260.6,16.3,9.20%,,,64.7,,,,,,,,364,8,41,46,18
14,Philip Rivers ,578,"4,386",7.6,,,33,,,35,,0,5,16,259,16.2,28.30%,,,60.4,,,,,,,,349,21,36,14,19
15,Tom Brady ,432,"3,554",8.2,,,28,,,64,,0,0,12,258.4,21.5,93.90%,,,67.4,,,,,,,,291,2,15,28,20
6,Devonta Freeman ,227,"1,079",4.8,75,7,11,54,65,462,8.6,2,1,16,257.1,16.1,21.80%,,,,,,,,,,,,,,,21
16,Jameis Winston ,567,"4,090",7.2,,,28,,,165,,1,6,16,256.5,16,2.80%,,,60.8,,,,,,,,345,18,35,53,22
1,Jordy Nelson ,0,"1,257",,60,19,14,97,152,0,13,0,1,16,256.2,16,0.10%,,,,,,,,,,,,,,,23
2,Mike Evans ,0,"1,321",,45,15,12,96,173,0,13.8,0,0,16,256.1,16,98.50%,,,,,,,,,,,,,,,24
17,Cam Newton ,510,"3,509",6.9,,,19,,,359,,5,2,15,254.3,17,62.50%,,,52.9,,,,,,,,270,14,36,90,25.5
3,Antonio Brown ,3,"1,284",,51,22,12,106,154,9,12.1,0,0,15,254.3,17,70.10%,,,,,,,,,,,,,,,25.5
18,Ben Roethlisberger ,509,"3,819",7.5,,,29,,,14,,1,2,14,252.3,18,86.50%,,,64.4,,,,,,,,328,13,17,16,27
4,Odell Beckham Jr. ,1,"1,367",,75,20,10,101,169,9,13.5,0,1,16,246.1,15.4,25.60%,,,,,,,,,,,,,,,28
19,Carson Palmer ,597,"4,233",7.1,,,26,,,38,,0,4,15,243.2,16.2,5.60%,,,61,,,,,,,,364,14,40,14,29
20,Joe Flacco ,672,"4,317",6.4,,,20,,,58,,2,3,16,242,15.1,0.90%,,,64.9,,,,,,,,436,15,33,21,30
7,Melvin Gordon III ,254,997,3.9,48,7,10,41,57,419,10.2,2,2,13,230.1,17.7,91.40%,,,,,,,,,,,,,,,31
8,LeGarrette Blount ,299,"1,161",3.9,44,7,18,7,8,38,5.4,0,1,16,229.4,14.3,0.00%,,,,,,,,,,,,,,,32
5,T.Y. Hilton ,0,"1,448",,63,28,6,91,155,0,15.9,0,0,16,228.3,14.3,46.50%,,,,,,,,,,,,,,,33
21,Alex Smith ,489,"3,502",7.2,,,15,,,134,,5,4,15,224.4,15,6.10%,,,67.1,,,,,,,,328,8,28,48,34
22,Eli Manning ,598,"4,027",6.7,,,26,,,-9,,0,4,16,224.1,14,2.10%,,,63,,,,,,,,377,16,21,21,35
23,Sam Bradford ,552,"3,877",7,,,20,,,53,,0,5,15,221.4,14.8,0.00%,,,71.6,,,,,,,,395,5,37,20,36
9,Mark Ingram II ,205,"1,043",5.1,75,4,6,46,58,319,6.9,4,2,16,219.2,13.7,38.90%,,,,,,,,,,,,,,,37
6,Julio Jones ,0,"1,409",,75,27,6,83,129,0,17,0,0,14,218.4,15.6,99.50%,,,,,,,,,,,,,,,38
10,Jordan Howard ,252,"1,313",5.2,69,10,6,29,50,298,10.3,1,1,15,215.6,14.4,15.40%,,,,,,,,,,,,,,,39
24,Carson Wentz ,607,"3,782",6.2,,,16,,,150,,2,3,16,213.5,13.3,58.80%,,,62.4,,,,,,,,379,14,33,46,40
7,Michael Thomas ,0,"1,137",,46,18,9,92,121,0,12.4,0,2,15,209.7,14,99.50%,,,,,,,,,,,,,,,41
8,Davante Adams ,0,997,,66,17,12,75,121,0,13.3,0,1,16,209.2,13.1,100.00%,,,,,,,,,,,,,,,42
9,Brandin Cooks ,6,"1,173",,98,15,8,78,117,30,15,0,0,16,207.3,13,90.70%,,,,,,,,,,,,,,,43
10,Doug Baldwin ,3,"1,128",,59,16,7,94,125,2,12,0,0,16,206.6,12.9,0.00%,,,,,,,,,,,,,,,44
11,Jay Ajayi ,260,"1,272",4.9,62,10,8,27,35,151,5.6,0,1,15,201.8,13.5,7.00%,,,,,,,,,,,,,,,45
25,Colin Kaepernick ,331,"2,241",6.8,,,16,,,468,,2,3,12,200.3,16.7,0.30%,,,59.2,,,,,,,,196,4,36,69,46
12,Frank Gore ,263,"1,025",3.9,22,1,4,38,47,277,7.3,4,1,16,195.3,12.2,36.70%,,,,,,,,,,,,,,,47
11,Michael Crabtree ,0,"1,003",,56,10,8,89,145,0,11.3,0,0,16,194.8,12.2,0.00%,,,,,,,,,,,,,,,48
13,Latavius Murray ,195,788,4,42,5,12,33,43,264,8,0,1,14,191.7,13.7,63.80%,,,,,,,,,,,,,,,49
26,Trevor Siemian ,486,"3,401",7,,,18,,,57,,0,2,14,191.6,13.7,0.00%,,,59.5,,,,,,,,289,10,31,28,50
12,Larry Fitzgerald ,2,"1,023",,32,8,6,107,150,5,9.6,0,1,16,190.9,11.9,10.90%,,,,,,,,,,,,,,,51
27,Ryan Tannehill ,389,"2,995",7.7,,,19,,,164,,1,3,13,190.4,14.6,75.50%,,,67.1,,,,,,,,261,12,29,39,52
13,Amari Cooper ,1,"1,153",,64,21,5,83,132,0,13.9,0,0,16,189.9,11.9,97.10%,,,,,,,,,,,,,,,53
14,Jarvis Landry ,5,"1,136",,71,16,4,94,131,17,12.1,0,2,16,184.5,11.5,85.90%,,,,,,,,,,,,,,,54
14,Isaiah Crowell ,198,952,4.8,85,8,7,40,53,319,8,0,2,16,184.3,11.5,0.00%,,,,,,,,,,,,,,,55
