Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,OWN,FG,FGA,PCT,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,INT,SACKS,ATT.1,FantasyPointsRank
15,Tyrell Williams ,0,"1,059",,51,19,7,69,119,0,15.3,0,0,16,182.4,11.4,1.20%,,,,,,,,,,,,,,,56
16,Julian Edelman ,12,"1,106",,77,11,3,98,159,57,11.3,0,2,16,181.3,11.3,28.50%,,,,,,,,,,,,,,,57.5
17,Demaryius Thomas ,0,"1,083",,55,10,5,90,144,0,12,0,2,16,181.3,11.3,0.00%,,,,,,,,,,,,,,,57.5
1,Travis Kelce ,1,"1,125",,80,14,4,85,117,-5,13.2,0,0,16,180.5,11.3,100.00%,,,,,,,,,,,,,,,59
1,Matt Bryant ,,,,59,,,,,,,,,16,179,11.2,2.00%,34,37,91.9,0,12,7,9,6,56,57,,,,,60.5
18,Rishard Matthews ,0,945,,60,16,9,65,108,0,14.5,0,1,16,179,11.2,0.00%,,,,,,,,,,,,,,,60.5
15,Carlos Hyde ,217,988,4.6,47,7,6,27,33,163,6,3,3,13,178.6,13.7,27.30%,,,,,,,,,,,,,,,62
19,Golden Tate ,10,"1,077",,67,13,4,91,135,4,11.8,0,1,16,177.6,11.1,18.40%,,,,,,,,,,,,,,,63
16,Spencer Ware ,214,921,4.3,46,3,3,33,42,447,13.5,2,3,14,177.4,12.7,0.00%,,,,,,,,,,,,,,,64
17,Todd Gurley II ,278,885,3.2,24,2,6,43,58,327,7.6,0,1,16,176.7,11,96.70%,,,,,,,,,,,,,,,65
19,Tevin Coleman ,118,520,4.4,55,5,8,31,40,421,13.6,3,0,13,175.6,13.5,16.60%,,,,,,,,,,,,,,,66.5
18,Lamar Miller ,268,"1,073",4,45,7,5,31,39,188,6.1,1,1,14,175.6,12.5,0.30%,,,,,,,,,,,,,,,66.5
2,Justin Tucker ,,,,57,,,,,,,,,16,175,10.9,95.80%,38,39,97.4,0,4,10,14,10,27,27,,,,,68
20,Terrelle Pryor ,8,"1,007",,54,11,4,77,140,21,13.1,1,0,16,174.9,10.9,0.00%,,,,,,,,,,,,,,,69
21,Emmanuel Sanders ,1,"1,032",,64,12,5,79,137,4,13.1,0,0,16,173.1,10.8,42.90%,,,,,,,,,,,,,,,70
20,Matt Forte ,218,813,3.7,32,5,7,30,43,263,8.8,1,1,14,168.6,12,19.10%,,,,,,,,,,,,,,,71
22,Tyreek Hill ,24,593,,49,8,6,61,83,267,9.7,3,1,16,168.5,10.5,100.00%,,,,,,,,,,,,,,,72
28,Brock Osweiler ,510,"2,957",5.8,,,15,,,131,,2,1,15,168.4,11.2,0.00%,,,59,,,,,,,,301,16,27,30,73
21,Bilal Powell ,131,722,5.5,35,4,3,58,74,388,6.7,2,1,16,168,10.5,0.00%,,,,,,,,,,,,,,,74
2,Kyle Rudolph ,0,840,,44,11,7,83,132,0,10.1,0,0,16,167.5,10.5,28.50%,,,,,,,,,,,,,,,75
3,Greg Olsen ,0,"1,073",,78,14,3,80,129,0,13.4,0,0,16,167.3,10.5,7.10%,,,,,,,,,,,,,,,76
23,Mike Wallace ,5,"1,017",,95,10,4,72,116,31,14.1,0,0,16,166.8,10.4,0.00%,,,,,,,,,,,,,,,77
22,Jeremy Hill ,222,839,3.8,74,5,9,21,27,174,8.3,0,0,15,165.8,11.1,0.00%,,,,,,,,,,,,,,,78
24,Kelvin Benjamin ,0,941,,50,10,7,63,118,0,14.9,0,1,16,165.6,10.4,0.00%,,,,,,,,,,,,,,,79
25,Allen Robinson II ,0,883,,42,11,6,73,151,0,12.1,0,0,16,162.8,10.2,98.90%,,,,,,,,,,,,,,,80
26,Kenny Britt ,0,"1,002",,66,15,5,68,111,0,14.7,0,1,15,162.2,10.8,0.00%,,,,,,,,,,,,,,,81
27,Pierre Garcon ,0,"1,041",,70,15,3,79,114,0,13.2,0,0,16,161.6,10.1,0.00%,,,,,,,,,,,,,,,82
28,Adam Thielen ,2,967,,71,16,5,69,92,15,14,0,1,16,160.7,10,99.80%,,,,,,,,,,,,,,,83
29,DeAndre Hopkins ,0,954,,51,10,4,78,151,0,12.2,0,0,16,158.4,9.9,100.00%,,,,,,,,,,,,,,,84
30,Jamison Crowder ,2,847,,55,11,7,67,99,-2,12.6,0,1,16,158,9.9,71.80%,,,,,,,,,,,,,,,85
4,Jimmy Graham ,1,923,,42,10,6,65,95,0,14.2,0,2,16,156.8,9.8,39.20%,,,,,,,,,,,,,,,86
5,Delanie Walker ,2,800,,47,13,7,65,102,11,12.3,0,0,15,155.6,10.4,0.10%,,,,,,,,,,,,,,,87
31,Willie Snead IV ,0,895,,49,12,4,72,104,0,12.4,0,0,15,155.5,10.4,1.90%,,,,,,,,,,,,,,,88
32,Dez Bryant ,0,796,,56,10,8,50,96,0,15.9,0,1,13,155,11.9,6.90%,,,,,,,,,,,,,,,89
33,Brandon LaFell ,1,862,,86,11,6,64,107,-2,13.5,0,0,16,154,9.6,0.00%,,,,,,,,,,,,,,,90.5
23,Terrance West ,193,774,4,41,5,5,34,45,236,6.9,1,0,16,154,9.6,0.00%,,,,,,,,,,,,,,,90.5
34,A.J. Green ,0,964,,54,15,4,66,100,0,14.6,0,0,10,153.4,15.3,46.00%,,,,,,,,,,,,,,,92
35,DeSean Jackson ,0,"1,005",,80,19,4,56,100,0,17.9,0,0,15,152.5,10.2,10.20%,,,,,,,,,,,,,,,93
36,Sterling Shepard ,3,683,,32,6,8,65,105,31,10.5,0,0,16,151.9,9.5,58.60%,,,,,,,,,,,,,,,94
37,Cole Beasley ,1,833,,47,6,5,75,98,7,11.1,0,0,16,151.5,9.5,58.10%,,,,,,,,,,,,,,,95
38,Stefon Diggs ,3,903,,46,10,3,84,112,10,10.8,0,0,13,151.3,11.6,99.30%,,,,,,,,,,,,,,,96
3,Dustin Hopkins ,,,,53,,,,,,,,,16,151,9.4,1.00%,34,42,81,0,12,12,7,3,36,39,,,,,97
4,Caleb Sturgis ,,,,55,,,,,,,,,16,150,9.4,0.00%,35,41,85.4,0,12,12,7,4,30,31,,,,,98
5,Adam Vinatieri ,,,,54,,,,,,,,,16,149,9.3,0.10%,27,31,87.1,0,3,7,10,7,44,44,,,,,99
39,Steve Smith ,0,799,,52,12,5,70,101,0,11.4,0,0,14,148.9,10.6,0.00%,,,,,,,,,,,,,,,100
6,Matt Prater ,,,,58,,,,,,,,,16,148,9.3,63.00%,31,36,86.1,0,10,4,10,7,31,33,,,,,101
40,Kenny Stills ,0,726,,74,10,9,42,81,0,17.3,0,0,16,147.6,9.2,0.80%,,,,,,,,,,,,,,,102
7,Wil Lutz ,,,,57,,,,,,,,,16,147,9.2,93.90%,28,34,82.4,1,7,9,8,3,49,50,,,,,103
41,Cameron Meredith ,1,888,,50,13,4,66,97,6,13.5,0,2,14,146.5,10.5,0.00%,,,,,,,,,,,,,,,104
42,Marvin Jones Jr. ,1,930,,73,16,4,55,103,3,16.9,0,0,15,144.8,9.7,78.30%,,,,,,,,,,,,,,,105
6,Zach Ertz ,0,816,,30,9,4,78,106,0,10.5,0,0,14,144.6,10.3,62.00%,,,,,,,,,,,,,,,106
7,Cameron Brate ,0,660,,38,5,8,57,81,0,11.6,0,0,15,142.5,9.5,1.10%,,,,,,,,,,,,,,,107
24,Jonathan Stewart ,218,824,3.8,47,6,9,8,21,60,7.5,0,2,13,142.4,11,0.00%,,,,,,,,,,,,,,,108
8,Nick Novak ,,,,53,,,,,,,,,16,141,8.8,0.10%,35,41,85.4,1,12,11,8,3,22,25,,,,,109.5
9,Graham Gano ,,,,54,,,,,,,,,16,141,8.8,9.00%,30,38,78.9,0,4,9,14,3,31,34,,,,,109.5
43,Marqise Lee ,6,851,,51,13,3,63,105,35,13.5,0,1,16,140.9,8.8,0.00%,,,,,,,,,,,,,,,111
8,Martellus Bennett ,2,701,,58,10,7,55,73,10,12.7,0,0,16,140.6,8.8,23.00%,,,,,,,,,,,,,,,112
10,Sebastian Janikowski ,,,,56,,,,,,,,,16,140,8.8,20.00%,29,35,82.9,1,9,6,10,3,37,39,,,,,114
12,Dan Bailey ,,,,56,,,,,,,,,16,140,8.8,24.30%,27,32,84.4,0,9,8,7,3,46,46,,,,,114
11,Stephen Gostkowski ,,,,53,,,,,,,,,16,140,8.8,29.60%,27,32,84.4,0,9,7,9,2,46,49,,,,,114
45,Quincy Enunwa ,1,857,,69,14,4,58,105,12,14.8,0,0,16,139.9,8.7,0.00%,,,,,,,,,,,,,,,116.5
44,Anquan Boldin ,0,584,,35,5,8,67,95,0,8.7,0,0,16,139.9,8.7,0.10%,,,,,,,,,,,,,,,116.5
13,Cairo Santos ,,,,54,,,,,,,,,16,139,8.7,1.00%,31,35,88.6,0,8,15,6,2,36,39,,,,,118
25,Ryan Mathews ,155,661,4.3,30,6,8,13,14,115,8.8,1,2,13,138.1,10.6,0.00%,,,,,,,,,,,,,,,119
14,Stephen Hauschka ,,,,53,,,,,,,,,16,138,8.6,0.20%,33,37,89.2,0,11,13,8,1,29,35,,,,,120
26,Darren Sproles ,94,438,4.7,25,1,2,52,71,427,8.2,2,0,15,136.5,9.1,0.00%,,,,,,,,,,,,,,,121
9,Jordan Reed ,0,686,,33,9,6,66,89,0,10.4,0,1,12,135.6,11.3,20.80%,,,,,,,,,,,,,,,122
27,Theo Riddick ,92,357,3.9,42,2,1,53,67,371,7,5,0,10,135.3,13.5,0.00%,,,,,,,,,,,,,,,123
46,Jordan Matthews ,0,804,,54,13,3,73,117,0,11,0,0,14,134.9,9.6,0.00%,,,,,,,,,,,,,,,124
15,Jason Myers ,,,,56,,,,,,,,,16,134,8.4,62.50%,27,34,79.4,0,7,3,10,7,29,32,,,,,125.5
47,Dontrelle Inman ,0,810,,57,10,4,58,97,0,14,0,0,16,134,8.4,0.20%,,,,,,,,,,,,,,,125.5
29,Ryan Fitzpatrick ,403,"2,710",6.7,,,12,,,130,,0,1,14,133.3,9.5,17.20%,,,56.6,,,,,,,,228,17,19,33,127
16,Brandon McManus ,,,,55,,,,,,,,,16,132,8.3,27.00%,29,34,85.3,0,9,10,7,3,32,33,,,,,128.5
48,Ted Ginn Jr. ,14,752,,88,9,4,54,95,98,13.9,0,2,16,132,8.3,0.20%,,,,,,,,,,,,,,,128.5
28,James White ,39,166,4.3,16,0,0,60,86,551,9.2,5,0,16,131.7,8.2,61.80%,,,,,,,,,,,,,,,130
17,Mason Crosby ,,,,53,,,,,,,,,16,129,8.1,40.60%,26,30,86.7,1,6,13,5,1,44,47,,,,,131
29,Devontae Booker ,174,612,3.5,18,0,4,31,45,265,8.5,1,3,16,127.2,8,71.00%,,,,,,,,,,,,,,,132
30,Jerick McKinnon ,159,539,3.4,36,2,2,43,53,255,5.9,2,0,15,126.9,8.5,50.90%,,,,,,,,,,,,,,,133
49,Brandon Marshall ,0,788,,41,10,3,59,128,0,13.4,0,0,15,126.7,8.4,5.00%,,,,,,,,,,,,,,,134
31,Robert Kelley ,168,704,4.2,66,4,6,12,18,82,6.8,1,0,15,126.6,8.4,0.00%,,,,,,,,,,,,,,,135
50,DeVante Parker ,0,744,,56,9,4,56,87,0,13.3,0,0,15,126.4,8.4,92.10%,,,,,,,,,,,,,,,136
18,Josh Lambo ,,,,47,,,,,,,,,16,126,7.9,0.80%,26,32,81.3,0,7,13,6,0,42,46,,,,,137.5
32,Christine Michael ,148,583,3.9,42,3,7,22,29,107,4.9,1,1,15,126,8.4,0.00%,,,,,,,,,,,,,,,137.5
10,Dennis Pitta ,0,729,,30,4,2,86,121,0,8.5,0,1,16,125.9,7.9,0.00%,,,,,,,,,,,,,,,139
51,Taylor Gabriel ,4,579,,76,8,6,35,50,51,16.5,1,0,13,123.9,9.5,0.00%,,,,,,,,,,,,,,,140
33,Chris Thompson ,68,356,5.2,25,2,3,49,62,349,7.1,2,1,16,123,7.7,3.60%,,,,,,,,,,,,,,,141
52,J.J. Nelson ,4,568,,80,9,6,34,74,83,16.7,1,1,15,122.1,8.1,0.00%,,,,,,,,,,,,,,,142
11,Antonio Gates ,0,548,,27,5,7,53,93,0,10.3,0,1,14,121.3,8.7,0.20%,,,,,,,,,,,,,,,143
34,Mike Gillislee ,101,577,5.7,44,7,8,9,11,50,5.6,1,0,15,121.1,8.1,0.00%,,,,,,,,,,,,,,,144
35,Rashad Jennings ,181,593,3.3,25,3,3,35,42,201,5.7,1,0,13,120.9,9.3,0.00%,,,,,,,,,,,,,,,145
53,Alshon Jeffery ,0,821,,54,12,2,52,94,0,15.8,0,0,12,120.1,10,5.50%,,,,,,,,,,,,,,,146
54,Mohamed Sanu ,1,653,,59,6,4,59,81,5,11.1,0,1,15,119.3,8,0.90%,,,,,,,,,,,,,,,147
19,Ryan Succop ,,,,53,,,,,,,,,16,119,7.4,21.70%,22,24,91.7,1,4,6,8,3,39,41,,,,,148
36,Duke Johnson Jr. ,73,358,4.9,22,2,1,53,74,514,9.7,0,1,16,118.5,7.4,57.40%,,,,,,,,,,,,,,,149
55,Randall Cobb ,10,610,,47,7,4,60,84,33,10.2,0,0,13,118.3,9.1,9.90%,,,,,,,,,,,,,,,150
20,Chandler Catanzaro ,,,,60,,,,,,,,,16,118,7.4,0.00%,21,28,75,1,5,6,6,3,43,47,,,,,151
12,Jason Witten ,0,673,,35,7,3,69,95,0,9.8,0,1,16,117.8,7.4,0.20%,,,,,,,,,,,,,,,152.5
56,Tavon Austin ,28,509,,43,6,3,58,106,159,8.8,1,1,15,117.8,7.9,0.30%,,,,,,,,,,,,,,,152.5
37,Matt Asiata ,121,402,3.3,29,2,6,32,38,263,8.2,0,1,16,116.5,7.3,0.00%,,,,,,,,,,,,,,,154
13,Jack Doyle ,0,584,,24,5,5,59,75,0,9.9,0,1,16,115.9,7.2,5.50%,,,,,,,,,,,,,,,155
38,Tim Hightower ,133,548,4.1,30,4,4,22,26,200,9.1,1,0,16,115.8,7.2,0.00%,,,,,,,,,,,,,,,156
57,Jeremy Kerley ,0,667,,33,8,3,64,115,0,10.4,0,1,16,114.7,7.2,0.00%,,,,,,,,,,,,,,,157
14,Eric Ebron ,1,711,,61,9,1,61,85,1,11.7,1,0,13,113.7,8.7,83.30%,,,,,,,,,,,,,,,158
39,T.J. Yeldon ,130,465,3.6,16,0,1,50,68,312,6.2,1,1,15,112.7,7.5,0.10%,,,,,,,,,,,,,,,159
15,Coby Fleener ,1,631,,50,12,3,50,81,2,12.6,1,0,16,112.3,7,0.00%,,,,,,,,,,,,,,,160
16,Hunter Henry ,0,478,,59,7,8,36,53,0,13.3,0,1,15,112.2,7.5,96.20%,,,,,,,,,,,,,,,161
21,Nick Folk ,,,,51,,,,,,,,,16,112,7,2.90%,27,31,87.1,0,12,10,3,2,24,26,,,,,162
30,Case Keenum ,322,"2,201",6.8,,,9,,,51,,1,1,10,111,11.1,0.10%,,,60.9,,,,,,,,196,11,23,20,163
22,Chris Boswell ,,,,49,,,,,,,,,15,110,7.3,29.80%,21,25,84,0,2,8,11,0,36,36,,,,,164
58,Chris Hogan ,3,680,,79,11,4,38,58,9,17.9,0,1,15,109.9,7.3,0.20%,,,,,,,,,,,,,,,165
59,Travis Benjamin ,2,677,,54,10,4,47,75,-3,14.4,0,3,14,108.9,7.8,0.00%,,,,,,,,,,,,,,,166
17,Charles Clay ,0,552,,40,4,4,57,87,0,9.7,0,0,15,107.7,7.2,0.00%,,,,,,,,,,,,,,,167
18,C.J. Fiedorowicz ,0,559,,26,5,4,54,89,0,10.4,0,0,15,106.9,7.1,0.00%,,,,,,,,,,,,,,,168
60,Adam Humphries ,5,622,,42,7,2,55,83,18,11.3,0,0,15,105.5,7,2.40%,,,,,,,,,,,,,,,169
61,Tyler Lockett ,6,597,,57,9,1,41,66,114,14.6,1,0,15,103.6,6.9,99.40%,,,,,,,,,,,,,,,170
62,Terrance Williams ,0,594,,47,6,4,44,61,0,13.5,0,1,16,103.4,6.5,0.00%,,,,,,,,,,,,,,,171
23,Dan Carpenter ,,,,54,,,,,,,,,16,103,6.4,0.20%,19,25,76,1,8,5,4,1,40,45,,,,,172
40,Giovani Bernard ,91,337,3.7,17,0,2,39,51,336,8.6,1,1,10,102.8,10.3,69.30%,,,,,,,,,,,,,,,173
19,Gary Barnidge ,0,612,,43,7,2,55,82,0,11.1,0,0,16,102.7,6.4,0.10%,,,,,,,,,,,,,,,174
63,Eli Rogers ,1,594,,39,11,3,48,66,6,12.4,0,0,13,102,7.8,0.00%,,,,,,,,,,,,,,,175
41,Jalen Richard ,83,491,5.9,75,5,1,29,39,194,6.7,2,0,16,101.1,6.3,3.90%,,,,,,,,,,,,,,,176
24,Roberto Aguayo ,,,,43,,,,,,,,,16,101,6.3,0.10%,22,31,71,0,5,13,4,0,32,34,,,,,177
42,Derrick Henry ,110,490,4.5,22,1,5,13,15,137,10.5,0,0,15,99.2,6.6,100.00%,,,,,,,,,,,,,,,178
64,Will Fuller V ,1,635,,53,11,2,47,92,-3,13.5,0,0,14,98.7,7.1,48.10%,,,,,,,,,,,,,,,179
65,Michael Floyd ,0,488,,39,4,5,37,76,0,13.2,0,0,15,97.3,6.5,0.00%,,,,,,,,,,,,,,,180
66,Tyler Boyd ,4,603,,30,9,1,54,81,58,11.2,0,1,16,97.1,6.1,89.30%,,,,,,,,,,,,,,,181
25,Mike Nugent ,,,,47,,,,,,,,,13,97,7.5,1.00%,23,29,79.3,0,9,9,5,0,23,29,,,,,182
20,Dwayne Allen ,0,406,,23,4,6,35,52,0,11.6,0,0,14,96.1,6.9,0.00%,,,,,,,,,,,,,,,183.5
21,Zach Miller ,0,486,,34,5,4,47,64,0,10.3,0,0,10,96.1,9.6,0.00%,,,,,,,,,,,,,,,183.5
26,Phil Dawson ,,,,53,,,,,,,,,16,96,6,0.00%,18,21,85.7,0,4,6,7,1,33,34,,,,,185
43,Robert Turbin ,47,164,3.5,18,0,7,26,35,179,6.9,1,0,15,95.3,6.4,0.00%,,,,,,,,,,,,,,,186
67,Brian Quick ,0,564,,65,7,3,41,77,0,13.8,0,0,16,94.9,5.9,0.00%,,,,,,,,,,,,,,,187
44,C.J. Anderson ,110,437,4,28,1,4,16,24,128,8,1,0,7,94.5,13.5,1.00%,,,,,,,,,,,,,,,188
45,Shaun Draughn ,74,196,2.6,18,0,4,29,39,263,9.1,2,1,16,94.4,5.9,0.00%,,,,,,,,,,,,,,,189
68,Robby Anderson ,3,587,,52,10,2,42,78,42,14,0,1,16,93.9,5.9,92.90%,,,,,,,,,,,,,,,190
69,Robert Woods ,1,613,,34,10,1,51,76,6,12,0,0,13,93.4,7.2,97.20%,,,,,,,,,,,,,,,191
70,Seth Roberts ,0,397,,41,5,5,38,77,0,10.4,0,0,16,92.7,5.8,0.00%,,,,,,,,,,,,,,,192
22,Vernon Davis ,0,583,,44,11,2,44,59,0,13.3,0,0,16,92.3,5.8,1.60%,,,,,,,,,,,,,,,193
27,Andrew Franks ,,,,55,,,,,,,,,16,92,5.8,0.00%,16,21,76.2,0,8,6,1,1,41,42,,,,,194
46,DeAngelo Williams ,98,343,3.5,17,0,4,18,27,118,6.6,2,0,9,91.1,10.1,0.10%,,,,,,,,,,,,,,,195
28,Connor Barth ,,,,54,,,,,,,,,16,90,5.6,0.00%,18,23,78.3,0,7,7,3,1,31,32,,,,,196
29,Cody Parkey ,,,,51,,,,,,,,,14,89,6.4,1.00%,20,25,80,0,6,6,7,1,20,21,,,,,197
71,Donte Moncrief ,1,307,,39,3,7,30,56,-1,10.2,0,0,9,87.6,9.7,0.00%,,,,,,,,,,,,,,,198.5
