Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Julio Jones,ATL,WR,140,213,65.73,9
2,Antonio Brown,PIT,WR,140,203,68.97,11
3,DeAndre Hopkins,HOU,WR,111,199,55.78,12
4,Demaryius Thomas,DEN,WR,109,182,59.89,6
5,Brandon Marshall,NYJ,WR,109,173,63.01,14
6,Jarvis Landry,MIA,WR,115,171,67.25,5
7,Odell Beckham Jr.,NYG,WR,96,170,56.47,14
8,Mike Evans,TB,WR,77,162,47.53,4
9,Calvin Johnson,DET,WR,92,156,58.97,9
10,Larry Fitzgerald,ARI,WR,110,154,71.43,9
11,Allen Robinson,JAC,WR,83,152,54.61,14
12,Michael Crabtree,OAK,WR,86,151,56.95,9
13,Randall Cobb,GB,WR,81,143,56.64,7
14,A.J. Green,CIN,WR,90,141,63.83,12
15,Emmanuel Sanders,DEN,WR,77,139,55.40,6
16,Eric Decker,NYJ,WR,82,137,59.85,12
17,T.Y. Hilton,IND,WR,72,136,52.94,5
18,Amari Cooper,OAK,WR,71,134,52.99,6
19,Jordan Matthews,PHI,WR,87,133,65.41,8
20,Travis Benjamin,CLE,WR,71,133,53.38,5
21,Delanie Walker,TEN,TE,95,132,71.97,6
22,Golden Tate,DET,WR,93,132,70.45,6
23,Brandin Cooks,NO,WR,85,132,64.39,10
24,Kamar Aiken,BAL,WR,77,130,59.23,5
25,Greg Olsen,CAR,TE,81,129,62.79,9
26,Jeremy Maclin,KC,WR,88,128,68.75,8
27,Rob Gronkowski,NE,TE,76,124,61.29,11
28,Gary Barnidge,CLE,TE,78,123,63.41,9
29,Zach Ertz,PHI,TE,79,117,67.52,4
30,Jordan Reed,WAS,TE,88,116,75.86,12
31,Pierre Garcon,WAS,WR,77,115,66.96,6
32,James Jones,GB,WR,55,115,47.83,11
33,Benjamin Watson,NO,TE,75,113,66.37,6
34,Anquan Boldin,SF,WR,70,113,61.95,4
35,Danny Woodhead,SD,RB,85,111,76.58,6
36,Marvin Jones,CIN,WR,68,111,61.26,4
37,Allen Hurns,JAC,WR,66,109,60.55,10
38,John Brown,ARI,WR,66,107,61.68,8
39,Travis Kelce,KC,TE,74,106,69.81,6
40,Willie Snead,NO,WR,72,104,69.23,3
41,Donte Moncrief,IND,WR,66,104,63.46,6
42,Doug Baldwin,SEA,WR,80,103,77.67,14
43,Devonta Freeman,ATL,RB,80,102,78.43,4
44,Jason Witten,DAL,TE,78,102,76.47,4
45,Sammy Watkins,BUF,WR,59,101,58.42,9
46,Theo Riddick,DET,RB,80,99,80.81,3
47,Ted Ginn,CAR,WR,42,99,42.42,10
48,Nate Washington,HOU,WR,48,98,48.98,4
49,Richard Rodgers,GB,TE,61,97,62.89,9
50,Michael Floyd,ARI,WR,57,97,58.76,8
51,Terrance Williams,DAL,WR,56,96,58.33,4
52,Julian Edelman,NE,WR,67,94,71.28,8
53,Alshon Jeffery,CHI,WR,55,94,58.51,5
54,Davante Adams,GB,WR,51,94,54.26,1
55,Tavon Austin,STL,WR,54,93,58.06,5
56,Keenan Allen,SD,WR,70,92,76.09,5
57,Antonio Gates,SD,TE,60,92,65.22,6
58,Martavis Bryant,PIT,WR,51,92,55.43,6
59,Danny Amendola,NE,WR,70,91,76.92,3
60,Rueben Randle,NYG,WR,58,91,63.74,8
61,Heath Miller,PIT,TE,63,88,71.59,2
62,Darren Sproles,PHI,RB,59,87,67.82,1
63,Shane Vereen,NYG,RB,63,86,73.26,4
