Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Odell Beckham Jr.,NYG,WR,104,180,57.78,10
2,Mike Evans,TB,WR,100,176,56.82,12
3,Julian Edelman,NE,WR,102,165,61.82,3
4,Antonio Brown,PIT,WR,110,164,67.07,13
5,T.Y. Hilton,IND,WR,95,163,58.28,7
6,Larry Fitzgerald,ARI,WR,111,161,68.94,7
7,Jordy Nelson,GB,WR,100,160,62.50,14
8,DeAndre Hopkins,HOU,WR,79,160,49.38,4
9,Demaryius Thomas,DEN,WR,93,159,58.49,5
10,Allen Robinson,JAX,WR,73,159,45.91,6
11,Michael Crabtree,OAK,WR,92,156,58.97,9
12,Amari Cooper,OAK,WR,86,146,58.90,5
13,Terrelle Pryor,CLE,WR,80,144,55.56,4
14,Golden Tate,DET,WR,92,141,65.25,5
15,Emmanuel Sanders,DEN,WR,80,141,56.74,5
16,Kyle Rudolph,MIN,TE,84,139,60.43,8
17,Jarvis Landry,MIA,WR,99,134,73.88,4
18,Doug Baldwin,SEA,WR,96,133,72.18,7
19,Julio Jones,ATL,WR,85,133,63.91,6
20,Greg Olsen,CAR,TE,81,133,60.90,3
21,Brandon Marshall,NYJ,WR,62,132,46.97,4
22,Davante Adams,GB,WR,77,127,60.63,12
23,Michael Thomas,NO,WR,94,125,75.20,9
24,David Johnson,ARI,RB,84,123,68.29,4
25,Dennis Pitta,BAL,TE,88,122,72.13,2
26,Travis Kelce,KC,TE,85,121,70.25,4
27,Brandin Cooks,NO,WR,80,119,67.23,9
28,Jordan Matthews,PHI,WR,73,119,61.34,3
29,Mike Wallace,BAL,WR,73,118,61.86,4
30,Kelvin Benjamin,CAR,WR,63,118,53.39,7
31,Pierre Garcon,WAS,WR,80,117,68.38,3
32,Jeremy Kerley,SF,WR,64,116,55.17,3
33,Marvin Jones,DET,WR,55,116,47.41,4
34,Stefon Diggs,MIN,WR,86,114,75.44,3
35,Kenny Britt,LA,WR,69,114,60.53,5
36,Tyrell Williams,SD,WR,71,113,62.83,7
37,Brandon LaFell,CIN,WR,64,113,56.64,6
38,Marqise Lee,JAX,WR,66,111,59.46,3
