Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
117,Eddie Lacy,GB,RB,44,57,77.19,4
118,Joique Bell,DET,RB,36,57,63.16,1
119,John Carlson,ARI,TE,35,57,61.40,1
120,Cole Beasley,DAL,WR,41,56,73.21,4
121,Darren McFadden,OAK,RB,36,56,64.29,0
122,Vernon Davis,SF,TE,31,55,56.36,2
123,Travaris Cadet,NO,RB,39,54,72.22,1
124,Jace Amaro,NYJ,TE,38,54,70.37,1
125,Benny Cunningham,STL,RB,44,53,83.02,1
126,Donte Moncrief,IND,WR,32,53,60.38,3
127,Levine Toilolo,ATL,TE,31,53,58.49,2
128,Brandon Gibson,MIA,WR,30,53,56.60,1
129,Niles Paul,WAS,TE,39,52,75.00,1
130,Lamar Miller,MIA,RB,39,52,75.00,1
131,Dwayne Allen,IND,TE,31,52,59.62,8
132,Percy Harvin,NYJ,WR,29,52,55.77,1
133,Roy Helu,WAS,RB,43,51,84.31,2
134,Martavis Bryant,PIT,WR,26,51,50.98,8
135,Jordan Cameron,CLE,TE,25,51,49.02,2
136,Steve Johnson,SF,WR,36,50,72.00,3
137,Theo Riddick,DET,RB,34,50,68.00,4
138,Stedman Bailey,STL,WR,34,50,68.00,1
139,Dennis Johnson,HOU,RB,31,50,62.00,1
140,Eric Ebron,DET,TE,26,50,52.00,2
141,Ahmad Bradshaw,IND,RB,38,49,77.55,6
142,Marshawn Lynch,SEA,RB,38,49,77.55,4
143,Danny Amendola,NE,WR,32,49,65.31,1
144,Brent Celek,PHI,TE,32,48,66.67,2
145,Andrew Quarless,GB,TE,30,48,62.50,3
146,Branden Oliver,SD,RB,37,47,78.72,1
147,Tavon Austin,STL,WR,34,47,72.34,0
148,Bobby Rainey,TB,RB,34,46,73.91,1
149,Jacquizz Rodgers,ATL,RB,34,45,75.56,1
150,C.J. Anderson,DEN,RB,34,45,75.56,2
151,Paul Richardson,SEA,WR,31,45,68.89,1
152,Josh Gordon,CLE,WR,26,45,57.78,0
153,Jeff Cumberland,NYJ,TE,23,45,51.11,3
154,Travis Benjamin,CLE,WR,18,45,40.00,3
155,Jerick McKinnon,MIN,RB,30,44,68.18,0
156,Rashad Jennings,NYG,RB,30,43,69.77,0
157,LeSean McCoy,PHI,RB,32,42,76.19,0
158,Donald Brown,SD,RB,30,42,71.43,0
159,Victor Cruz,NYG,WR,23,41,56.10,1
160,Brian Quick,STL,WR,25,40,62.50,3
161,Luke Willson,SEA,TE,22,40,55.00,3
162,Devonta Freeman,ATL,RB,31,39,79.49,1
163,Kenbrell Thompkins,OAK,WR,16,39,41.03,0
164,Dexter McCluster,TEN,WR,29,38,76.32,1
165,Clay Harbor,JAC,TE,27,38,71.05,1
166,Lance Kendricks,STL,TE,27,38,71.05,5
167,Anthony Fasano,KC,TE,26,38,68.42,4
168,Jordan Todman,JAC,RB,25,38,65.79,1
169,Andre Williams,NYG,RB,18,37,48.65,0
170,Trent Richardson,IND,RB,29,36,80.56,0
171,Mark Ingram,NO,RB,29,36,80.56,0
172,Jeremy Ross,DET,WR,24,36,66.67,1
173,Dion Sims,MIA,TE,24,36,66.67,2
174,Chase Ford,MIN,TE,24,36,66.67,1
175,Brice Butler,OAK,WR,20,36,55.56,2
176,Derek Hagan,TEN,WR,19,36,52.78,1
177,Brandon Lloyd,SF,WR,14,36,38.89,1
178,Kyle Rudolph,MIN,TE,24,35,68.57,2
179,Ronnie Hillman,DEN,RB,21,35,60.00,1
