Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
117,Austin Ekeler,LAC,RB,39,53,73.58,3
118,David Moore,SEA,WR,24,53,45.28,5
119,Rashard Higgins,CLE,WR,40,52,76.92,4
120,Dalvin Cook,MIN,RB,42,51,82.35,3
121,Phillip Lindsay,DEN,RB,38,51,74.51,1
122,Cameron Brate,TB,TE,32,51,62.75,6
123,Josh Reynolds,LA,WR,30,51,58.82,6
124,Will Fuller,HOU,WR,34,50,68.00,4
125,Giovani Bernard,CIN,RB,36,49,73.47,0
126,Ian Thomas,CAR,TE,36,48,75.00,2
127,Dante Pettis,SF,WR,27,48,56.25,5
128,DeVante Parker,MIA,WR,25,48,52.08,1
129,Ryan Switzer,PIT,WR,37,47,78.72,1
130,Jeff Heuerman,DEN,TE,32,47,68.09,3
131,Robert Foster,BUF,WR,27,47,57.45,3
132,Benjamin Watson,NO,TE,35,46,76.09,3
133,LeSean McCoy,BUF,RB,35,46,76.09,0
134,Tevin Coleman,ATL,RB,33,46,71.74,5
135,DaeSean Hamilton,DEN,WR,30,46,65.22,2
136,Nick Vannett,SEA,TE,29,46,63.04,3
137,Zach Pascal,IND,WR,29,46,63.04,2
138,Tajae Sharpe,TEN,WR,26,46,56.52,2
139,Pierre Garcon,SF,WR,24,46,52.17,1
140,Mike Davis,SEA,RB,36,45,80.00,1
141,O.J. Howard,TB,TE,35,45,77.78,5
142,Javorius Allen,BAL,RB,35,45,77.78,2
143,Ryan Griffin,HOU,TE,25,45,55.56,0
144,Chad Williams,ARI,WR,17,45,37.78,2
145,Jacquizz Rodgers,TB,RB,38,44,86.36,0
146,Dallas Goedert,PHI,TE,34,44,77.27,5
147,Golden Tate,PHI,WR,31,44,70.45,1
148,Maurice Harris,WAS,WR,28,44,63.64,0
149,Kyle Juszczyk,SF,FB,30,43,69.77,1
150,TreQuan Smith,NO,WR,28,43,65.12,5
151,Jamison Crowder,WAS,WR,26,43,60.47,2
152,Tim Patrick,DEN,WR,24,43,55.81,2
153,Marquise Goodwin,SF,WR,24,43,55.81,4
154,Jesse James,PIT,TE,30,42,71.43,2
155,Trent Taylor,SF,WR,26,42,61.90,1
