Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Michael Thomas,NO,WR,146,179,81.56,10
2,Allen Robinson,CHI,WR,92,150,61.33,7
3,DeAndre Hopkins,HOU,WR,103,148,69.59,7
4,Julian Edelman,NE,WR,94,148,63.51,7
5,Travis Kelce,KC,TE,99,147,67.35,6
6,Julio Jones,ATL,WR,94,145,64.83,6
7,Keenan Allen,LAC,WR,98,142,69.01,6
8,Zach Ertz,PHI,TE,91,141,64.54,6
9,Tyler Boyd,CIN,WR,86,140,61.43,6
10,Odell Beckham Jr.,CLE,WR,76,137,55.47,4
11,Christian McCaffrey,CAR,RB,113,135,83.70,5
12,Jarvis Landry,CLE,WR,83,134,61.94,5
13,D.J. Moore,CAR,WR,89,133,66.92,4
14,Cooper Kupp,LA,WR,86,127,67.72,10
15,Courtland Sutton,DEN,WR,71,126,56.35,6
16,D.J. Chark,JAX,WR,75,123,60.98,9
17,Mike Evans,TB,WR,72,122,59.02,8
18,Davante Adams,GB,WR,76,121,62.81,4
19,Robert Woods,LA,WR,80,120,66.67,2
20,DeVante Parker,MIA,WR,66,120,55.00,9
21,Amari Cooper,DAL,WR,77,118,65.25,9
22,Chris Godwin,TB,WR,86,115,74.78,9
23,Kenny Golladay,DET,WR,64,114,56.14,12
24,Tyler Lockett,SEA,WR,79,112,70.54,8
25,Jamison Crowder,NYJ,WR,71,112,63.39,5
26,John Brown,BUF,WR,70,112,62.50,5
27,Darren Waller,OAK,TE,88,111,79.28,5
28,Michael Gallup,DAL,WR,61,107,57.01,4
29,Larry Fitzgerald,ARI,WR,72,104,69.23,6
30,Leonard Fournette,JAX,RB,78,103,75.73,0
31,Christian Kirk,ARI,WR,62,103,60.19,3
32,Curtis Samuel,CAR,WR,52,103,50.49,6
33,Mark Andrews,BAL,TE,68,101,67.33,11
34,Calvin Ridley,ATL,WR,63,101,62.38,7
35,Austin Ekeler,LAC,RB,86,100,86.00,10
36,Terry McLaurin,WAS,WR,61,100,61.00,7
37,Robby Anderson,NYJ,WR,54,100,54.00,5
38,Alvin Kamara,NO,RB,83,99,83.84,1
39,George Kittle,SF,TE,78,98,79.59,7
40,Tarik Cohen,CHI,RB,73,98,74.49,3
41,Danny Amendola,DET,WR,64,98,65.31,1
42,Stefon Diggs,MIN,WR,64,96,66.67,7
43,Dede Westbrook,JAX,WR,62,96,64.58,2
44,Marvin Jones,DET,WR,63,94,67.02,9
45,Sammy Watkins,KC,WR,51,94,54.26,3
46,DK Metcalf,SEA,WR,52,93,55.91,7
47,Cole Beasley,BUF,WR,60,92,65.22,6
48,Austin Hooper,ATL,TE,70,90,77.78,7
49,Diontae Johnson,PIT,WR,57,90,63.33,5
50,Mike Gesicki,MIA,TE,50,90,55.56,4
51,James White,NE,RB,66,88,75.00,5
52,Chris Conley,JAX,WR,46,88,52.27,5
53,Mike Williams,LAC,WR,47,86,54.65,2
54,Anthony Miller,CHI,WR,52,85,61.18,2
55,Auden Tate,CIN,WR,41,85,48.24,2
56,Tyreek Hill,KC,WR,55,84,65.48,7
57,Jason Witten,DAL,TE,61,83,73.49,5
58,Randall Cobb,DAL,WR,55,83,66.27,5
59,James Washington,PIT,WR,45,81,55.56,3
60,Golden Tate,NYG,WR,46,79,58.23,5
61,Dallas Goedert,PHI,TE,57,78,73.08,4
62,Greg Olsen,CAR,TE,51,78,65.38,2
63,A.J. Brown,TEN,WR,50,78,64.10,7
64,Darius Slayton,NYG,WR,45,78,57.69,8
65,LeVeon Bell,NYJ,RB,65,77,84.42,1
66,Alshon Jeffery,PHI,WR,43,76,56.58,4
67,Alex Erickson,CIN,WR,43,75,57.33,0
68,Hunter Henry,LAC,TE,52,74,70.27,4
69,Evan Engram,NYG,TE,46,73,63.01,3
70,Marquise Brown,BAL,WR,44,73,60.27,7
71,Sterling Shepard,NYG,WR,53,72,73.61,3
72,Jack Doyle,IND,TE,45,72,62.50,4
73,Deebo Samuel,SF,WR,50,71,70.42,3
74,Nelson Agholor,PHI,WR,38,71,53.52,3
75,Ezekiel Elliott,DAL,RB,53,70,75.71,1
76,Saquon Barkley,NYG,RB,50,70,71.43,2
77,Will Fuller,HOU,WR,48,70,68.57,4
78,Zach Pascal,IND,WR,40,70,57.14,5
79,Devonta Freeman,ATL,RB,61,69,88.41,4
80,Tyler Higbee,LA,TE,55,69,79.71,2
81,JuJu Smith-Schuster,PIT,WR,42,69,60.87,3
82,T.Y. Hilton,IND,WR,42,69,60.87,5
83,Corey Davis,TEN,WR,40,69,57.97,2
84,Jared Cook,NO,TE,42,67,62.69,8
85,Aaron Jones,GB,RB,50,65,76.92,4
86,Tyrell Williams,OAK,WR,42,64,65.63,6
87,Preston Williams,MIA,WR,32,64,50.00,3
88,Dalvin Cook,MIN,RB,53,63,84.13,0
89,Tyler Eifert,CIN,TE,41,63,65.08,3
90,Brandin Cooks,LA,WR,37,63,58.73,1
91,Hunter Renfrow,OAK,WR,44,62,70.97,3
92,T.J. Hockenson,DET,TE,32,62,51.61,2
93,Noah Fant,DEN,TE,39,61,63.93,3
94,Demaryius Thomas,NYJ,WR,37,61,60.66,2
95,Russell Gage,ATL,WR,42,60,70.00,2
96,Miles Sanders,PHI,RB,47,59,79.66,3
97,Albert Wilson,MIA,WR,39,59,66.10,1
98,Gerald Everett,LA,TE,38,59,64.41,2
99,Jimmy Graham,GB,TE,35,59,59.32,4
100,Demarcus Robinson,KC,WR,35,59,59.32,4
101,Jaylen Samuels,PIT,RB,47,57,82.46,1
102,Nyheim Hines,IND,RB,45,57,78.95,0
103,Chris Thompson,WAS,RB,42,56,75.00,0
104,Geronimo Allison,GB,WR,31,56,55.36,3
105,Ted Ginn,NO,WR,30,56,53.57,2
106,Royce Freeman,DEN,RB,45,55,81.82,1
107,Vance McDonald,PIT,TE,38,55,69.09,3
108,Phillip Dorsett,NE,WR,30,54,55.56,5
109,John Ross,CIN,WR,27,54,50.00,3
110,Jacob Hollister,SEA,TE,38,53,71.70,3
111,Adam Thielen,MIN,WR,31,53,58.49,6
112,Eric Ebron,IND,TE,31,52,59.62,3
113,Melvin Gordon,LAC,RB,38,51,74.51,1
114,Duke Johnson,HOU,RB,38,51,74.51,3
115,Steven Sims,WAS,WR,30,51,58.82,3
116,Taylor Gabriel,CHI,WR,29,51,56.86,4
117,Marquez Valdes-Scantling,GB,WR,24,51,47.06,2
118,Kyle Rudolph,MIN,TE,40,50,80.00,6
