Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
117,Shane Vereen,NYG,RB,45,55,81.82,0
118,Allen Hurns,JAX,WR,39,55,70.91,2
119,Dede Westbrook,JAX,WR,27,55,49.09,1
120,Chris Thompson,WAS,RB,40,54,74.07,4
121,Taylor Gabriel,ATL,WR,34,54,62.96,1
122,Kenny Golladay,DET,WR,28,53,52.83,3
123,Antonio Gates,LAC,TE,30,52,57.69,3
124,Bennie Fowler,DEN,WR,29,52,55.77,3
125,Will Fuller,HOU,WR,28,52,53.85,7
126,DeMarco Murray,TEN,RB,42,51,82.35,1
127,T.J. Jones,DET,WR,30,51,58.82,1
128,Devonta Freeman,ATL,RB,38,50,76.00,1
129,Kenyan Drake,MIA,RB,33,50,66.00,1
130,Rashard Higgins,CLE,WR,27,50,54.00,2
131,Deonte Thompson,BUF,WR,26,50,52.00,1
132,Stephen Anderson,HOU,TE,25,50,50.00,1
133,Leonard Fournette,JAX,RB,37,49,75.51,2
134,Charles Sims,TB,RB,37,49,75.51,1
135,Wayne Gallman,NYG,RB,35,49,71.43,1
136,Ed Dickson,CAR,TE,31,49,63.27,1
137,Marcedes Lewis,JAX,TE,25,49,51.02,5
138,Lamar Miller,HOU,RB,38,48,79.17,3
139,Jermaine Gresham,ARI,TE,35,48,72.92,3
140,Donte Moncrief,IND,WR,26,48,54.17,2
141,Matt Forte,NYJ,RB,38,47,80.85,1
142,Aldrick Robinson,SF,WR,19,47,40.43,2
143,J.D. McKissic,SEA,RB,35,46,76.09,2
144,Josh Bellamy,CHI,WR,24,46,52.17,1
145,Kamar Aiken,IND,WR,17,46,36.96,0
146,DeAndre Washington,OAK,RB,34,45,75.56,2
147,C.J. Anderson,DEN,RB,30,45,66.67,1
148,Odell Beckham Jr.,NYG,WR,26,45,57.78,3
149,Tyler Higbee,LA,TE,24,45,53.33,1
150,Cordarrelle Patterson,OAK,WR,30,44,68.18,0
151,Dontrelle Inman,CHI,WR,23,44,52.27,1
152,Josh Gordon,CLE,WR,18,44,40.91,2
153,T.J. Yeldon,JAX,RB,30,43,69.77,0
154,Kyle Juszczyk,SF,FB,33,42,78.57,1
155,Isaiah Crowell,CLE,RB,28,42,66.67,0
156,Demarcus Robinson,KC,WR,21,41,51.22,0
157,Tavarres King,NYG,WR,19,41,46.34,3
158,Greg Olsen,CAR,TE,17,41,41.46,1
159,Terrelle Pryor,WAS,WR,21,40,52.50,1
160,Devontae Booker,DEN,RB,30,39,76.92,2
161,Tevin Coleman,ATL,RB,27,39,69.23,3
162,O.J. Howard,TB,TE,26,39,66.67,7
163,Geronimo Allison,GB,WR,23,39,58.97,0
164,Chris Moore,BAL,WR,18,39,46.15,3
165,Danny Woodhead,BAL,RB,33,38,86.84,0
166,Nick Boyle,BAL,TE,28,38,73.68,0
167,Frank Gore,IND,RB,28,38,73.68,1
168,Jordan Matthews,BUF,WR,27,38,71.05,2
169,Ezekiel Elliott,DAL,RB,27,38,71.05,2
170,Eli Rogers,PIT,WR,19,38,50.00,1
171,Rex Burkhead,NE,RB,30,37,81.08,3
172,Jordan Howard,CHI,RB,27,37,72.97,0
173,Ameer Abdullah,DET,RB,26,37,70.27,1
174,Matt Breida,SF,RB,23,37,62.16,2
175,Alex Collins,BAL,RB,23,37,62.16,0
176,Laquon Treadwell,MIN,WR,20,37,54.05,0
177,Dion Lewis,NE,RB,33,36,91.67,3
178,Austin Ekeler,LAC,RB,27,36,75.00,3
179,Charcandrick West,KC,RB,27,36,75.00,2
180,Jalen Richard,OAK,RB,27,36,75.00,1
181,Demetrius Harris,KC,TE,18,36,50.00,1
182,Jordan Reed,WAS,TE,27,35,77.14,2
183,Brandon Coleman,NO,WR,23,35,65.71,3
184,Joe Mixon,CIN,RB,30,34,88.24,0
185,Rhett Ellison,NYG,TE,25,34,73.53,2
186,Chester Rogers,IND,WR,22,34,64.71,1
187,Zach Miller,CHI,TE,21,34,61.76,3
188,Lance Kendricks,GB,TE,18,34,52.94,1
189,Jamaal Williams,GB,RB,25,33,75.76,2
190,Ty Montgomery,GB,RB,24,33,72.73,2
191,Trey Burton,PHI,TE,24,33,72.73,5
192,Russell Shepard,CAR,WR,18,33,54.55,1
193,Brandon Marshall,NYG,WR,18,33,54.55,0
194,Gerald Everett,LA,TE,17,33,51.52,2
195,Breshad Perriman,BAL,WR,10,33,30.30,0
196,Bilal Powell,NYJ,RB,23,32,71.88,0
197,Chris Ivory,JAX,RB,23,32,71.88,1
198,Garrett Celek,SF,TE,21,32,65.63,4
199,Marshawn Lynch,OAK,RB,21,32,65.63,0
200,Justin Hardy,ATL,WR,21,32,65.63,3
201,Marlon Mack,IND,RB,20,32,62.50,1
202,Tyler Boyd,CIN,WR,22,31,70.97,2
203,Coby Fleener,NO,TE,22,31,70.97,2
204,Nick OLeary,BUF,TE,21,31,67.74,2
205,Cody Latimer,DEN,WR,20,31,64.52,2
206,Dion Sims,CHI,TE,15,31,48.39,1
207,Braxton Miller,HOU,WR,20,30,66.67,1
208,Kendrick Bourne,SF,WR,17,30,56.67,0
209,Jamaal Charles,DEN,RB,24,29,82.76,0
210,Jonnu Smith,TEN,TE,18,29,62.07,2
211,Damien Williams,MIA,RB,20,28,71.43,1
212,Michael Campanaro,BAL,WR,20,28,71.43,1
213,Orleans Darkwa,NYG,RB,19,28,67.86,0
214,Taywan Taylor,TEN,WR,16,28,57.14,1
215,Ricky Seals-Jones,ARI,TE,12,28,42.86,3
216,Jeremy Kerley,NYJ,WR,22,27,81.48,1
217,Jarius Wright,MIN,WR,18,27,66.67,2
218,D.J. Foster,ARI,RB,17,27,62.96,0
219,Curtis Samuel,CAR,WR,15,27,55.56,0
220,Andre Holmes,BUF,WR,15,27,55.56,3
221,Ryan Griffin,HOU,TE,14,27,51.85,1
222,Josh Reynolds,LA,WR,12,27,44.44,1
223,Benny Cunningham,CHI,RB,20,26,76.92,2
224,Darren Fells,DET,TE,17,26,65.38,4
225,Troy Niklas,ARI,TE,13,26,50.00,1
226,Brent Celek,PHI,TE,13,26,50.00,1
227,Josh Hill,NO,TE,18,25,72.00,1
228,Samaje Perine,WAS,RB,22,24,91.67,1
229,Rod Smith,DAL,RB,19,24,79.17,1
230,Brice Butler,DAL,WR,16,24,66.67,4
231,Vance McDonald,PIT,TE,15,24,62.50,1
232,Mike Williams,LAC,WR,12,24,50.00,0
233,Mack Hollins,PHI,WR,16,23,69.57,1
234,Jakeem Grant,MIA,WR,13,23,56.52,2
235,Richard Rodgers,GB,TE,13,23,56.52,1
236,Dwayne Allen,NE,TE,10,23,43.48,1
237,James OShaughnessy,JAX,TE,14,22,63.64,1
