Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,Bell,Le'Veon,Le'Veon Bell,1,439,66,RB,PIT,1
2,Brown,Antonio,Antonio Brown,1,439,68,WR,PIT,1
3,Lacy,Eddie,Eddie Lacy,1,453,68,RB,GBP,2
4,Charles,Jamaal,Jamaal Charles,1,509,67,RB,KCC,3
5,Peterson,Adrian,Adrian Peterson,1,499,68,RB,MIN,4
6,Bryant,Dez,Dez Bryant,1,359,67,WR,DAL,2
7,Jones,Julio,Julio Jones,1,424,68,WR,ATL,3
8,Gronkowski,Rob,Rob Gronkowski,1,351,69,TE,NEP,1
9,Thomas,Demaryius,Demaryius Thomas,1,359,69,WR,DEN,4
10,Lynch,Marshawn,Marshawn Lynch,1,631,68,RB,SEA,5
11,Luck,Andrew,Andrew Luck,1,459,65,QB,IND,1
12,Forte,Matt,Matt Forte,1,489,68,RB,CHI,6
13,Johnson,Calvin,Calvin Johnson,1,547,68,WR,DET,5
14,Murray,DeMarco,DeMarco Murray,1,433,68,RB,PHI,7
15,Green,A.J.,A.J. Green,1,387,70,WR,CIN,6
16,Rodgers,Aaron,Aaron Rodgers,1,523,67,QB,GBP,2
17,McCoy,LeSean,LeSean McCoy,1,513,69,RB,BUF,8
18,Beckham,Odell,Odell Beckham,1,466,67,WR,NYG,7
19,Cobb,Randall,Randall Cobb,1,456,70,WR,GBP,8
20,Gordon,Melvin,Melvin Gordon,1,885,96,RB,SDC,9
21,Anderson,C.J.,C.J. Anderson,1,496,70,RB,DEN,10
22,Hilton,T.Y.,T.Y. Hilton,1,436,70,WR,IND,9
23,Hill,Jeremy,Jeremy Hill,1,471,70,RB,CIN,11
24,Jeffery,Alshon,Alshon Jeffery,1,345,70,WR,CHI,10
25,Evans,Mike,Mike Evans,1,413,70,WR,TBB,11
26,Graham,Jimmy,Jimmy Graham,1,349,70,TE,SEA,2
27,Cooks,Brandin,Brandin Cooks,1,462,72,WR,NOS,12
28,Cooper,Amari,Amari Cooper,1,883,96,WR,OAK,13
29,Miller,Lamar,Lamar Miller,1,475,72,RB,MIA,12
30,Hopkins,DeAndre,DeAndre Hopkins,1,421,73,WR,HOU,14
31,Gurley,Todd,Todd Gurley,1,884,96,RB,STL,13
32,Sanders,Emmanuel,Emmanuel Sanders,1,338,72,WR,DEN,15
33,Forsett,Justin,Justin Forsett,1,497,71,RB,BAL,14
34,Matthews,Jordan,Jordan Matthews,1,408,72,WR,PHI,16
35,Ingram,Mark,Mark Ingram,1,463,72,RB,NOS,15
36,Gore,Frank,Frank Gore,1,479,73,RB,IND,16
37,Hyde,Carlos,Carlos Hyde,1,431,71,RB,SFO,17
38,Abdullah,Ameer,Ameer Abdullah,1,886,96,RB,DET,18
40,Morris,Alfred,Alfred Morris,1,502,72,RB,WAS,19
41,Yeldon,T.J.,T.J. Yeldon,1,887,96,RB,JAC,20
42,Wilson,Russell,Russell Wilson,1,452,70,QB,SEA,3
43,Allen,Keenan,Keenan Allen,1,362,73,WR,SDC,17
44,Tate,Golden,Golden Tate,1,380,73,WR,DET,18
45,Murray,Latavius,Latavius Murray,1,467,74,RB,OAK,21
46,Edelman,Julian,Julian Edelman,1,596,75,WR,NEP,19
47,Foster,Arian,Arian Foster,1,600,72,RB,HOU,22
48,Johnson,Andre,Andre Johnson,1,603,73,WR,IND,20
49,Watkins,Sammy,Sammy Watkins,1,465,72,WR,BUF,21
50,Manning,Peyton,Peyton Manning,1,608,68,QB,DEN,4
51,Ellington,Andre,Andre Ellington,1,481,74,RB,ARI,23
52,Olsen,Greg,Greg Olsen,1,383,75,TE,CAR,3
53,Kelce,Travis,Travis Kelce,1,467,75,TE,KCC,4
54,Maclin,Jeremy,Jeremy Maclin,1,469,74,WR,KCC,22
55,Landry,Jarvis,Jarvis Landry,1,472,75,WR,MIA,23
56,Stewart,Jonathan,Jonathan Stewart,1,450,77,RB,CAR,24
57,Agholor,Nelson,Nelson Agholor,1,888,94,WR,PHI,24
58,Brees,Drew,Drew Brees,1,515,68,QB,NOS,5
59,Marshall,Brandon,Brandon Marshall,1,307,73,WR,NYJ,25
60,Randle,Joseph,Joseph Randle,1,571,76,RB,FA*,25
61,Spiller,C.J.,C.J. Spiller,1,448,74,RB,NOS,26
63,Roethlisberger,Ben,Ben Roethlisberger,1,587,72,QB,PIT,6
64,Jackson,DeSean,DeSean Jackson,1,444,75,WR,WAS,26
65,Bryant,Martavis,Martavis Bryant,1,407,76,WR,PIT,27
66,Robinson,Allen,Allen Robinson,1,415,76,WR,JAC,28
67,Coleman,Tevin,Tevin Coleman,1,891,93,RB,ATL,27
68,Bernard,Giovani,Giovani Bernard,1,514,74,RB,CIN,28
69,Ryan,Matt,Matt Ryan,1,510,71,QB,ATL,7
70,Martin,Doug,Doug Martin,1,516,75,RB,TBB,29
71,Adams,Davante,Davante Adams,1,410,76,WR,GBP,29
73,Bennett,Martellus,Martellus Bennett,1,349,74,TE,CHI,5
76,Jackson,Vincent,Vincent Jackson,3,524,75,WR,TBB,30
77,Brady,Tom,Tom Brady,1,521,72,QB,NEP,8
78,Bell,Joique,Joique Bell,1,473,73,RB,DET,30
79,Newton,Cam,Cam Newton,1,501,72,QB,CAR,9
80,Romo,Tony,Tony Romo,1,483,71,QB,DAL,10
81,Johnson,Charles,Charles Johnson,1,621,76,WR,MIN,31
82,Wallace,Mike,Mike Wallace,3,456,74,WR,MIN,32
83,Blount,LeGarrette,LeGarrette Blount,1,500,77,RB,NEP,31
85,Stafford,Matthew,Matthew Stafford,1,522,71,QB,DET,11
89,Johnson,Duke,Duke Johnson,2,898,88,RB,CLE,32
91,Parker,DeVante,DeVante Parker,1,894,86,WR,MIA,33
93,Ivory,Chris,Chris Ivory,1,494,76,RB,NYJ,33
94,Fitzgerald,Larry,Larry Fitzgerald,2,491,77,WR,ARI,34
95,Crowell,Isaiah,Isaiah Crowell,1,478,73,RB,CLE,34
96,Thomas,Julius,Julius Thomas,1,456,72,TE,JAC,6
99,Tannehill,Ryan,Ryan Tannehill,1,526,73,QB,MIA,12
102,White,Roddy,Roddy White,2,581,73,WR,ATL,35
103,Jennings,Rashad,Rashad Jennings,3,495,74,RB,NYG,35
104,Perriman,Breshad,Breshad Perriman,2,893,82,WR,BAL,36
106,Cameron,Jordan,Jordan Cameron,1,461,73,TE,MIA,7
108,Vereen,Shane,Shane Vereen,1,418,72,RB,NYG,36
110,Brown,John,John Brown,2,471,75,WR,ARI,37
111,Cruz,Victor,Victor Cruz,2,446,74,WR,NYG,38
114,Ertz,Zach,Zach Ertz,1,471,72,TE,PHI,8
115,Witten,Jason,Jason Witten,1,386,74,TE,DAL,9
116,Floyd,Michael,Michael Floyd,3,385,71,WR,ARI,39
117,Smith,Torrey,Torrey Smith,5,392,72,WR,SFO,40
