Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,McCoy,LeSean,LeSean McCoy,1,436,74,RB,PHI,1
2,Charles,Jamaal,Jamaal Charles,1,464,74,RB,KCC,2
3,Johnson,Calvin,Calvin Johnson,1,439,76,WR,DET,1
4,Forte,Matt,Matt Forte,1,454,75,RB,CHI,3
5,Lacy,Eddie,Eddie Lacy,1,473,75,RB,GBP,4
6,Thomas,Demaryius,Demaryius Thomas,1,441,76,WR,DEN,2
7,Graham,Jimmy,Jimmy Graham,1,444,75,TE,NOS,1
8,Bryant,Dez,Dez Bryant,1,447,76,WR,DAL,3
9,Manning,Peyton,Peyton Manning,1,498,73,QB,DEN,1
10,Green,A.J.,A.J. Green,1,446,76,WR,CIN,4
11,Lynch,Marshawn,Marshawn Lynch,1,458,77,RB,SEA,5
12,Jones,Julio,Julio Jones,1,449,76,WR,ATL,5
13,Marshall,Brandon,Brandon Marshall,1,690,76,WR,CHI,6
14,Rodgers,Aaron,Aaron Rodgers,1,484,74,QB,GBP,2
15,Ball,Montee,Montee Ball,1,455,77,RB,DEN,6
16,Murray,DeMarco,DeMarco Murray,1,454,77,RB,DAL,7
17,Bernard,Giovani,Giovani Bernard,1,456,77,RB,CIN,8
18,Brees,Drew,Drew Brees,1,493,74,QB,NOS,3
19,Nelson,Jordy,Jordy Nelson,1,460,78,WR,GBP,7
20,Brown,Antonio,Antonio Brown,1,458,78,WR,PIT,8
21,Martin,Doug,Doug Martin,1,462,77,RB,TBB,9
22,Foster,Arian,Arian Foster,1,473,77,RB,HOU,10
23,Bell,Le'Veon,Le'Veon Bell,1,476,77,RB,PIT,11
24,Jeffery,Alshon,Alshon Jeffery,1,459,76,WR,CHI,9
25,Cobb,Randall,Randall Cobb,1,464,79,WR,GBP,10
26,Gronkowski,Rob,Rob Gronkowski,1,465,78,TE,NEP,2
27,Thomas,Julius,Julius Thomas,1,467,79,TE,DEN,3
28,Morris,Alfred,Alfred Morris,1,469,77,RB,WAS,12
29,Ellington,Andre,Andre Ellington,1,850,79,RB,ARI,13
30,Bush,Reggie,Reggie Bush,1,474,80,RB,DET,14
31,Allen,Keenan,Keenan Allen,1,494,79,WR,SDC,11
32,Stacy,Zac,Zac Stacy,1,603,78,RB,STL,15
33,Luck,Andrew,Andrew Luck,1,485,75,QB,IND,4
34,Stafford,Matthew,Matthew Stafford,1,472,76,QB,DET,5
35,Garcon,Pierre,Pierre Garcon,1,473,79,WR,WAS,12
36,Jackson,Vincent,Vincent Jackson,1,479,79,WR,TBB,13
37,Johnson,Andre,Andre Johnson,1,478,79,WR,HOU,14
38,Cruz,Victor,Victor Cruz,1,475,79,WR,NYG,15
39,Spiller,C.J.,C.J. Spiller,1,477,79,RB,BUF,16
40,Fitzgerald,Larry,Larry Fitzgerald,1,352,80,WR,ARI,16
41,Patterson,Cordarrelle,Cordarrelle Patterson,1,399,80,WR,MIN,17
42,White,Roddy,Roddy White,1,319,80,WR,ATL,18
43,Vereen,Shane,Shane Vereen,1,415,82,RB,NEP,17
44,Mathews,Ryan,Ryan Mathews,1,582,80,RB,SDC,18
45,Harvin,Percy,Percy Harvin,1,629,80,WR,NYJ,19
