Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,Bell,Le'Veon,Le'Veon Bell,1,193,66,RB,PIT,1
2,Elliott,Ezekiel,Ezekiel Elliott,1,186,67,RB,DAL,2
3,Johnson,David,David Johnson,1,198,65,RB,ARI,3
4,Barkley,Saquon,Saquon Barkley,1,451,95,RB,NYG,4
5,Brown,Antonio,Antonio Brown,1,222,67,WR,PIT,1
6,Gurley,Todd,Todd Gurley,1,360,68,RB,LAR,5
7,Kamara,Alvin,Alvin Kamara,1,208,63,RB,NOS,6
8,Hopkins,DeAndre,DeAndre Hopkins,1,155,67,WR,HOU,2
9,Fournette,Leonard,Leonard Fournette,1,160,67,RB,JAC,7
10,Beckham,Odell,Odell Beckham,1,262,67,WR,NYG,3
11,Hunt,Kareem,Kareem Hunt,1,198,65,RB,FA*,8
12,Gordon,Melvin,Melvin Gordon,1,194,68,RB,LAC,9
13,Cook,Dalvin,Dalvin Cook,1,219,68,RB,MIN,10
14,Jones,Julio,Julio Jones,1,190,69,WR,ATL,4
15,Thomas,Michael,Michael Thomas,1,161,68,WR,NOS,5
16,McCaffrey,Christian,Christian McCaffrey,1,156,70,RB,CAR,11
17,Adams,Davante,Davante Adams,1,175,69,WR,GBP,6
18,Allen,Keenan,Keenan Allen,1,169,70,WR,LAC,7
19,Rodgers,Aaron,Aaron Rodgers,1,288,67,QB,GBP,1
20,Gronkowski,Rob,Rob Gronkowski,1,223,71,TE,NEP,1
21,Evans,Mike,Mike Evans,1,196,71,WR,TBB,8
22,Mixon,Joe,Joe Mixon,1,191,72,RB,CIN,12
23,Hill,Tyreek,Tyreek Hill,1,189,71,WR,KCC,9
24,Kelce,Travis,Travis Kelce,1,205,72,TE,KCC,2
25,Howard,Jordan,Jordan Howard,1,198,70,RB,CHI,13
26,Diggs,Stefon,Stefon Diggs,1,254,71,WR,MIN,10
27,Hilton,T.Y.,T.Y. Hilton,1,186,74,WR,IND,11
28,McCoy,LeSean,LeSean McCoy,1,289,73,RB,BUF,14
29,Cooper,Amari,Amari Cooper,1,221,75,WR,DAL,12
30,Watson,Deshaun,Deshaun Watson,1,380,65,QB,HOU,2
31,Landry,Jarvis,Jarvis Landry,1,180,74,WR,CLE,13
32,Thielen,Adam,Adam Thielen,1,331,70,WR,MIN,14
33,Ertz,Zach,Zach Ertz,1,248,72,TE,PHI,3
34,Smith-Schuster,JuJu,JuJu Smith-Schuster,1,223,71,WR,PIT,15
35,Cooks,Brandin,Brandin Cooks,1,173,75,WR,LAR,16
36,Wilson,Russell,Russell Wilson,1,214,71,QB,SEA,3
37,Fitzgerald,Larry,Larry Fitzgerald,1,534,75,WR,ARI,17
38,Brady,Tom,Tom Brady,1,280,70,QB,NEP,4
39,Baldwin,Doug,Doug Baldwin,1,197,74,WR,SEA,18
40,Freeman,Royce,Royce Freeman,1,638,95,RB,DEN,15
41,Drake,Kenyan,Kenyan Drake,1,261,74,RB,MIA,16
42,Robinson,Allen,Allen Robinson,1,208,77,WR,CHI,19
43,Henry,Derrick,Derrick Henry,1,289,72,RB,TEN,17
44,Michel,Sony,Sony Michel,1,634,96,RB,NEP,18
45,Miller,Lamar,Lamar Miller,1,247,76,RB,HOU,19
46,Newton,Cam,Cam Newton,1,384,71,QB,CAR,5
47,Graham,Jimmy,Jimmy Graham,1,317,74,TE,GBP,4
48,Tate,Golden,Golden Tate,1,235,76,WR,PHI,20
49,Hogan,Chris,Chris Hogan,1,496,78,WR,NEP,21
50,Brees,Drew,Drew Brees,1,352,73,QB,NOS,6
51,Davis,Corey,Corey Davis,2,251,74,WR,TEN,22
52,Jeffery,Alshon,Alshon Jeffery,1,345,76,WR,PHI,23
53,Engram,Evan,Evan Engram,1,376,72,TE,NYG,5
54,Penny,Rashaad,Rashaad Penny,1,663,93,RB,SEA,20
55,Ingram,Mark,Mark Ingram,1,276,73,RB,NOS,21
56,Wentz,Carson,Carson Wentz,1,383,68,QB,PHI,7
57,Williams,Jamaal,Jamaal Williams,1,357,75,RB,GBP,22
59,Watkins,Sammy,Sammy Watkins,1,274,77,WR,KCC,24
61,Lewis,Dion,Dion Lewis,1,332,74,RB,TEN,23
62,Jones,Ronald,Ronald Jones,1,647,83,RB,TBB,24
63,Edelman,Julian,Julian Edelman,1,299,75,WR,NEP,25
64,Crabtree,Michael,Michael Crabtree,1,580,76,WR,BAL,26
65,Coleman,Tevin,Tevin Coleman,1,274,75,RB,ATL,25
66,Burkhead,Rex,Rex Burkhead,1,540,77,RB,NEP,26
68,Cousins,Kirk,Kirk Cousins,1,334,72,QB,MIN,8
69,Rudolph,Kyle,Kyle Rudolph,1,353,74,TE,MIN,6
70,Hyde,Carlos,Carlos Hyde,1,418,75,RB,JAC,27
71,Luck,Andrew,Andrew Luck,1,314,73,QB,IND,9
72,Jaguars,Jacksonville,Jacksonville Jaguars,1,286,62,Def,JAC,1
73,Burton,Trey,Trey Burton,1,300,82,TE,CHI,7
74,Goodwin,Marquise,Marquise Goodwin,1,549,74,WR,SFO,27
75,Nelson,Jordy,Jordy Nelson,1,611,76,WR,OAK,28
76,Woods,Robert,Robert Woods,2,302,76,WR,LAR,29
82,Cohen,Tarik,Tarik Cohen,1,300,73,RB,CHI,28
83,Stafford,Matthew,Matthew Stafford,1,269,72,QB,DET,10
84,Funchess,Devin,Devin Funchess,2,353,73,WR,CAR,30
85,Chubb,Nick,Nick Chubb,1,642,80,RB,CLE,29
88,Rivers,Philip,Philip Rivers,1,410,75,QB,LAC,11
90,Moore,D.J.,D.J. Moore,1,640,75,WR,CAR,31
91,Roethlisberger,Ben,Ben Roethlisberger,1,358,73,QB,PIT,12
92,Johnson,Duke,Duke Johnson,2,375,72,RB,CLE,30
94,Mack,Marlon,Marlon Mack,1,351,73,RB,IND,31
95,Ridley,Calvin,Calvin Ridley,1,643,79,WR,ATL,32
96,Rosen,Josh,Josh Rosen,1,646,34,QB,ARI,13
97,Jackson,Lamar,Lamar Jackson,1,1040,38,QB,BAL,14
98,Parker,DeVante,DeVante Parker,1,418,71,WR,MIA,33
100,Ryan,Matt,Matt Ryan,1,421,72,QB,ATL,15
101,Rams,Los Angeles,Los Angeles Rams,1,345,64,Def,LAR,2
102,Anderson,Robby,Robby Anderson,2,312,72,WR,NYJ,34
105,Goff,Jared,Jared Goff,1,358,71,QB,LAR,16
106,Peterson,Adrian,Adrian Peterson,1,827,60,RB,WAS,32
107,Crowder,Jamison,Jamison Crowder,2,374,68,WR,WAS,35
108,Chark,D.J.,D.J. Chark,2,901,25,WR,JAC,36
109,Eagles,Philadelphia,Philadelphia Eagles,1,319,64,Def,PHI,3
110,Mayfield,Baker,Baker Mayfield,1,645,48,QB,CLE,17
111,Sutton,Courtland,Courtland Sutton,1,648,49,WR,DEN,37
112,Thompson,Chris,Chris Thompson,1,379,69,RB,WAS,33
114,Mahomes,Patrick,Patrick Mahomes,1,354,71,QB,KCC,18
115,Carson,Chris,Chris Carson,1,425,72,RB,SEA,34
116,Darnold,Sam,Sam Darnold,1,647,42,QB,NYJ,19
117,Vikings,Minnesota,Minnesota Vikings,1,254,64,Def,MIN,4
118,Agholor,Nelson,Nelson Agholor,1,381,70,WR,PHI,38
120,Allen,Josh,Josh Allen,1,699,32,QB,BUF,20
121,Cobb,Randall,Randall Cobb,1,414,70,WR,GBP,39
123,Njoku,David,David Njoku,3,482,68,TE,CLE,8
124,Ballage,Kalen,Kalen Ballage,5,910,34,RB,MIA,35
125,Gallup,Michael,Michael Gallup,2,656,68,WR,DAL,40
126,Washington,James,James Washington,3,671,41,WR,PIT,41
128,Barber,Peyton,Peyton Barber,1,473,70,RB,TBB,36
129,Miller,Anthony,Anthony Miller,2,661,59,WR,CHI,42
130,Goedert,Dallas,Dallas Goedert,2,704,34,TE,PHI,9
131,St. Brown,Equanimeous,Equanimeous St. Brown,3,951,18,WR,GBP,43
133,Smith,Tre'Quan,Tre'Quan Smith,1,908,32,WR,NOS,44
134,Hamilton,DaeSean,DaeSean Hamilton,4,892,18,WR,DEN,45
135,Callaway,Antonio,Antonio Callaway,4,684,27,WR,CLE,46
136,Hines,Nyheim,Nyheim Hines,3,658,48,RB,IND,37
138,Shepard,Sterling,Sterling Shepard,1,349,67,WR,NYG,47
141,Rudolph,Mason,Mason Rudolph,8,1045,16,QB,PIT,21
142,Moore,J'Mon,J'Mon Moore,2,1051,19,WR,GBP,48
143,Tucker,Justin,Justin Tucker,1,474,66,PK,BAL,1
144,Chargers,Los Angeles,Los Angeles Chargers,1,297,65,Def,LAC,5
147,Coutee,Keke,Keke Coutee,5,681,21,WR,HOU,49
148,Walton,Mark,Mark Walton,3,696,18,RB,CIN,38
149,Stills,Kenny,Kenny Stills,1,362,70,WR,MIA,50
150,Andrews,Mark,Mark Andrews,1,860,17,TE,BAL,10
151,Gesicki,Mike,Mike Gesicki,1,711,61,TE,MIA,11
152,Hurst,Hayden,Hayden Hurst,3,669,46,TE,BAL,12
153,Cole,Keelan,Keelan Cole,1,554,56,WR,JAC,51
154,Morris,Alfred,Alfred Morris,1,1032,28,RB,SFO,39
156,White,James,James White,2,406,68,RB,NEP,40
159,Gostkowski,Stephen,Stephen Gostkowski,1,601,65,PK,NEP,2
160,Prescott,Dak,Dak Prescott,1,356,64,QB,DAL,22
163,Zuerlein,Greg,Greg Zuerlein,1,511,67,PK,LAR,3
164,Mariota,Marcus,Marcus Mariota,1,499,62,QB,TEN,23
165,Wilkins,Jordan,Jordan Wilkins,1,693,53,RB,IND,41
166,Ravens,Baltimore,Baltimore Ravens,1,271,64,Def,BAL,6
167,Thomas,Ian,Ian Thomas,1,715,13,TE,CAR,13
168,Williams,Mike,Mike Williams,4,436,57,WR,LAC,52
169,Kittle,George,George Kittle,1,429,63,TE,SFO,14
170,Samuels,Jaylen,Jaylen Samuels,10,923,18,RB,PIT,42
171,Benjamin,Kelvin,Kelvin Benjamin,3,625,62,WR,KCC,53
172,Jackson,Justin,Justin Jackson,1,1053,17,RB,LAC,43
173,Scarbrough,Bo,Bo Scarbrough,2,718,15,RB,SEA,44
174,Carr,Derek,Derek Carr,1,379,60,QB,OAK,24
175,Texans,Houston,Houston Texans,1,376,60,Def,HOU,7
176,Kelly,John,John Kelly,1,940,31,RB,LAR,45
177,Edmonds,Chase,Chase Edmonds,5,687,31,RB,ARI,46
178,Bernard,Giovani,Giovani Bernard,1,462,63,RB,CIN,47
179,Anderson,C.J.,C.J. Anderson,4,407,61,RB,LAR,48
180,Broncos,Denver,Denver Broncos,1,306,61,Def,DEN,8
182,Panthers,Carolina,Carolina Panthers,1,347,58,Def,CAR,9
183,Booker,Devontae,Devontae Booker,2,417,62,RB,DEN,49
185,Winston,Jameis,Jameis Winston,1,404,40,QB,TBB,25
187,Golladay,Kenny,Kenny Golladay,4,474,53,WR,DET,54
190,Murray,Latavius,Latavius Murray,4,440,63,RB,MIN,50
191,Butker,Harrison,Harrison Butker,1,573,66,PK,KCC,4
192,Doctson,Josh,Josh Doctson,5,548,54,WR,WAS,55
193,Saints,New Orleans,New Orleans Saints,1,317,59,Def,NOS,10
196,Montgomery,Ty,Ty Montgomery,3,454,52,RB,BAL,51
197,Trubisky,Mitchell,Mitchell Trubisky,1,462,39,QB,CHI,26
199,Lutz,Wil,Wil Lutz,1,618,66,PK,NOS,5
200,Lockett,Tyler,Tyler Lockett,2,455,51,WR,SEA,56
201,Adams,Josh,Josh Adams,4,1058,11,RB,PHI,52
202,Lasley,Jordan,Jordan Lasley,15,1065,9,WR,BAL,57
203,Ginn Jr.,Ted,Ted Ginn Jr.,1,710,57,WR,NOS,58
205,Fountain,Daurice,Daurice Fountain,4,971,9,WR,IND,59
206,Aguayo,Roberto,Roberto Aguayo,3,846,9,PK,FA,6
207,Bears,Chicago,Chicago Bears,1,359,38,Def,CHI,11
209,Lauletta,Kyle,Kyle Lauletta,3,1015,8,QB,NYG,27
210,Bortles,Blake,Blake Bortles,1,503,45,QB,JAC,28
211,Schultz,Dalton,Dalton Schultz,8,1066,8,TE,DAL,15
212,Tate,Auden,Auden Tate,5,1052,9,WR,CIN,60
213,Sanu,Mohamed,Mohamed Sanu,2,568,56,WR,ATL,61
215,McDonald,Vance,Vance McDonald,2,588,46,TE,PIT,16
216,Boswell,Chris,Chris Boswell,1,631,61,PK,PIT,7
218,Steelers,Pittsburgh,Pittsburgh Steelers,1,362,49,Def,PIT,12
219,Keenum,Case,Case Keenum,1,546,35,QB,DEN,29
220,Foreman,D'Onta,D'Onta Foreman,1,643,32,RB,HOU,53
221,Bryant,Matt,Matt Bryant,1,619,61,PK,ATL,8
222,Godwin,Chris,Chris Godwin,1,472,37,WR,TBB,62
225,Manning,Eli,Eli Manning,1,528,42,QB,NYG,30
226,Elliott,Jake,Jake Elliott,1,629,62,PK,PHI,9
227,Ebron,Eric,Eric Ebron,1,519,46,TE,IND,17
229,Patriots,New England,New England Patriots,4,390,38,Def,NEP,13
230,Gould,Robbie,Robbie Gould,1,712,57,PK,SFO,10
231,Conner,James,James Conner,1,601,41,RB,PIT,54
232,Jackson,DeSean,DeSean Jackson,1,576,51,WR,TBB,63
236,Cook,Jared,Jared Cook,3,557,48,TE,OAK,18
237,Santos,Cairo,Cairo Santos,8,901,9,PK,TBB,11
238,Bailey,Dan,Dan Bailey,1,726,33,PK,MIN,12
239,Ross,John,John Ross,1,533,40,WR,CIN,64
240,Williams,Tyrell,Tyrell Williams,1,490,45,WR,LAC,65
243,Watson,Justin,Justin Watson,8,1046,7,WR,TBB,66
245,Akins,Jordan,Jordan Akins,9,761,10,TE,HOU,19
248,Tannehill,Ryan,Ryan Tannehill,1,539,20,QB,MIA,31
250,Chiefs,Kansas City,Kansas City Chiefs,5,465,33,Def,KCC,14
251,Seahawks,Seattle,Seattle Seahawks,1,384,29,Def,SEA,15
252,Allen,Javorius,Javorius Allen,2,536,44,RB,BAL,55
253,Prater,Matt,Matt Prater,1,652,52,PK,DET,13
255,Riddick,Theo,Theo Riddick,5,516,36,RB,DET,56
256,Taylor,Tyrod,Tyrod Taylor,4,980,24,QB,CLE,32
258,Brown,John,John Brown,2,581,37,WR,BAL,67
259,Valdes-Scantling,Marquez,Marquez Valdes-Scantling,3,755,9,WR,GBP,68
260,Yeldon,T.J.,T.J. Yeldon,1,501,38,RB,JAC,57
261,Ekeler,Austin,Austin Ekeler,2,551,35,RB,LAC,58
262,Seals-Jones,Ricky,Ricky Seals-Jones,3,526,29,TE,ARI,20
263,Brate,Cameron,Cameron Brate,3,512,33,TE,TBB,21
265,Martin,Doug,Doug Martin,2,590,38,RB,OAK,59
266,Carlson,Daniel,Daniel Carlson,1,712,22,PK,OAK,14
267,Westbrook,Dede,Dede Westbrook,1,494,31,WR,JAC,69
268,Scott,Boston,Boston Scott,10,691,10,RB,PHI,60
269,Blount,LeGarrette,LeGarrette Blount,3,602,35,RB,DET,61
270,James,Richie,Richie James,11,952,6,WR,SFO,70
271,Flacco,Joe,Joe Flacco,1,644,19,QB,BAL,33
272,Clay,Charles,Charles Clay,5,450,36,TE,BUF,22
273,Ware,Spencer,Spencer Ware,2,574,37,RB,KCC,62
274,Vinatieri,Adam,Adam Vinatieri,1,736,30,PK,IND,15
275,Hooper,Austin,Austin Hooper,2,521,29,TE,ATL,23
276,Gates,Antonio,Antonio Gates,3,900,16,TE,LAC,24
278,Wadley,Akrum,Akrum Wadley,7,941,6,RB,FA,63
279,Cowboys,Dallas,Dallas Cowboys,1,468,10,Def,DAL,16
280,Crosby,Mason,Mason Crosby,1,724,32,PK,GBP,16
281,Cardinals,Arizona,Arizona Cardinals,14,419,17,Def,ARI,17
282,Titans,Tennessee,Tennessee Titans,6,417,17,Def,TEN,18
285,Watson,Ben,Ben Watson,3,655,27,TE,NOS,25
286,Falcons,Atlanta,Atlanta Falcons,9,422,14,Def,ATL,19
288,Browns,Cleveland,Cleveland Browns,11,405,10,Def,CLE,20
289,Packers,Green Bay,Green Bay Packers,10,425,13,Def,GBP,21
291,Bradford,Sam,Sam Bradford,1,1002,15,QB,FA,34
292,Bills,Buffalo,Buffalo Bills,1,367,14,Def,BUF,22
293,Lions,Detroit,Detroit Lions,1,404,20,Def,DET,23
296,49ers,San Francisco,San Francisco 49ers,3,405,8,Def,SFO,24
297,Janikowski,Sebastian,Sebastian Janikowski,14,651,10,PK,SEA,17
298,Ivory,Chris,Chris Ivory,3,652,29,RB,BUF,64
299,Dixon,Kenneth,Kenneth Dixon,1,568,17,RB,BAL,65
300,Amendola,Danny,Danny Amendola,5,746,30,WR,MIA,71
301,Moncrief,Donte,Donte Moncrief,5,561,26,WR,JAC,72
302,Jarwin,Blake,Blake Jarwin,1,862,8,TE,DAL,26
303,Herndon,Chris,Chris Herndon,7,1062,5,TE,NYJ,27
304,McManus,Brandon,Brandon McManus,15,839,15,PK,DEN,18
305,Foles,Nick,Nick Foles,3,985,14,QB,PHI,35
306,Willson,Luke,Luke Willson,1,752,13,TE,DET,28
307,Vannett,Nick,Nick Vannett,5,653,15,TE,SEA,29
308,Hauschka,Steven,Steven Hauschka,5,816,12,PK,BUF,19
309,Matthews,Jordan,Jordan Matthews,6,660,7,WR,PHI,73
310,Grant,Ryan,Ryan Grant,4,596,19,WR,IND,74
311,Redskins,Washington,Washington Redskins,17,426,9,Def,WAS,25
312,Succop,Ryan,Ryan Succop,17,731,17,PK,TEN,20
314,Fairbairn,Ka'imi,Ka'imi Fairbairn,14,769,7,PK,HOU,21
315,Perine,Samaje,Samaje Perine,7,1042,19,RB,WAS,66
316,Taylor,Taywan,Taywan Taylor,5,611,18,WR,TEN,75
317,Beasley,Cole,Cole Beasley,2,653,21,WR,DAL,76
318,Bengals,Cincinnati,Cincinnati Bengals,22,420,7,Def,CIN,26
