Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,Bell,Le'Veon,Le'Veon Bell,1,469,76,RB,PIT,1
2,Brown,Antonio,Antonio Brown,1,433,77,WR,PIT,1
3,Jones,Julio,Julio Jones,1,438,77,WR,ATL,2
4,Evans,Mike,Mike Evans,1,425,72,WR,TBB,3
5,Green,A.J.,A.J. Green,1,395,72,WR,CIN,4
6,Elliott,Ezekiel,Ezekiel Elliott,1,448,71,RB,DAL,2
7,McCoy,LeSean,LeSean McCoy,1,442,76,RB,BUF,3
8,Gordon,Melvin,Melvin Gordon,1,571,72,RB,LAC,4
9,Freeman,Devonta,Devonta Freeman,1,532,77,RB,ATL,5
10,Nelson,Jordy,Jordy Nelson,1,369,72,WR,GBP,5
11,Fournette,Leonard,Leonard Fournette,1,541,98,RB,JAC,6
12,Cooper,Amari,Amari Cooper,1,432,73,WR,OAK,6
13,Thomas,Michael,Michael Thomas,1,392,78,WR,NOS,7
14,Gurley,Todd,Todd Gurley,1,447,78,RB,LAR,7
15,Gronkowski,Rob,Rob Gronkowski,1,353,78,TE,NEP,1
16,Bryant,Dez,Dez Bryant,1,485,73,WR,DAL,8
17,Murray,DeMarco,DeMarco Murray,1,436,74,RB,TEN,8
18,Ajayi,Jay,Jay Ajayi,1,573,77,RB,PHI,9
19,Howard,Jordan,Jordan Howard,1,449,72,RB,CHI,10
20,Hilton,T.Y.,T.Y. Hilton,1,386,74,WR,IND,9
21,Cooks,Brandin,Brandin Cooks,1,389,79,WR,NEP,10
22,McCaffrey,Christian,Christian McCaffrey,1,542,98,RB,CAR,11
23,Hopkins,DeAndre,DeAndre Hopkins,1,364,74,WR,HOU,11
24,Baldwin,Doug,Doug Baldwin,1,528,74,WR,SEA,12
25,Brady,Tom,Tom Brady,1,491,76,QB,NEP,1
26,Miller,Lamar,Lamar Miller,1,450,74,RB,HOU,12
27,Mixon,Joe,Joe Mixon,1,544,94,RB,CIN,13
28,Kelce,Travis,Travis Kelce,1,535,79,TE,KCC,2
29,Thomas,Demaryius,Demaryius Thomas,1,502,75,WR,DEN,13
30,Allen,Keenan,Keenan Allen,1,532,75,WR,LAC,14
