Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,Brown,Antonio,Antonio Brown,1,436,73,WR,PIT,1
2,Elliott,Ezekiel,Ezekiel Elliott,1,743,98,RB,DAL,1
3,Jones,Julio,Julio Jones,1,367,73,WR,ATL,2
4,Gurley,Todd,Todd Gurley,1,830,70,RB,RAM,2
5,Beckham,Odell,Odell Beckham,1,363,73,WR,NYG,3
6,Green,A.J.,A.J. Green,1,368,72,WR,CIN,4
7,Hopkins,DeAndre,DeAndre Hopkins,1,397,73,WR,HOU,5
8,Bell,Le'Veon,Le'Veon Bell,1,457,74,RB,PIT,3
9,Peterson,Adrian,Adrian Peterson,1,832,71,RB,MIN,4
10,Bryant,Dez,Dez Bryant,1,433,74,WR,DAL,6
11,Johnson,David,David Johnson,1,425,71,RB,ARI,5
12,Miller,Lamar,Lamar Miller,1,447,75,RB,HOU,6
13,Robinson,Allen,Allen Robinson,1,481,72,WR,JAC,7
14,Allen,Keenan,Keenan Allen,1,373,74,WR,SDC,8
15,Evans,Mike,Mike Evans,1,697,73,WR,TBB,9
16,Freeman,Devonta,Devonta Freeman,1,458,74,RB,ATL,7
17,Cooper,Amari,Amari Cooper,1,464,75,WR,OAK,10
18,Marshall,Brandon,Brandon Marshall,1,376,73,WR,NYJ,11
19,Charles,Jamaal,Jamaal Charles,1,493,73,RB,KCC,8
20,Nelson,Jordy,Jordy Nelson,1,345,75,WR,GBP,12
21,Jeffery,Alshon,Alshon Jeffery,1,383,74,WR,CHI,13
22,Lacy,Eddie,Eddie Lacy,1,428,73,RB,GBP,9
23,Cooks,Brandin,Brandin Cooks,1,534,74,WR,NOS,14
24,Ingram,Mark,Mark Ingram,1,455,74,RB,NOS,10
25,Hilton,T.Y.,T.Y. Hilton,1,356,75,WR,IND,15
26,McCoy,LeSean,LeSean McCoy,1,419,74,RB,BUF,11
27,Newton,Cam,Cam Newton,1,476,70,QB,CAR,1
28,Watkins,Sammy,Sammy Watkins,1,840,74,WR,BUF,16
29,Rodgers,Aaron,Aaron Rodgers,1,481,72,QB,GBP,2
30,Thomas,Demaryius,Demaryius Thomas,1,357,74,WR,DEN,17
31,Landry,Jarvis,Jarvis Landry,1,460,77,WR,MIA,18
32,Cobb,Randall,Randall Cobb,1,403,77,WR,GBP,19
33,Anderson,C.J.,C.J. Anderson,1,460,75,RB,DEN,12
34,Reed,Jordan,Jordan Reed,1,372,75,TE,WAS,1
35,Edelman,Julian,Julian Edelman,1,381,78,WR,NEP,20
36,Hyde,Carlos,Carlos Hyde,1,424,75,RB,SFO,13
37,Benjamin,Kelvin,Kelvin Benjamin,1,394,75,WR,CAR,21
38,Forte,Matt,Matt Forte,1,747,75,RB,NYJ,14
39,Rawls,Thomas,Thomas Rawls,1,499,77,RB,SEA,15
40,Luck,Andrew,Andrew Luck,1,486,71,QB,IND,3
41,Tate,Golden,Golden Tate,1,393,79,WR,DET,22
42,Wilson,Russell,Russell Wilson,1,475,74,QB,SEA,4
43,Murray,Latavius,Latavius Murray,1,465,77,RB,OAK,16
44,Maclin,Jeremy,Jeremy Maclin,2,458,78,WR,KCC,23
45,Olsen,Greg,Greg Olsen,1,318,75,TE,CAR,2
46,Moncrief,Donte,Donte Moncrief,2,355,77,WR,IND,24
47,Baldwin,Doug,Doug Baldwin,1,400,79,WR,SEA,25
48,Murray,DeMarco,DeMarco Murray,1,431,75,RB,TEN,17
49,Decker,Eric,Eric Decker,1,614,76,WR,NYJ,26
50,Floyd,Michael,Michael Floyd,1,383,79,WR,NEP,27
52,Brees,Drew,Drew Brees,1,479,73,QB,NOS,5
53,Hill,Jeremy,Jeremy Hill,1,443,75,RB,CIN,18
56,Fitzgerald,Larry,Larry Fitzgerald,2,724,77,WR,ARI,28
58,Kelce,Travis,Travis Kelce,2,348,78,TE,KCC,3
59,Matthews,Jordan,Jordan Matthews,2,426,76,WR,PHI,29
60,Langford,Jeremy,Jeremy Langford,1,501,75,RB,CHI,19
61,Roethlisberger,Ben,Ben Roethlisberger,1,476,76,QB,PIT,6
63,Stewart,Jonathan,Jonathan Stewart,1,437,77,RB,CAR,20
64,Johnson,Duke,Duke Johnson,2,433,76,RB,CLE,21
65,Gordon,Melvin,Melvin Gordon,1,461,75,RB,SDC,22
66,Mathews,Ryan,Ryan Mathews,1,425,77,RB,PHI,23
68,Sanders,Emmanuel,Emmanuel Sanders,1,353,76,WR,DEN,30
69,Bernard,Giovani,Giovani Bernard,1,453,76,RB,CIN,24
70,Shepard,Sterling,Sterling Shepard,1,747,96,WR,NYG,31
72,Hurns,Allen,Allen Hurns,1,461,76,WR,JAC,32
73,Brady,Tom,Tom Brady,1,496,75,QB,NEP,7
74,Jones,Matt,Matt Jones,2,441,76,RB,WAS,25
75,Walker,Delanie,Delanie Walker,2,397,76,TE,TEN,4
76,Lockett,Tyler,Tyler Lockett,2,442,76,WR,SEA,33
77,Woodhead,Danny,Danny Woodhead,1,389,77,RB,SDC,26
78,Fleener,Coby,Coby Fleener,1,726,79,TE,NOS,5
80,Brown,John,John Brown,1,522,76,WR,ARI,34
81,Henry,Derrick,Derrick Henry,1,750,94,RB,TEN,27
83,Parker,DeVante,DeVante Parker,1,443,74,WR,MIA,35
84,Coleman,Corey,Corey Coleman,1,745,88,WR,CLE,36
85,Jones,Marvin,Marvin Jones,1,408,78,WR,DET,37
90,Jackson,DeSean,DeSean Jackson,1,423,77,WR,WAS,38
92,Crabtree,Michael,Michael Crabtree,2,497,78,WR,OAK,39
95,Foster,Arian,Arian Foster,1,748,77,RB,FA,28
96,Lewis,Dion,Dion Lewis,2,830,59,RB,NEP,29
97,Gore,Frank,Frank Gore,1,475,77,RB,IND,30
99,Abdullah,Ameer,Ameer Abdullah,1,461,75,RB,DET,31
101,Palmer,Carson,Carson Palmer,1,483,75,QB,ARI,8
103,White,Kevin,Kevin White,2,373,73,WR,CHI,40
105,Bortles,Blake,Blake Bortles,1,495,74,QB,JAC,9
106,Eifert,Tyler,Tyler Eifert,3,676,74,TE,CIN,6
108,Treadwell,Laquon,Laquon Treadwell,1,744,81,WR,MIN,41
109,Williams,DeAngelo,DeAngelo Williams,1,689,79,RB,PIT,32
110,Yeldon,T.J.,T.J. Yeldon,2,384,74,RB,JAC,33
111,Thomas,Michael,Michael Thomas,1,748,84,WR,NOS,42
112,Barnidge,Gary,Gary Barnidge,1,512,75,TE,CLE,7
113,Manning,Eli,Eli Manning,1,468,77,QB,NYG,10
114,Ertz,Zach,Zach Ertz,2,693,74,TE,PHI,8
115,Jennings,Rashad,Rashad Jennings,1,482,79,RB,NYG,34
116,Thomas,Julius,Julius Thomas,1,454,75,TE,JAC,9
118,Diggs,Stefon,Stefon Diggs,2,631,74,WR,MIN,43
119,Ajayi,Jay,Jay Ajayi,2,450,74,RB,MIA,35
120,Snead,Willie,Willie Snead,6,428,73,WR,NOS,44
121,Rivers,Philip,Philip Rivers,1,474,75,QB,SDC,11
122,Ivory,Chris,Chris Ivory,1,486,75,RB,JAC,36
123,Garrett,Keyarris,Keyarris Garrett,1,1002,12,WR,CAR,45
127,Thomas,Mike,Mike Thomas,2,780,19,WR,RAM,46
129,Gostkowski,Stephen,Stephen Gostkowski,1,631,51,PK,NEP,1
130,Sims,Charles,Charles Sims,1,433,71,RB,TBB,37
131,Hill,Tyreek,Tyreek Hill,3,900,5,WR,KCC,47
133,Austin,Tavon,Tavon Austin,2,435,73,WR,RAM,48
134,Higgins,Rashard,Rashard Higgins,3,894,17,WR,CLE,49
135,Payton,Jordan,Jordan Payton,1,1013,10,WR,CLE,50
138,Broncos,Denver,Denver Broncos,2,476,69,Def,DEN,1
140,Hackenberg,Christian,Christian Hackenberg,5,938,11,QB,NYJ,12
141,Boehringer,Moritz,Moritz Boehringer,5,859,10,WR,FA,51
142,Peake,Charone,Charone Peake,2,811,10,WR,NYJ,52
143,Doctson,Josh,Josh Doctson,1,746,66,WR,WAS,53
145,Cooper,Pharoh,Pharoh Cooper,2,764,26,WR,RAM,54
146,Prosise,C.J.,C.J. Prosise,2,751,67,RB,SEA,38
147,Jones,Cardale,Cardale Jones,7,1016,12,QB,BUF,13
148,Gates,Antonio,Antonio Gates,2,795,74,TE,SDC,10
149,Dixon,Kenneth,Kenneth Dixon,2,752,69,RB,BAL,39
150,Forsett,Justin,Justin Forsett,2,922,71,RB,DEN,40
152,Collins,Alex,Alex Collins,1,800,24,RB,SEA,41
153,Booker,Devontae,Devontae Booker,1,754,82,RB,DEN,42
155,Winston,Jameis,Jameis Winston,1,465,73,QB,TBB,14
156,Smith,Torrey,Torrey Smith,1,562,68,WR,SFO,55
158,Lynch,Paxton,Paxton Lynch,1,766,34,QB,DEN,15
160,Cousins,Kirk,Kirk Cousins,1,544,75,QB,WAS,16
161,Benjamin,Travis,Travis Benjamin,1,489,69,WR,SDC,56
162,Williams,Jonathan,Jonathan Williams,3,818,26,RB,BUF,43
163,Lasco,Daniel,Daniel Lasco,1,771,13,RB,NOS,44
164,Seahawks,Seattle,Seattle Seahawks,3,469,71,Def,SEA,2
166,Robinson,Demarcus,Demarcus Robinson,1,953,10,WR,KCC,57
167,Cardinals,Arizona,Arizona Cardinals,3,411,69,Def,ARI,3
168,Hooper,Austin,Austin Hooper,3,770,30,TE,ATL,11
169,Fuller,Will,Will Fuller,1,753,79,WR,HOU,58
170,Moore,Chris,Chris Moore,9,815,10,WR,BAL,59
171,Riddick,Theo,Theo Riddick,1,451,67,RB,DET,45
172,Wheaton,Markus,Markus Wheaton,1,626,71,WR,PIT,60
173,Washington,DeAndre,DeAndre Washington,1,772,79,RB,OAK,46
174,Bennett,Martellus,Martellus Bennett,2,516,75,TE,NEP,12
175,Boyd,Tyler,Tyler Boyd,2,749,75,WR,CIN,61
177,Allen,Dwayne,Dwayne Allen,2,529,73,TE,IND,13
178,Graham,Jimmy,Jimmy Graham,2,389,76,TE,SEA,14
180,Mitchell,Malcolm,Malcolm Mitchell,1,759,36,WR,NEP,62
181,Crowell,Isaiah,Isaiah Crowell,2,560,71,RB,CLE,47
182,Wentz,Carson,Carson Wentz,1,829,39,QB,PHI,17
183,Drake,Kenyan,Kenyan Drake,2,765,34,RB,MIA,48
184,Funchess,Devin,Devin Funchess,1,769,70,WR,CAR,63
185,Blount,LeGarrette,LeGarrette Blount,1,597,77,RB,NEP,49
186,Stafford,Matthew,Matthew Stafford,1,454,75,QB,DET,18
187,Carroo,Leonte,Leonte Carroo,2,758,34,WR,MIA,64
188,Kessler,Cody,Cody Kessler,9,830,6,QB,CLE,19
190,Louis,Ricardo,Ricardo Louis,1,822,8,WR,CLE,65
