"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","103","150","1,336","13.0","43","18","10","0","0","0","1","16","243.1","15.2","100.0%"
"2","Zach Ertz (PHI)","116","156","1,163","10.0","34","13","8","0","0","0","0","16","222.3","13.9","62.4%"
"3","George Kittle (SF)","88","135","1,377","15.6","85","20","5","1","10","0","0","16","214.7","13.4","72.8%"
"4","Eric Ebron (PIT)","66","110","750","11.4","53","7","13","3","-8","1","1","16","189.2","11.8","82.8%"
"5","Jared Cook (NO)","68","101","896","13.2","45","15","6","0","0","0","0","16","159.6","10.0","60.2%"
"6","Austin Hooper (CLE)","71","88","660","9.3","36","7","4","0","0","0","0","16","127.5","8.0","65.8%"
"7","Trey Burton (IND)","54","76","569","10.5","47","7","6","1","2","0","1","16","120.1","7.5","30.5%"
"8","Kyle Rudolph (MIN)","64","82","634","9.9","44","6","4","0","0","0","0","16","119.4","7.5","26.2%"
"9","David Njoku (CLE)","56","88","639","11.4","66","9","4","0","0","0","0","16","115.9","7.2","0.9%"
"10","Vance McDonald (PIT)","50","72","610","12.2","75","6","4","0","0","0","1","15","108.0","7.2","0.2%"
"11","Rob Gronkowski (TB)","47","72","682","14.5","42","8","3","0","0","0","1","13","107.7","8.3","91.0%"
"12","Evan Engram (NYG)","45","64","577","12.8","54","8","3","3","36","0","0","11","103.8","9.4","87.6%"
"13","O.J. Howard (TB)","34","48","565","16.6","75","11","5","0","0","0","0","10","103.5","10.4","2.6%"
"14","Jimmy Graham (CHI)","55","90","636","11.6","54","7","2","0","0","0","0","16","103.1","6.4","39.8%"
"15","Chris Herndon IV (NYJ)","39","56","502","12.9","32","9","4","0","0","0","0","16","93.7","5.9","10.1%"
"16","Jordan Reed (SF)","54","84","558","10.3","34","7","2","0","0","0","1","13","92.8","7.1","20.4%"
"17","Mark Andrews (BAL)","34","50","552","16.2","74","8","3","0","0","0","0","16","90.2","5.6","96.5%"
"18","C.J. Uzomah (CIN)","43","66","439","10.2","29","6","3","0","0","0","0","16","83.4","5.2","0.2%"
"19","Cameron Brate (TB)","30","49","289","9.6","21","2","6","0","0","0","1","16","77.9","4.9","1.1%"
"20","Dallas Goedert (PHI)","33","42","334","10.1","32","5","4","0","0","0","0","16","73.9","4.6","83.5%"
"21","Gerald Everett (LAR)","33","50","320","9.7","40","4","3","2","16","0","0","16","70.1","4.4","4.6%"
"22","Benjamin Watson (FA)","35","46","400","11.4","32","6","2","0","0","0","0","16","69.5","4.3","2.8%"
"23","Jesse James (DET)","30","39","423","14.1","51","8","2","0","0","0","0","16","69.3","4.3","0.1%"
"24","Greg Olsen (SEA)","27","38","291","10.8","23","2","4","0","0","0","0","9","66.6","7.4","7.3%"
"25","Ian Thomas (CAR)","36","49","333","9.3","31","4","2","0","0","0","0","16","63.3","4.0","3.3%"
"26","Vernon Davis (FA)","25","36","367","14.7","53","8","2","0","0","0","0","14","63.2","4.5","1.6%"
"27","Blake Jarwin (DAL)","27","36","307","11.4","39","3","3","0","0","0","0","16","62.2","3.9","6.7%"
"28","Antonio Gates (FA)","28","45","333","11.9","27","5","2","0","0","0","1","16","61.3","3.8","0.2%"
"29","Nick Vannett (DEN)","29","43","269","9.3","32","1","3","0","0","0","0","15","59.4","4.0","0.0%"
"30","Ricky Seals-Jones (KC)","34","70","343","10.1","40","5","1","0","0","0","0","15","57.3","3.8","0.0%"
"31","Jeff Heuerman (FA)","31","48","281","9.1","36","2","2","0","0","0","0","11","55.6","5.1","0.0%"
"32","Jonnu Smith (TEN)","20","30","258","12.9","61","3","3","0","0","0","0","13","53.8","4.1","68.4%"
"33","Tyler Higbee (LAR)","24","33","292","12.2","36","3","2","0","0","0","0","16","53.2","3.3","45.9%"
"34","Jordan Thomas (NE)","20","27","215","10.8","39","2","4","0","0","0","0","16","52.3","3.3","0.0%"
"35","Rhett Ellison (FA)","25","35","272","10.9","29","2","1","0","0","0","0","14","47.7","3.4","0.0%"
"36","Jack Doyle (IND)","26","33","245","9.4","20","1","2","0","0","0","1","6","47.5","7.9","5.6%"
"37","Geoff Swaim (TEN)","26","32","242","9.3","43","3","1","0","0","0","0","9","43.2","4.8","0.0%"
"38","Matt LaCosse (NE)","24","37","250","10.4","44","1","1","0","0","0","0","15","43.0","2.9","0.0%"
"39","Levine Toilolo (NYG)","21","24","263","12.5","39","2","1","0","0","0","0","16","42.8","2.7","0.0%"
"40","Ryan Griffin (NYJ)","24","43","305","12.7","47","3","0","0","0","0","0","14","42.5","3.0","0.1%"
"41","Demetrius Harris (CHI)","12","25","164","13.7","35","2","3","0","0","0","0","15","40.4","2.7","0.0%"
"42","Ed Dickson (FA)","12","13","143","11.9","42","2","3","1","9","0","0","10","39.2","3.9","0.0%"
"43","Jason Croom (PHI)","22","35","259","11.8","26","5","1","0","0","0","2","15","38.9","2.6","0.0%"
"44","Virgil Green (LAC)","19","27","210","11.1","26","5","1","0","0","0","0","16","36.5","2.3","0.0%"
"45","Luke Stocker (ATL)","15","21","165","11.0","31","2","2","1","0","0","0","16","36.0","2.3","0.0%"
"46","Darren Fells (HOU)","11","12","117","10.6","49","1","3","0","0","0","0","16","35.2","2.2","2.0%"
"47","James O'Shaughnessy (JAC)","24","38","214","8.9","17","0","0","0","0","0","0","14","33.4","2.4","0.1%"
"48","Nick Boyle (BAL)","23","37","213","9.3","25","1","0","0","0","0","0","16","32.8","2.1","0.2%"
"49","Josh Hill (NO)","16","24","185","11.6","23","4","1","0","0","0","0","16","32.5","2.0","0.1%"
"50","Michael Roberts (FA)","9","20","100","11.1","29","1","3","0","0","0","0","8","32.5","4.1","0.0%"
"51","Lance Kendricks (FA)","19","26","170","8.9","22","2","1","0","0","0","0","16","32.5","2.0","0.0%"
"52","Will Dissly (SEA)","8","14","156","19.5","66","3","2","0","0","0","0","4","31.6","7.9","2.3%"
"53","Tyler Eifert (JAC)","15","19","179","11.9","29","2","1","0","0","0","0","4","31.4","7.9","4.5%"
"54","Jordan Akins (HOU)","17","25","225","13.2","28","3","0","0","0","0","0","16","31.0","1.9","5.0%"
"55","Erik Swoope (FA)","8","10","87","10.9","26","1","3","0","0","0","0","7","30.7","4.4","0.0%"
"56","Lee Smith (BUF)","10","11","73","7.3","30","1","3","0","0","0","0","16","30.3","1.9","0.0%"
"57","Mike Gesicki (MIA)","22","32","202","9.2","27","1","0","0","0","0","1","16","29.2","1.8","68.5%"
"58","Maxx Williams (ARI)","16","17","143","8.9","25","3","1","3","8","0","0","13","29.1","2.2","0.0%"
"59","Mo Alie-Cox (IND)","7","14","133","19.0","34","4","2","0","0","0","0","9","28.8","3.2","2.0%"
"60","Hayden Hurst (ATL)","13","23","163","12.5","32","3","1","1","0","0","0","12","28.8","2.4","74.9%"
"61","Charles Clay (FA)","21","36","184","8.8","21","2","0","0","0","0","1","13","26.9","2.1","0.0%"
"62","Jordan Leggett (DEN)","14","25","114","8.1","16","0","1","0","0","0","0","15","24.4","1.6","0.0%"
"63","Garrett Celek (FA)","5","8","90","18.0","41","2","2","0","0","0","0","15","23.5","1.6","0.0%"
"64","MyCole Pruitt (TEN)","9","11","102","11.3","27","1","1","0","0","0","0","15","20.7","1.4","0.0%"
