"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Todd Gurley II (ATL)","256","1,251","4.9","36","11","17","59","81","580","9.8","4","1","14","342.6","24.5","96.8%"
"2","Saquon Barkley (NYG)","261","1,307","5.0","78","16","11","91","121","721","7.9","4","0","16","340.3","21.3","24.2%"
"3","Christian McCaffrey (CAR)","219","1,098","5.0","59","6","7","107","124","867","8.1","6","1","16","332.0","20.8","99.5%"
"4","Alvin Kamara (NO)","194","883","4.6","49","1","14","81","105","709","8.8","4","0","15","313.7","20.9","100.0%"
"5","Ezekiel Elliott (DAL)","304","1,435","4.7","41","11","6","77","95","567","7.4","3","1","15","290.7","19.4","99.2%"
"6","James Conner (PIT)","215","973","4.5","30","9","12","55","71","497","9.0","1","2","13","252.5","19.4","97.2%"
"7","Melvin Gordon III (DEN)","175","885","5.1","34","9","10","50","66","490","9.8","4","0","12","250.5","20.9","91.6%"
"8","James White (NE)","94","425","4.5","27","5","5","87","123","751","8.6","7","0","16","233.1","14.6","61.8%"
"9","Joe Mixon (CIN)","237","1,168","4.9","51","11","8","43","55","296","6.9","1","0","14","221.9","15.9","88.0%"
"10","David Johnson (HOU)","258","940","3.6","53","2","7","50","76","446","8.9","3","2","16","221.7","13.9","86.4%"
"11","Kareem Hunt (CLE)","181","824","4.6","45","7","7","26","35","378","14.5","7","0","11","217.2","19.7","97.9%"
"12","Phillip Lindsay (DEN)","192","1,037","5.4","65","8","9","35","47","241","6.9","1","0","15","205.3","13.7","45.5%"
"13","Tarik Cohen (CHI)","99","444","4.5","32","7","3","71","90","725","10.2","5","3","16","198.4","12.4","13.0%"
"14","Derrick Henry (TEN)","215","1,059","4.9","99","4","12","15","18","99","6.6","0","1","16","193.8","12.1","100.0%"
"15","Chris Carson (SEA)","247","1,151","4.7","61","8","9","20","24","163","8.2","0","2","14","191.4","13.7","98.9%"
"16","Nick Chubb (CLE)","192","996","5.2","92","11","8","20","29","149","7.5","2","0","16","184.5","11.5","98.8%"
"17","Kenyan Drake (ARI)","120","535","4.5","54","4","4","53","73","477","9.0","5","1","16","179.7","11.2","95.9%"
"18","Adrian Peterson (DET)","251","1,042","4.2","90","5","7","20","26","208","10.4","1","2","16","179.0","11.2","42.0%"
"19","Tevin Coleman (SF)","167","800","4.8","65","8","4","32","44","276","8.6","5","0","16","177.6","11.1","16.8%"
"20","Jordan Howard (PHI)","250","935","3.7","42","5","9","20","27","145","7.3","0","1","16","170.0","10.6","15.4%"
"21","Marlon Mack (IND)","195","908","4.7","49","7","9","17","26","103","6.1","1","2","12","169.6","14.1","7.2%"
"22","Lamar Miller (CHI)","210","973","4.6","97","6","5","25","35","163","6.5","1","1","14","160.1","11.4","0.7%"
"23","Aaron Jones (GB)","133","729","5.5","67","4","8","26","35","206","7.9","1","1","12","158.5","13.2","100.0%"
"24","Austin Ekeler (LAC)","106","554","5.2","41","4","3","39","53","404","10.4","3","1","14","149.3","10.7","98.2%"
"25","Matt Breida (MIA)","153","814","5.3","66","10","3","27","31","261","9.7","2","1","14","149.0","10.6","20.1%"
"26","T.J. Yeldon (BUF)","104","414","4.0","20","1","1","55","77","487","8.9","4","1","14","145.6","10.4","0.1%"
"27","Peyton Barber (WAS)","234","871","3.7","28","4","5","20","29","92","4.6","1","1","16","140.3","8.8","1.0%"
"28","Sony Michel (NE)","209","931","4.5","34","4","6","7","11","50","7.1","0","1","13","135.6","10.4","13.0%"
"29","Dalvin Cook (MIN)","133","615","4.6","70","4","2","40","49","305","7.6","2","2","11","132.0","12.0","100.0%"
"30","Mark Ingram II (BAL)","138","645","4.7","38","3","6","21","27","170","8.1","1","1","12","132.0","11.0","38.9%"
