"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Tyreek Hill (KC)","87","137","1,479","17.0","75","27","12","22","151","1","0","16","284.5","17.8","100.0%"
"2","DeAndre Hopkins (ARI)","115","163","1,572","13.7","49","23","11","1","-7","0","2","16","276.0","17.3","100.0%"
"3","Davante Adams (GB)","111","169","1,386","12.5","57","18","13","0","0","0","0","15","274.1","18.3","100.0%"
"4","Antonio Brown (TB)","104","169","1,297","12.5","78","17","15","0","0","0","0","15","271.7","18.1","71.1%"
"5","Julio Jones (ATL)","113","170","1,677","14.8","58","24","8","2","12","0","2","16","269.3","16.8","99.5%"
"6","Michael Thomas (NO)","125","147","1,405","11.2","72","17","9","0","0","0","2","16","253.0","15.8","99.5%"
"7","Adam Thielen (MIN)","113","153","1,373","12.2","68","17","9","5","30","0","1","16","250.8","15.7","99.8%"
"8","JuJu Smith-Schuster (PIT)","111","166","1,426","12.8","97","18","7","1","13","0","1","16","241.4","15.1","97.8%"
"9","Mike Evans (TB)","86","139","1,524","17.7","72","26","8","0","0","0","1","16","241.4","15.1","98.6%"
"10","Robert Woods (LAR)","86","131","1,219","14.2","39","20","6","19","157","1","0","16","222.6","13.9","97.3%"
"11","Stefon Diggs (BUF)","102","148","1,021","10.0","75","13","9","10","62","0","0","15","215.3","14.4","99.4%"
"12","Keenan Allen (LAC)","97","137","1,196","12.3","54","13","6","9","75","0","1","16","211.6","13.2","99.3%"
"13","Brandin Cooks (HOU)","80","116","1,204","15.1","57","22","5","10","68","1","0","16","203.2","12.7","90.9%"
"14","T.Y. Hilton (IND)","76","120","1,270","16.7","68","22","6","0","0","0","0","14","201.0","14.4","46.0%"
"15","Tyler Lockett (SEA)","57","71","965","16.9","52","17","10","13","69","0","0","16","193.9","12.1","99.4%"
"16","Odell Beckham Jr. (CLE)","77","124","1,052","13.7","51","17","6","5","19","0","1","12","191.9","16.0","25.5%"
"17","Tyler Boyd (CIN)","76","108","1,028","13.5","49","21","7","2","3","0","0","14","183.1","13.1","89.6%"
"18","Amari Cooper (DAL)","75","107","1,004","13.4","90","10","7","2","20","0","2","15","177.9","11.9","97.1%"
"19","Jarvis Landry (CLE)","81","149","976","12.0","51","13","4","3","60","1","1","16","176.6","11.0","85.8%"
"20","Calvin Ridley (ATL)","64","92","821","12.8","75","11","10","6","27","0","1","16","174.8","10.9","99.0%"
"21","Kenny Golladay (DET)","70","118","1,063","15.2","60","19","5","1","8","0","0","15","172.1","11.5","92.1%"
"22","Julian Edelman (NE)","74","108","850","11.5","36","12","6","9","107","0","0","12","170.4","14.2","28.6%"
"23","Emmanuel Sanders (NO)","71","98","868","12.2","64","13","4","4","53","1","0","12","162.7","13.6","43.3%"
"24","Mike Williams (LAC)","43","66","664","15.4","55","11","10","7","28","1","0","16","158.7","9.9","66.0%"
"25","Chris Godwin (TB)","59","95","842","14.3","48","10","7","0","0","0","1","16","155.7","9.7","96.7%"
"26","Alshon Jeffery (PHI)","65","92","843","13.0","52","9","6","0","0","0","0","13","152.8","11.8","5.6%"
"27","Larry Fitzgerald (ARI)","69","112","734","10.6","37","8","6","0","0","0","0","16","151.2","9.5","11.0%"
"28","Corey Davis (TEN)","65","112","891","13.7","51","15","4","6","55","0","0","16","151.1","9.4","62.8%"
"29","Adam Humphries (TEN)","76","105","816","10.7","51","7","5","2","11","0","0","16","150.7","9.4","2.4%"
"30","Sterling Shepard (NYG)","66","107","872","13.2","58","12","4","3","33","0","0","16","149.5","9.3","58.3%"
"31","Mohamed Sanu (DET)","66","94","838","12.7","44","7","4","7","44","0","1","16","149.4","9.3","0.9%"
