"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Demaryius Thomas (FA)","92","142","1,430","15.5","78","19","14","0","0","0","0","16","319.0","19.9","0.0%"
"2","Josh Gordon (SEA)","87","159","1,646","18.9","95","30","9","5","88","0","0","14","314.4","22.5","5.1%"
"3","Antonio Brown (TB)","110","166","1,499","13.6","56","23","8","7","4","0","0","16","308.8","19.3","70.1%"
"4","A.J. Green (CIN)","98","178","1,426","14.6","82","18","11","0","0","0","0","16","306.6","19.2","46.0%"
"5","Brandon Marshall (FA)","100","163","1,295","13.0","44","16","12","0","0","0","0","16","305.5","19.1","5.0%"
"6","Calvin Johnson (FA)","84","157","1,492","17.8","87","22","12","0","0","0","1","14","304.9","21.8","0.1%"
"7","Dez Bryant (BAL)","93","160","1,233","13.3","79","14","13","1","1","0","1","16","294.4","18.4","6.9%"
"8","Alshon Jeffery (PHI)","89","150","1,421","16.0","80","20","7","16","105","0","1","16","283.6","17.7","5.5%"
"9","Eric Decker (FA)","87","136","1,288","14.8","61","19","11","0","0","0","1","16","281.8","17.6","0.6%"
"10","Andre Johnson (FA)","109","181","1,407","12.9","62","20","5","0","0","0","0","16","279.7","17.5","0.0%"
"11","Pierre Garcon (FA)","113","181","1,346","11.9","53","16","5","2","19","0","1","16","279.5","17.5","0.0%"
"12","DeSean Jackson (PHI)","82","125","1,332","16.2","61","25","9","3","2","0","0","16","269.4","16.8","10.2%"
"13","Jordy Nelson (FA)","85","127","1,314","15.5","76","22","8","0","0","0","0","16","264.4","16.5","0.1%"
"14","Julian Edelman (NE)","105","151","1,056","10.1","44","9","6","2","11","0","0","16","251.7","15.7","28.5%"
"15","Anquan Boldin (FA)","85","129","1,179","13.9","63","19","7","2","11","0","0","16","246.0","15.4","0.1%"
"16","Vincent Jackson (FA)","78","160","1,224","15.7","60","19","7","1","0","0","0","16","242.4","15.2","0.0%"
"17","Larry Fitzgerald (ARI)","82","134","954","11.6","75","11","10","2","8","0","1","16","238.2","14.9","10.9%"
"18","Keenan Allen (LAC)","71","104","1,046","14.7","43","16","8","0","0","0","2","15","223.6","14.9","99.3%"
"19","T.Y. Hilton (IND)","82","138","1,083","13.2","73","13","5","2","6","0","0","16","221.9","13.9","46.5%"
"20","Kendall Wright (FA)","94","140","1,079","11.5","45","17","2","0","0","0","0","16","213.9","13.4","0.0%"
