"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Stephen Gostkowski (TEN)","38","41","92.7","54","1","8","13","11","5","44","44","16","179.0","11.2","29.6%"
"2","Matt Prater (DET)","25","26","96.2","64","2","4","5","8","6","75","75","16","171.0","10.7","63.0%"
"3","Justin Tucker (BAL)","38","41","92.7","61","0","10","12","10","6","26","26","16","163.0","10.2","95.8%"
"4","Adam Vinatieri (FA)","35","40","87.5","52","0","6","10","15","4","34","34","15","162.0","10.8","0.1%"
"5","Stephen Hauschka (FA)","33","35","94.3","53","0","10","9","11","3","44","44","16","160.0","10.0","0.2%"
"6","Phil Dawson (FA)","32","36","88.9","56","0","12","6","10","4","44","44","16","157.0","9.8","0.0%"
"7","Nick Novak (FA)","34","37","91.9","50","1","9","13","9","2","42","42","16","157.0","9.8","0.1%"
"8","Mason Crosby (GB)","33","37","89.2","57","1","13","8","6","5","42","42","16","157.0","9.8","40.6%"
"9","Dan Bailey (MIN)","28","30","93.3","53","2","2","8","10","6","47","47","16","153.0","9.6","24.3%"
"10","Dan Carpenter (FA)","33","36","91.7","55","0","13","6","10","4","32","32","16","149.0","9.3","0.2%"
"11","Nick Folk (NE)","33","36","91.7","54","0","8","10","12","3","27","27","16","143.0","8.9","2.9%"
"12","Jay Feely (FA)","30","36","83.3","52","0","9","7","11","3","37","37","16","142.0","8.9","0.0%"
"13","Shaun Suisham (FA)","30","32","93.8","48","0","9","13","8","0","39","39","16","135.8","8.5","0.0%"
"14","Robbie Gould (SF)","26","29","89.7","58","0","11","6","6","3","45","45","16","135.0","8.4","34.8%"
"15","Graham Gano (NYG)","24","27","88.9","55","0","9","4","5","6","42","42","16","131.0","8.2","9.0%"
"16","Blair Walsh (FA)","26","30","86.7","54","0","7","12","5","2","43","44","16","130.0","8.1","0.1%"
"17","Ryan Succop (TB)","22","28","78.6","51","0","6","9","6","1","52","52","16","125.0","7.8","21.7%"
"18","Rob Bironas (FA)","25","29","86.2","55","0","10","8","5","2","41","41","16","125.0","7.8","0.0%"
"19","Caleb Sturgis (FA)","26","34","76.5","54","1","4","10","8","3","33","33","16","125.0","7.8","0.0%"
"20","Alex Henery (FA)","23","28","82.1","51","0","8","7","7","1","45","45","16","123.0","7.7","0.0%"
"21","Greg Zuerlein (DAL)","26","28","92.9","54","0","7","10","8","1","34","34","16","122.0","7.6","35.4%"
