"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Jimmy Graham (CHI)","86","143","1,215","14.1","56","19","16","0","0","0","0","16","303.5","19.0","39.2%"
"2","Tony Gonzalez (FA)","83","121","859","10.3","25","5","8","0","0","0","0","16","218.9","13.7","0.0%"
"3","Julius Thomas (FA)","65","90","788","12.1","74","10","12","0","0","0","0","14","215.8","15.4","0.0%"
"4","Vernon Davis (FA)","52","84","850","16.3","64","16","13","0","0","0","1","15","215.0","14.3","1.6%"
"5","Jordan Cameron (FA)","80","118","917","11.5","53","11","7","0","0","0","0","15","213.7","14.2","0.1%"
"6","Jason Witten (LV)","73","111","851","11.7","34","13","8","0","0","0","0","16","206.1","12.9","0.2%"
"7","Greg Olsen (SEA)","73","111","816","11.2","31","12","6","0","0","0","0","16","190.6","11.9","7.1%"
"8","Charles Clay (FA)","69","102","759","11.0","67","10","6","7","15","1","0","16","188.4","11.8","0.0%"
"9","Antonio Gates (FA)","77","113","872","11.3","56","11","4","0","0","0","2","16","188.2","11.8","0.2%"
"10","Martellus Bennett (FA)","65","94","759","11.7","43","11","5","0","0","0","1","16","170.9","10.7","23.0%"
"11","Delanie Walker (FA)","60","86","571","9.5","33","5","6","0","0","0","0","15","153.1","10.2","0.1%"
"12","Jared Cook (NO)","51","86","671","13.2","47","9","5","0","0","0","1","16","148.1","9.3","59.1%"
"13","Tim Wright (FA)","54","75","571","10.6","36","5","5","1","2","0","0","16","141.3","8.8","0.0%"
"14","Coby Fleener (FA)","52","87","608","11.7","44","7","4","0","0","0","0","16","140.8","8.8","0.0%"
"15","Garrett Graham (FA)","49","89","545","11.1","42","8","5","0","0","0","1","13","133.5","10.3","0.0%"
"16","Scott Chandler (FA)","53","81","655","12.4","33","10","2","0","0","0","1","16","130.5","8.2","0.0%"
"17","Heath Miller (FA)","58","78","593","10.2","31","8","1","0","0","0","1","14","123.3","8.8","0.0%"
"18","Brandon Myers (FA)","47","75","522","11.1","27","9","4","0","0","0","0","16","123.2","7.7","0.0%"
"19","Rob Gronkowski (TB)","39","66","592","15.2","50","10","4","0","0","0","0","7","122.2","17.5","90.4%"
"20","Brent Celek (FA)","32","51","502","15.7","42","13","6","0","0","0","1","16","118.2","7.4","0.0%"
"21","Jermaine Gresham (FA)","46","67","458","10.0","30","6","4","0","0","0","3","14","116.1","8.3","0.0%"
"22","Jordan Reed (SF)","45","60","499","11.1","38","3","3","1","18","0","0","9","114.7","12.7","20.8%"
"23","Zach Ertz (PHI)","36","56","469","13.0","38","8","4","0","0","0","0","16","106.9","6.7","62.0%"
"24","Mychal Rivera (FA)","38","60","407","10.7","37","5","4","0","0","0","0","16","102.7","6.4","0.2%"
"25","Zach Miller (FA)","33","56","387","11.7","60","3","5","0","0","0","0","14","101.7","7.3","0.0%"
"26","Tyler Eifert (JAC)","39","59","445","11.4","61","5","2","0","0","0","0","15","95.5","6.4","4.5%"
"27","Brandon Pettigrew (FA)","41","63","416","10.1","31","5","2","0","0","0","1","14","94.6","6.8","0.0%"
"28","Rob Housler (FA)","39","57","454","11.6","31","7","1","0","0","0","0","13","90.4","7.0","0.0%"
"29","Jeff Cumberland (FA)","26","39","398","15.3","47","7","4","0","0","0","0","15","89.8","6.0","0.0%"
"30","Marcedes Lewis (GB)","25","47","359","14.4","41","7","4","0","0","0","1","11","84.9","7.7","0.1%"
"31","Dallas Clark (FA)","31","52","343","11.1","45","4","3","0","0","0","0","12","83.3","6.9","0.0%"
