"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"153","Deonte Harris (NO)","6","6","24","4.0","13","0","0","4","31","0","1","14","12.5","0.9","1.8%"
"154","Braxton Berrios (NYJ)","6","13","115","19.2","69","2","0","0","0","0","1","16","12.5","0.8","0.5%"
"155","Marcell Ateman (LV)","5","10","116","23.2","36","3","0","0","0","0","1","12","12.1","1.0","0.0%"
"156","J.J. Nelson (FA)","4","5","36","9.0","29","1","1","0","0","0","0","2","11.6","5.8","0.0%"
"157","TJ Jones (FA)","3","4","38","12.7","28","1","1","0","0","0","0","3","11.3","3.8","0.0%"
"158","Robert Foster (WAS)","3","18","64","21.3","24","3","0","2","29","0","0","13","10.8","0.8","0.0%"
"159","Chris Hogan (NYJ)","8","15","67","8.4","13","0","0","0","0","0","0","7","10.7","1.5","0.2%"
"160","Trent Sherfield (ARI)","4","13","80","20.0","38","2","0","0","0","0","0","16","10.0","0.6","0.0%"
"161","Riley Ridley (CHI)","6","7","69","11.5","32","1","0","0","0","0","0","5","9.9","2.0","0.1%"
"162","KhaDarel Hodge (CLE)","4","10","76","19.0","41","1","0","0","0","0","0","16","9.6","0.6","0.1%"
"163","Andre Patton (MIA)","6","17","56","9.3","15","0","0","0","0","0","0","13","8.6","0.7","0.0%"
"164","Tevin Jones (FA)","4","10","61","15.3","28","1","0","0","0","0","0","5","8.1","1.6","0.0%"
"165","Ventell Bryant (FA)","1","1","15","15.0","15","0","1","0","0","0","0","12","8.0","0.7","0.0%"
"166","Chad Beebe (MIN)","2","2","70","35.0","61","1","0","0","0","0","0","3","8.0","2.7","0.1%"
"167","Chris Lacy (DAL)","3","10","60","20.0","48","1","0","0","0","0","0","7","7.5","1.1","0.0%"
"168","Cedrick Wilson (DAL)","5","8","46","9.2","14","0","0","0","0","0","0","6","7.1","1.2","0.2%"
"169","DeAndrew White (BAL)","4","9","51","12.8","18","0","0","0","0","0","0","10","7.1","0.7","0.0%"
"170","Ryan Switzer (CLE)","8","11","27","3.4","8","0","0","0","0","0","0","9","6.7","0.7","0.0%"
"171","Travis Benjamin (SF)","6","16","30","5.0","13","0","0","0","0","0","0","5","6.0","1.2","0.0%"
