"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"108","Antony Auclair (TB)","1","3","11","11.0","11","0","0","0","0","0","0","8","1.6","0.2","0.0%"
"109","Chris Manhertz (CAR)","1","1","11","11.0","11","0","0","0","0","0","0","15","1.6","0.1","0.0%"
"110","Ben Koyack (FA)","1","3","9","9.0","9","0","0","0","0","0","0","12","1.4","0.1","0.0%"
"111","Jordan Thomas (NE)","1","3","8","8.0","8","0","0","0","0","0","0","6","1.3","0.2","0.0%"
"112","Chris Herndon IV (NYJ)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.2","0.6","10.1%"
"113","Dalton Schultz (DAL)","1","2","6","6.0","6","0","0","0","0","0","0","16","1.1","0.1","25.2%"
"114","Charles Jones (PIT)","1","1","5","5.0","5","0","0","0","0","0","0","4","1.0","0.3","0.0%"
"115","Tyrone Swoopes (FA)","1","1","5","5.0","5","0","0","0","0","0","0","6","1.0","0.2","0.0%"
"116","Darrell Daniels (ARI)","1","3","4","4.0","4","0","0","0","0","0","0","11","0.9","0.1","0.0%"
"117","Zach Gentry (PIT)","1","1","4","4.0","4","0","0","0","0","0","0","4","0.9","0.2","0.0%"
"118","Xavier Grimble (BAL)","1","3","3","3.0","3","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"119","Eric Tomlinson (BAL)","1","1","1","1.0","1","0","0","0","0","0","0","8","0.6","0.1","0.1%"
"120","Dylan Cantrell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Jordan Franks (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","David Wells (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Marcus Baugh (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Ethan Wolf (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"126","Garrett Dickerson (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"127","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"128","Nick Keizer (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","Kevin Rader (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Donnie Ernsberger (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Nate Wozniak (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Matt Flanagan (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Cole Hikutini (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"138","Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Jason Vander Laan (NO)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"140","Paul Quessenberry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Connor Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Jake Butt (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"143","Jordan Leggett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Colin Thompson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Jason Croom (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"146","Evan Baylis (ARI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"147","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Rysen John (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jake Burt (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Rashod Berry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Nate Wieting (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Eli Wolf (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Tyler Simmons (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Tommy Hudson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Farrod Green (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Nakia Griffin-Stewart (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Chase Harrell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Tyler Davis (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Tommy Stevens (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Matt Sokol (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Justin Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Donald Parham Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Jace Sternberger (GB)","0","1","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.2%"
"171","Dax Raymond (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Jakob Johnson (NE)","1","2","5","5.0","5","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"173","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Carson Meier (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Dalton Keene (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"179","Thaddeus Moss (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"180","Kyle Markway (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Stephen Sullivan (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Charlie Taumoepeau (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Noah Togiai (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Ben Ellefson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Josiah Deguara (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Darion Clark (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"192","Devin Asiasi (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"193","Hunter Bryant (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Jared Pinkney (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Jacob Breeland (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Colby Parkinson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Harrison Bryant (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"198","Adam Trautman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"199","Jerell Adams (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","Alan Cross (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"201","John Nalbone (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Logan Paulsen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"204","Bruce Miller (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Jermaine Gresham (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","Ed Dickson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Rob Gronkowski (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","91.0%"
"208","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Deangelo Peterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Garrett Celek (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"212","Daniel Hardy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"216","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Antonio Gates (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"218","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Buck Ortega (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Jake Nordin (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Brian Parker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Jerome Cunningham (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"227","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"228","Matt Lengel (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"229","Neal Sterling (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Khari Lee (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Temarrick Hemingway (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Alex Ellis (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Cole Wick (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","David Morgan (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.2%"
"237","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"238","Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"239","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"240","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","David Grinnage (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Stephen Anderson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Richard Rodgers (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","4.4%"
"244","Erik Swoope (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Jordan Reed (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","20.4%"
"246","Dion Sims (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"247","Dominique Dafney (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
