"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"61","Darrel Williams (KC)","41","141","3.4","41","1","3","15","20","167","11.1","1","1","12","60.3","5.0","1.9%"
"62","Malcolm Brown (LAR)","69","255","3.7","17","0","5","2","6","16","8.0","0","0","14","58.1","4.2","24.3%"
"63","Dare Ogunbowale (JAC)","11","17","1.5","12","0","2","35","46","286","8.2","0","1","16","57.8","3.6","0.2%"
"64","Patrick Laird (MIA)","62","168","2.7","18","0","1","23","30","204","8.9","0","0","15","56.7","3.8","1.0%"
"65","Benny Snell Jr. (PIT)","108","426","3.9","23","3","2","3","4","23","7.7","0","1","13","56.4","4.3","48.7%"
"66","Derrius Guice (FA)","42","245","5.8","60","3","2","7","9","79","11.3","1","0","5","53.9","10.8","2.1%"
"67","Dion Lewis (NYG)","54","209","3.9","17","0","0","25","32","164","6.6","1","1","16","53.8","3.4","1.9%"
"68","Giovani Bernard (CIN)","53","170","3.2","25","1","0","30","43","234","7.8","0","1","16","53.4","3.3","70.2%"
"69","Jordan Wilkins (IND)","51","307","6.0","55","2","2","7","11","43","6.1","0","0","14","50.5","3.6","13.4%"
"70","Mike Boone (MIN)","49","273","5.6","59","3","3","3","4","17","5.7","0","0","16","48.5","3.0","0.4%"
"71","Ty Johnson (NYJ)","63","273","4.3","40","1","0","24","31","109","4.5","0","1","16","48.2","3.0","0.7%"
"72","Brandon Bolden (NE)","15","68","4.5","21","1","3","9","11","111","12.3","1","0","15","46.4","3.1","0.0%"
"73","Justice Hill (BAL)","58","225","3.9","18","0","2","8","15","70","8.8","0","0","16","45.5","2.8","0.9%"
"74","Jeff Wilson Jr. (SF)","27","105","3.9","25","1","4","3","5","34","11.3","1","0","11","45.4","4.1","4.6%"
"75","Kalen Ballage (LAC)","74","135","1.8","8","0","3","14","24","63","4.5","0","0","12","44.8","3.7","29.6%"
"76","Ryquell Armstead (JAC)","35","108","3.1","16","0","0","14","24","144","10.3","2","0","16","44.2","2.8","2.6%"
"77","Wayne Gallman (NYG)","29","110","3.8","22","1","2","11","16","102","9.3","1","1","10","42.7","4.3","77.4%"
"78","Bo Scarbrough (SEA)","89","377","4.2","30","2","1","1","4","5","5.0","0","1","6","42.7","7.1","0.1%"
"79","Kyle Juszczyk (SF)","3","7","2.3","6","0","0","20","24","239","12.0","1","0","12","40.6","3.4","0.4%"
"80","Jonathan Williams (DET)","49","235","4.8","48","1","1","5","5","59","11.8","0","0","9","37.9","4.2","0.0%"
"81","Mark Walton (FA)","53","201","3.8","19","0","0","15","21","89","5.9","0","1","7","34.5","4.9","2.0%"
"82","Dontrell Hilliard (CLE)","13","49","3.8","11","0","2","12","15","92","7.7","0","0","14","32.1","2.3","0.1%"
"83","Ameer Abdullah (MIN)","23","115","5.0","15","0","0","15","21","88","5.9","1","1","16","31.8","2.0","0.1%"
"84","Ito Smith (ATL)","22","106","4.8","28","1","1","11","14","87","7.9","0","0","7","30.8","4.4","3.3%"
"85","Qadree Ollison (ATL)","22","50","2.3","6","0","4","1","2","7","7.0","0","0","8","30.2","3.8","0.1%"
"86","Bilal Powell (FA)","59","229","3.9","17","0","0","7","12","33","4.7","0","0","14","29.7","2.1","0.0%"
"87","C.J. Ham (MIN)","7","17","2.4","9","0","0","17","26","149","8.8","1","1","16","29.1","1.8","0.1%"
"88","Myles Gaskin (MIA)","36","133","3.7","27","1","1","7","12","51","7.3","0","0","7","27.9","4.0","82.2%"
"89","Darwin Thompson (KC)","37","128","3.5","12","0","1","9","10","43","4.8","0","0","12","27.6","2.3","0.2%"
"90","Justin Jackson (LAC)","29","200","6.9","40","3","0","9","11","22","2.4","0","0","7","26.7","3.8","20.7%"
"91","Reggie Bonnafon (CAR)","16","116","7.3","59","1","1","6","10","57","9.5","0","0","16","26.3","1.6","0.1%"
"92","Ty Montgomery (NO)","32","103","3.2","15","0","0","13","17","90","6.9","0","0","16","25.8","1.6","0.1%"
"93","C.J. Prosise (HOU)","23","72","3.1","17","0","1","10","12","76","7.6","0","1","9","23.8","2.6","0.1%"
"94","T.J. Yeldon (BUF)","17","63","3.7","12","0","0","13","15","124","9.5","0","1","6","23.2","3.9","0.1%"
"95","Travis Homer (SEA)","18","114","6.3","29","1","0","11","13","56","5.1","0","0","16","22.5","1.4","0.9%"
"96","Darrell Henderson (LAR)","39","147","3.8","22","1","0","4","6","37","9.3","0","0","13","20.4","1.6","70.6%"
"97","Wendell Smallwood (PIT)","22","81","3.7","17","0","0","9","13","64","7.1","0","0","15","19.0","1.3","0.0%"
"98","Trey Edmunds (PIT)","22","92","4.2","45","1","0","6","7","48","8.0","0","0","12","17.0","1.4","0.0%"
"99","Wes Hills (FA)","10","21","2.1","15","0","2","2","2","1","0.5","0","0","1","15.2","15.2","0.0%"
"100","Alec Ingold (LV)","10","17","1.7","4","0","0","6","6","44","7.3","1","0","16","15.1","0.9","0.1%"
"101","Darren Sproles (FA)","17","66","3.9","17","0","0","6","10","24","4.0","0","0","6","14.0","2.3","0.0%"
"102","Kerrith Whyte Jr. (DET)","24","122","5.1","21","1","0","1","1","9","9.0","0","0","6","13.6","2.3","0.0%"
"103","Dan Vitale (NE)","1","3","3.0","3","0","0","7","12","97","13.9","0","0","15","13.5","0.9","0.0%"
"104","Andy Janovich (CLE)","1","1","1.0","1","0","1","5","5","42","8.4","0","0","8","12.8","1.6","0.0%"
"105","D'Ernest Johnson (CLE)","4","21","5.3","13","0","0","6","7","71","11.8","0","0","16","12.2","0.8","0.9%"
"106","Kenjon Barner (TB)","4","28","7.0","12","0","0","6","8","22","3.7","0","1","14","12.1","0.9","0.0%"
"107","Derek Watt (PIT)","7","10","1.4","3","0","1","3","5","32","10.7","0","0","16","11.7","0.7","0.1%"
"108","Javorius Allen (FA)","10","36","3.6","19","0","1","1","2","9","9.0","0","0","11","11.0","1.0","0.0%"
"109","Spencer Ware (FA)","17","51","3.0","6","0","0","5","7","22","4.4","0","0","3","9.8","3.3","0.0%"
"110","Devontae Booker (LV)","2","9","4.5","5","0","0","6","9","57","9.5","0","0","16","9.6","0.6","69.5%"
"111","Marshawn Lynch (FA)","12","34","2.8","15","0","1","0","0","0","0","0","0","2","9.4","4.7","0.2%"
"112","Alex Armah (CAR)","6","11","1.8","4","0","1","2","2","6","3.0","0","0","16","8.7","0.5","0.0%"
"113","Tra Carson (FA)","18","48","2.7","12","0","0","4","4","18","4.5","0","0","4","8.6","2.2","0.0%"
"114","Zach Line (FA)","7","20","2.9","5","0","0","6","10","36","6.0","0","0","12","8.6","0.7","0.0%"
"115","Mike Davis (CAR)","13","27","2.1","8","0","0","7","8","22","3.1","0","0","12","8.4","0.7","84.9%"
"116","Troymaine Pope (LAC)","10","20","2.0","8","0","0","2","3","14","7.0","1","1","14","8.4","0.6","0.6%"
"117","Khari Blasingame (TEN)","0","0","0","0","0","0","4","5","54","13.5","0","0","6","7.4","1.2","0.0%"
"118","Patrick DiMarco (FA)","3","7","2.3","4","0","0","5","7","41","8.2","0","0","16","7.3","0.5","0.0%"
"119","Dwayne Washington (NO)","8","60","7.5","31","1","0","1","1","6","6.0","0","0","16","7.1","0.4","0.0%"
"120","Jonathan Hilliman (FA)","30","91","3.0","10","0","0","3","4","1","0.3","0","2","3","6.7","2.2","0.0%"
"121","Devine Ozigbo (JAC)","9","27","3.0","9","0","0","3","5","23","7.7","0","0","10","6.5","0.7","1.3%"
"122","Elijhaa Penny (NYG)","15","39","2.6","6","0","0","2","4","9","4.5","0","0","16","5.8","0.4","0.0%"
"123","Taiwan Jones (BUF)","9","40","4.4","11","0","0","1","1","9","9.0","0","0","11","5.4","0.5","0.0%"
"124","C.J. Anderson (FA)","16","43","2.7","9","0","0","0","0","0","0","0","0","2","4.3","2.2","1.0%"
"125","Paul Perkins (IND)","12","29","2.4","13","0","0","1","1","9","9.0","0","0","4","4.3","1.1","0.0%"
"126","Anthony Sherman (KC)","4","9","2.3","5","0","0","2","3","22","11.0","0","0","16","4.1","0.3","0.1%"
"127","Nick Bawden (DET)","0","0","0","0","0","0","4","6","17","4.3","0","0","10","3.7","0.4","0.0%"
"128","T.J. Logan (TB)","3","10","3.3","6","0","0","2","3","13","6.5","0","0","12","3.3","0.3","0.0%"
"129","Tyler Ervin (GB)","1","10","10.0","10","0","0","2","4","11","5.5","0","0","10","3.1","0.3","0.9%"
"130","Jay Ajayi (FA)","10","30","3.0","11","0","0","0","1","0","0","0","0","4","3.0","0.8","7.0%"
"131","Zach Zenner (FA)","3","-2","-0.7","1","0","0","2","3","19","9.5","0","0","6","2.7","0.5","0.0%"
"132","Dalyn Dawkins (DET)","11","26","2.4","14","0","0","0","1","0","0","0","0","2","2.6","1.3","0.0%"
"133","Keith Smith (ATL)","5","8","1.6","3","0","0","1","4","13","13.0","0","0","16","2.6","0.2","0.0%"
"134","Samaje Perine (CIN)","5","16","3.2","9","0","0","0","0","0","0","0","0","7","1.6","0.2","2.0%"
"135","Roosevelt Nix (FA)","0","0","0","0","0","0","2","3","4","2.0","0","0","3","1.4","0.5","0.0%"
"136","Ricky Ortiz (FA)","0","0","0","0","0","0","1","1","8","8.0","0","0","2","1.3","0.7","0.0%"
"137","Damien Harris (NE)","4","12","3.0","13","0","0","0","0","0","0","0","0","2","1.2","0.6","68.0%"
"138","Josh Adams (NYJ)","8","12","1.5","10","0","0","0","0","0","0","0","0","3","1.2","0.4","0.1%"
"139","Dexter Williams (GB)","5","11","2.2","5","0","0","0","0","0","0","0","0","4","1.1","0.3","1.6%"
"140","Jakob Johnson (NE)","0","0","0","0","0","0","1","2","5","5.0","0","0","4","1.0","0.3","0.0%"
"141","Buddy Howell (HOU)","5","10","2.0","4","0","0","0","0","0","0","0","0","16","1.0","0.1","0.0%"
"142","Jordan Scarlett (FA)","4","9","2.3","6","0","0","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"143","John Kelly (CLE)","3","9","3.0","6","0","0","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"144","Senorise Perry (TEN)","3","3","1.0","6","0","0","1","1","1","1.0","0","0","11","0.9","0.1","0.0%"
"145","Josh Ferguson (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"146","Ryan Nall (CHI)","2","8","4.0","7","0","0","0","0","0","0","0","0","8","0.8","0.1","0.7%"
"147","Tony Brooks-James (ATL)","8","7","0.9","8","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"148","De'Lance Turner (FA)","4","6","1.5","5","0","0","0","0","0","0","0","0","9","0.6","0.1","0.0%"
"149","Alfred Morris (NYG)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.2%"
"150","James Develin (FA)","2","3","1.5","2","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"151","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.1%"
"152","Derrick Gore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.7%"
"154","J.J. Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"155","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Mike Weber (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"160","D'Andre Swift (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.4%"
"161","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.4%"
"162","Rodney Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"163","La'Mical Perine (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"164","LeVante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.5%"
"167","Cam Akers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.1%"
"168","Joshua Kelley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.2%"
"169","Zack Moss (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.1%"
"170","Isaac Nauta (DET)","0","0","0","0","0","0","2","3","13","6.5","0","0","6","0.0","0.0","0.0%"
"171","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"172","Adrian Killins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"174","Javon Leake (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jeremy Cox (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Michael Warren II (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Austin Walter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"180","Tavien Feaster (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"182","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Chandler Cox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"184","Craig Reynolds (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"185","Cullen Gillaspia (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"186","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.8%"
"187","Darius Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Darrynton Evans (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"189","Patrick Ricard (BAL)","0","0","0","0","0","0","8","11","47","5.9","1","0","16","0.0","0.0","0.1%"
"190","Lavon Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"191","Jeremy McNichols (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"192","Joe Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"193","Elijah McGuire (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Cethan Carter (CIN)","0","0","0","0","0","0","2","3","13","6.5","1","0","15","0.0","0.0","0.0%"
"195","Khalfani Muhammad (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Justin Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"197","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"200","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Trenton Cannon (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"203","Detrez Newsome (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"204","Jordan Chunn (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"205","Donnie Ernsberger (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"207","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Jonathan Ward (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Ty'Son Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","James Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"218","JaMycal Hasty (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"219","Antonio Gibson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.9%"
"220","Lynn Bowden Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"221","Jason Huntley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Scottie Phillips (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Artavis Pierce (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Antonio Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Pete Guerriero (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Malcolm Perry (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"229","Patrick Carr (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","D'Onta Foreman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"231","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Chris Ivory (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Javarris James (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","LeGarrette Blount (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Lamar Miller (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"239","Robert Turbin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"240","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
